Trigger Index,Target Index,Trigger Threshold (%),Future Days,Mean Return (%),Std Dev Return (%),Num Triggers,Num Observations
大盘,多普勒指数,0.5,1,1.4626342896000697,3.3417134487190756,58,58
大盘,多普勒指数,0.5,5,2.657693435446702,6.430035955451464,58,57
大盘,多普勒指数,0.5,10,3.4369802282948005,8.851306153771878,58,56
大盘,千战指数,0.5,1,0.37380076122430883,2.0469675162979626,58,58
大盘,千战指数,0.5,5,0.6494576052095342,5.793427557065617,58,57
大盘,千战指数,0.5,10,0.48109262677210046,4.816543271026134,58,56
大盘,百战指数,0.5,1,0.09988825796797166,1.5821736948872798,58,58
大盘,百战指数,0.5,5,-0.32646906664496045,4.415893858079359,58,57
大盘,百战指数,0.5,10,-1.1509134135320322,4.525169302287741,58,56
大盘,探员指数,0.5,1,0.4271407739412567,1.9688955031704962,58,58
大盘,探员指数,0.5,5,1.6847423984483654,4.872427801063384,58,57
大盘,探员指数,0.5,10,2.61994244901893,5.498106091683506,58,56
大盘,挂件指数,0.5,1,0.1234666597520905,2.1312328827875833,58,58
大盘,挂件指数,0.5,5,-0.060029316154966206,5.762310467155917,58,57
大盘,挂件指数,0.5,10,0.4680686602408957,7.634860298038332,58,56
大盘,印花,0.5,1,0.2898992032572086,0.7068399067225074,60,60
大盘,印花,0.5,5,1.383883879058874,1.9770323144436333,60,59
大盘,印花,0.5,10,2.5075479385612045,2.4114708407692467,60,58
大盘,手套,0.5,1,1.1725625216427558,2.298374571306527,60,60
大盘,手套,0.5,5,1.938219386584302,8.037466130127832,60,59
大盘,手套,0.5,10,1.964102768627153,9.836039915282424,60,58
大盘,刀,0.5,1,0.5309960553483983,0.7349340538330786,60,60
大盘,刀,0.5,5,1.1125832093140995,2.84935915604597,60,59
大盘,刀,0.5,10,1.2705062967716447,3.6286807523767584,60,58
大盘,武器箱,0.5,1,0.2423569558408515,1.160385186630965,60,60
大盘,武器箱,0.5,5,0.7689289757048049,2.5762679649571036,60,59
大盘,武器箱,0.5,10,1.4081263504139208,3.3840359059426404,60,58
多普勒指数,大盘,0.5,1,0.5725607409334824,1.8712038724769622,60,60
多普勒指数,大盘,0.5,5,0.7887353208818196,6.1551282322543805,60,59
多普勒指数,大盘,0.5,10,1.2088183536353159,7.9149988139500635,60,58
多普勒指数,千战指数,0.5,1,0.2670803691268715,1.9960527346863441,60,60
多普勒指数,千战指数,0.5,5,0.0211613856629098,5.326373615532276,60,59
多普勒指数,千战指数,0.5,10,0.25179514733589375,5.005659859401975,60,58
多普勒指数,百战指数,0.5,1,0.03451090332794946,1.5221337450678818,60,60
多普勒指数,百战指数,0.5,5,-0.5086278642214696,4.180650763572083,60,59
