Strategy,Total Return (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Win Trades,Loss Trades,Win Rate (%),printlog,commission,initial_cash,trigger_up_threshold,trigger_down_threshold,holding_days,stop_loss_pct,take_profit_pct
StrategyMomentumDualBroad,0.8484761589406377,-2.0118486996230867,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,20,3.0,5.0
StrategyMomentumDualBroad,0.8484761589406377,-2.0118486996230867,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,20,5.0,5.0
StrategyMomentumDualBroad,0.8484761589406377,-2.0118486996230867,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,20,10.0,5.0
StrategyMomentumDualBroad,0.8484761589406377,-2.0118486996230867,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,20,7.0,5.0
StrategyMomentumDualBroad,0.8471427120874054,-2.0115152900364492,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,15,7.0,5.0
StrategyMomentumDualBroad,0.8471427120874054,-2.0115152900364492,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,15,3.0,5.0
StrategyMomentumDualBroad,0.8471427120874054,-2.0115152900364492,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,15,5.0,5.0
StrategyMomentumDualBroad,0.8471427120874054,-2.0115152900364492,,22,18,4,81.81818181818183,False,0.001,100000.0,0.1,-0.1,15,10.0,5.0
StrategyMomentumDualBroad,0.83927445838477,-2.0455823058894547,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,10.0,10.0
StrategyMomentumDualBroad,0.83927445838477,-2.0455823058894547,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,7.0,10.0
StrategyMomentumDualBroad,0.83927445838477,-2.0455823058894547,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,3.0,10.0
StrategyMomentumDualBroad,0.83927445838477,-2.0455823058894547,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,5.0,10.0
StrategyMomentumDualBroad,0.8379408888252877,-2.045221452785982,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,7.0,10.0
StrategyMomentumDualBroad,0.8379408888252877,-2.045221452785982,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,5.0,10.0
StrategyMomentumDualBroad,0.8379408888252877,-2.045221452785982,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,10.0,10.0
StrategyMomentumDualBroad,0.8379408888252877,-2.045221452785982,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,3.0,10.0
StrategyMomentumDualBroad,0.819754800264918,-1.9965165182588966,,19,15,4,78.94736842105263,False,0.001,100000.0,0.1,-0.5,20,3.0,5.0
StrategyMomentumDualBroad,0.819754800264918,-1.9965165182588966,,19,15,4,78.94736842105263,False,0.001,100000.0,0.1,-0.5,20,5.0,5.0
StrategyMomentumDualBroad,0.819754800264918,-1.9965165182588966,,19,15,4,78.94736842105263,False,0.001,100000.0,0.1,-0.5,20,7.0,5.0
StrategyMomentumDualBroad,0.819754800264918,-1.9965165182588966,,19,15,4,78.94736842105263,False,0.001,100000.0,0.1,-0.5,20,10.0,5.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,3.0,15.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,7.0,20.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,5.0,15.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,5.0,20.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,10.0,20.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,3.0,20.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,10.0,15.0
StrategyMomentumDualBroad,0.8100063530162063,-2.1586328441022244,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,20,7.0,15.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,3.0,20.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,5.0,15.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,7.0,15.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,3.0,15.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,5.0,20.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,10.0,15.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,7.0,20.0
StrategyMomentumDualBroad,0.8086723930864527,-2.158176644577468,,22,17,5,77.27272727272727,False,0.001,100000.0,0.1,-0.1,15,10.0,20.0
StrategyMomentumDualBroad,0.8023143336508578,-1.9977692485358103,,20,16,4,80.0,False,0.001,100000.0,0.1,-0.5,15,7.0,5.0
StrategyMomentumDualBroad,0.8023143336508578,-1.9977692485358103,,20,16,4,80.0,False,0.001,100000.0,0.1,-0.5,15,10.0,5.0
StrategyMomentumDualBroad,0.8023143336508578,-1.9977692485358103,,20,16,4,80.0,False,0.001,100000.0,0.1,-0.5,15,5.0,5.0
StrategyMomentumDualBroad,0.8023143336508578,-1.9977692485358103,,20,16,4,80.0,False,0.001,100000.0,0.1,-0.5,15,3.0,5.0
StrategyMomentumDualBroad,0.7885922814618085,-2.111227365941436,,16,12,4,75.0,False,0.001,100000.0,0.1,-2.0,20,10.0,10.0
StrategyMomentumDualBroad,0.7885922814618085,-2.111227365941436,,16,12,4,75.0,False,0.001,100000.0,0.1,-2.0,20,3.0,10.0
StrategyMomentumDualBroad,0.7885922814618085,-2.111227365941436,,16,12,4,75.0,False,0.001,100000.0,0.1,-2.0,20,5.0,10.0
StrategyMomentumDualBroad,0.7885922814618085,-2.111227365941436,,16,12,4,75.0,False,0.001,100000.0,0.1,-2.0,20,7.0,10.0
StrategyMomentumDualBroad,0.7749133460121596,-2.1646978236805636,,17,12,5,70.58823529411765,False,0.001,100000.0,0.1,-1.5,20,3.0,10.0
StrategyMomentumDualBroad,0.7749133460121596,-2.1646978236805636,,17,12,5,70.58823529411765,False,0.001,100000.0,0.1,-1.5,20,10.0,10.0
StrategyMomentumDualBroad,0.7749133460121596,-2.1646978236805636,,17,12,5,70.58823529411765,False,0.001,100000.0,0.1,-1.5,20,7.0,10.0
StrategyMomentumDualBroad,0.7749133460121596,-2.1646978236805636,,17,12,5,70.58823529411765,False,0.001,100000.0,0.1,-1.5,20,5.0,10.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,5.0,10.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,5.0,15.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,10.0,10.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,7.0,20.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,3.0,20.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,3.0,10.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,10.0,20.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,5.0,20.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,10.0,15.0
StrategyMomentumDualBroad,0.7714193550771927,-2.3111856857983732,,25,19,6,76.0,False,0.001,100000.0,0.1,-0.1,10,7.0,15.0
