Trigger Index,Target Index,Trigger Up Threshold (%),Trigger Down Threshold (%),Holding Days,Total Return (%),Sharpe Ratio,Max Drawdown (%)
手套,大盘,0.1,-0.1,20,0.6969355722802713,-2.6981396338120502,
手套,大盘,0.1,-0.1,15,0.6956001031684776,-2.6971608955194024,
手套,大盘,0.1,-0.1,10,0.6583049106121346,-2.9147542161128306,
手套,大盘,0.1,-2.0,20,0.6461811852215482,-2.788209425824308,
手套,大盘,0.1,-1.5,20,0.6324827542370318,-2.870790222095385,
手套,大盘,0.1,-1.0,20,0.6229451017113083,-2.930620306117418,
手套,大盘,0.1,-0.5,20,0.6129918103591145,-2.9952197357158066,
手套,大盘,1.0,-1.0,7,0.6070879960615675,-2.776552477277088,
手套,大盘,1.0,-0.5,7,0.6070879960615675,-2.776552477277088,
手套,大盘,1.0,-0.1,7,0.6070879960615675,-2.776552477277088,
手套,大盘,1.0,-1.5,7,0.6070879960615675,-2.776552477277088,
手套,大盘,1.0,-2.0,7,0.6070879960615675,-2.776552477277088,
手套,大盘,0.1,-0.5,15,0.5955152428547825,-2.9879517262635304,
手套,大盘,0.1,-1.0,15,0.5900629792658393,-3.0239193584939774,
手套,大盘,2.0,-2.0,15,0.5726114470016128,-2.9869386125930246,
手套,大盘,0.1,-1.5,15,0.571033545642919,-3.1551136575870085,
手套,大盘,1.0,-2.0,20,0.5703577633291779,-3.001576912823867,
手套,大盘,1.0,-1.0,20,0.5558583510144193,-3.09859305866557,
手套,大盘,2.0,-1.5,15,0.5522468064057212,-3.1235505415316887,
手套,大盘,0.5,-2.0,20,0.5519822809285946,-3.191759985836154,
手套,大盘,0.5,-0.1,15,0.5490895802035024,-3.0737717274130825,
手套,大盘,1.0,-1.5,20,0.5489494516523595,-3.1466236052424983,
手套,大盘,0.1,-2.0,7,0.5488461900116198,-3.637820868679445,
手套,大盘,0.1,-1.5,7,0.5488461900116198,-3.637820868679445,
手套,大盘,0.1,-0.1,7,0.5488461900116198,-3.637820868679445,
手套,大盘,0.1,-1.0,7,0.5488461900116198,-3.637820868679445,
手套,大盘,0.1,-0.5,7,0.5488461900116198,-3.637820868679445,
手套,大盘,1.0,-0.1,20,0.5460685680084507,-3.167010512875802,
手套,大盘,0.1,-2.0,15,0.5342682918474876,-3.4365215987988074,
手套,大盘,0.5,-0.1,20,0.5341242931416144,-3.1820821905247993,
