date,open,close,high,low,volume,amount
2025-03-10,1205,1218,1218,1205,2042823,50505993
2025-03-11,1218,1258,1259,1218,1890217,36407680
2025-03-12,1258,1229,1261,1229,2123795,114659654
2025-03-13,1229,1223,1228,1202,2098163,83928606
2025-03-14,1223,1226,1226,1222,2299195,55792893
2025-03-15,1226,1233,1233,1225,715281,38583676
2025-03-16,1233,1244,1244,1233,3144136,67890066
2025-03-17,1244,1238,1245,1237,2001079,53590566
2025-03-18,1238,1230,1238,1227,1977469,53882819
2025-03-19,1230,1216,1232,1216,1971151,42334199
2025-03-20,1216,1209,1216,1195,2038651,43792685
2025-03-21,1209,1203,1210,1202,2015170,48862611
2025-03-22,1203,1194,1203,1192,2144190,70659606
2025-03-23,1194,1201,1201,1193,2172632,59064547
2025-03-24,1201,1210,1210,1201,1809278,57177565
2025-03-25,1210,1217,1217,1210,1894318,73978231
2025-03-26,1217,1211,1218,1210,1900986,58754703
2025-03-27,1211,1207,1211,1206,2134399,57823214
2025-03-28,1207,1211,1211,1206,2047206,74055637
2025-03-29,1211,1204,1213,1200,2089399,72083077
2025-03-30,1204,1205,1205,1202,2032463,62510789
2025-03-31,1205,1219,1219,1205,1990764,65802997
2025-04-01,1219,1235,1235,1219,2693363,91227636
2025-04-02,1235,1237,1239,1235,2697058,72227427
2025-04-03,1237,1231,1237,1231,2516977,67005172
2025-04-04,1231,1233,1233,1231,2224290,63162119
2025-04-05,1233,1231,1233,1231,2352371,62969201
2025-04-06,1231,1232,1232,1228,2346458,69189694
2025-04-07,1232,1240,1240,1229,1984903,69707801
2025-04-08,1240,1253,1254,1241,2102293,88161307
2025-04-09,1253,1261,1261,1253,2516645,89787026
2025-04-10,1261,1285,1287,1260,2707273,99170342
2025-04-11,1285,1282,1288,1280,2452956,93986617
2025-04-12,1282,1294,1294,1282,2393571,50643417
2025-04-13,1294,1332,1332,1294,2253254,56623790
2025-04-14,1332,1322,1337,1318,2123539,52651760
2025-04-15,1322,1287,1322,1287,2106094,49542226
2025-04-16,1287,1295,1296,1283,2265184,50189528
2025-04-17,1295,1298,1298,1291,2419928,50316447
2025-04-18,1298,1310,1310,1298,2382346,53207881
2025-04-19,1310,1303,1310,1299,2358269,49955286
2025-04-20,1303,1325,1328,1303,2286545,53677227
2025-04-21,1325,1346,1346,1325,2213420,56859084
2025-04-22,1346,1358,1358,1341,2082964,51924873
2025-04-23,1358,1394,1410,1358,2310946,65429672
2025-04-24,1394,1393,1404,1380,2396998,63025242
2025-04-25,1393,1394,1398,1392,2331510,50768315
2025-04-26,1394,1373,1395,1373,2453279,49890343
2025-04-27,1373,1371,1373,1345,2275116,49187978
2025-04-28,1371,1400,1400,1353,2043254,49723000
2025-04-29,1400,1412,1418,1400,2047066,54684786
2025-04-30,1412,1402,1414,1394,2229525,67062057
2025-05-01,1402,1449,1449,1402,2568159,100489882
2025-05-02,1449,1505,1514,1448,2555235,133590104
2025-05-03,1505,1578,1578,1505,2516109,105649053
2025-05-04,1578,1683,1721,1581,2606840,189554138
2025-05-05,1683,1683,1689,1632,2280398,117033641
2025-05-06,1683,1747,1764,1684,2214830,146269599
2025-05-07,1747,1633,1746,1628,2276933,117325547
2025-05-08,1633,1492,1643,1473,2519452,109561188
2025-05-09,1492,1352,1490,1352,2266050,143257965
2025-05-10,1352,1373,1352,1373,2284523,92392072
2025-05-11,1373,1373,1399,1351,2136482,95749718
2025-05-12,1373,1317,1373,1312,1885494,81353855
2025-05-13,1317,1283,1325,1283,1968659,80719351
2025-05-14,1283,1238,1292,1238,2152173,93657647
2025-05-15,1238,1276,1278,1238,2268551,77403001
2025-05-16,1276,1315,1320,1275,2156674,82249415
2025-05-17,1315,1330,1331,1314,2268588,79186430
2025-05-18,1330,1354,1362,1330,2201502,79917956
2025-05-19,1354,1357,1374,1354,1946597,73314585
2025-05-20,1357,1338,1358,1337,1897175,68841263
2025-05-21,1338,1353,1353,1336,2114071,68424158
2025-05-22,1353,1375,1375,1353,2249623,75310128
2025-05-23,1375,1398,1398,1375,2614928,89626711
2025-05-24,1398,1408,1418,1396,2402106,88970507
2025-05-25,1408,1403,1409,1391,2208595,74468586
2025-05-26,1403,1406,1410,1404,2028486,76094450
2025-05-27,1406,1414,1414,1403,2002823,82958256
2025-05-28,1414,1446,1446,1414,2046510,78396221
2025-05-29,1446,1438,1450,1438,2335885,71718650
2025-05-30,1438,1426,1438,1419,2297540,76558859
2025-05-31,1426,1432,1433,1427,2323119,72002521
2025-06-01,1432,1447,1447,1432,2388037,82667742
2025-06-02,1447,1447,1453,1442,2087292,83177572
2025-06-03,1447,1416,1448,1415,2025342,87842703
2025-06-04,1416,1409,1417,1388,2042897,95336973
2025-06-05,1409,1409,1410,1400,2285976,77960904
2025-06-06,1409,1428,1428,1406,2072291,81544101
2025-06-07,1428,1423,1431,1422,2167065,77649732
2025-06-08,1423,1425,1428,1423,1301307,42860912
