date,open,close,high,low,volume,amount
2025-03-17,117892.94,116591.79,117968.19,115416.88,240,1358352.45
2025-03-18,116591.79,115701.7,116760.79,114578.0,275,1261497.95
2025-03-19,115701.7,114485.86,116470.24,113779.36,198,965076.98
2025-03-20,114485.86,114137.49,115001.35,111390.5,207,1104709.46
2025-03-21,114137.49,113254.9,114554.1,112549.9,224,1220586.43
2025-03-22,113254.9,112559.1,113416.4,111670.89,270,1761959.38
2025-03-23,112559.1,113511.99,113878.78,112087.5,274,1999811.15
2025-03-24,113511.99,115102.77,115258.4,113151.86,239,1906424.53
2025-03-25,115102.77,115345.52,116382.02,114291.3,313,2756550.2
2025-03-26,115345.52,114444.44,115566.24,113117.5,272,1750836.97
2025-03-27,114444.44,114175.89,114598.44,113200.49,304,1780908.76
2025-03-28,114175.89,115221.57,115294.98,112025.28,322,2218192.73
2025-03-29,115221.57,114738.77,115581.46,113102.0,331,2338312.21
2025-03-30,114738.77,114763.99,114922.9,113962.4,327,2100752.06
2025-03-31,114763.99,116434.5,116470.6,114641.0,296,2306941.13
2025-04-01,116434.5,118587.0,118773.96,115988.5,733,4366940.04
2025-04-02,118587.0,119174.99,119389.67,115527.27,367,2216244.18
2025-04-03,119174.99,118513.91,119757.49,117853.1,315,1919301.66
2025-04-04,118513.91,119188.89,119481.16,118108.33,315,2062317.59
2025-04-05,119188.89,119343.63,119705.5,117468.49,326,2371163.43
2025-04-06,119343.63,119707.78,119767.97,117825.99,367,2830539.83
2025-04-07,119707.78,121616.95,121777.29,119397.93,372,2702102.69
2025-04-08,121616.95,122278.43,123020.38,120177.99,443,4429245.48
2025-04-09,122278.43,123628.98,123876.89,121076.5,424,3661566.23
2025-04-10,123628.98,128209.4,129196.49,120320.0,407,3806890.66
2025-04-11,128209.4,127353.5,128679.0,125188.8,372,3459282.12
2025-04-12,127353.5,128564.09,129102.66,125446.5,233,1190616.5
2025-04-13,128564.09,131475.2,131668.5,127414.8,241,1505772.12
2025-04-14,131475.2,130096.5,133295.26,128339.0,248,1657263.3
2025-04-15,130096.5,124601.5,130466.99,123539.0,220,1391394.52
2025-04-16,124601.5,126732.88,128150.84,123772.48,214,1093323.81
2025-04-17,126732.88,128581.49,128729.38,125416.0,203,1095983.91
2025-04-18,128581.49,130135.9,130231.7,127614.5,234,1319301.87
2025-04-19,130135.9,130278.18,130524.8,128354.0,224,1090414.58
2025-04-20,130278.18,134321.48,135138.39,129950.37,239,1929319.87
2025-04-21,134321.48,138393.79,138761.4,133549.99,268,1886157.17
2025-04-22,138393.79,138078.48,139325.5,133768.5,262,2004471.78
2025-04-23,138078.48,143568.49,148294.49,136875.49,389,3066984.38
2025-04-24,143568.49,145791.57,147420.5,139978.49,206,1299609.31
2025-04-25,145791.57,145142.59,146965.58,142057.87,233,1510740.1
2025-04-26,145142.59,141429.66,145506.42,139824.64,226,1084395.98
2025-04-27,141429.66,142204.08,144554.5,136636.44,224,1557365.48
2025-04-28,142204.08,149331.1,149781.69,138481.5,253,1950181.5
2025-04-29,149331.1,149170.16,151095.39,145943.99,242,1758187.58
2025-04-30,149170.16,146697.79,149341.97,145252.0,261,2031479.78
2025-05-01,146697.79,150498.48,150694.99,145629.4,367,3754989.13
2025-05-02,150498.48,155139.4,158749.47,147102.48,533,5353662.3
2025-05-03,155139.4,164143.88,164257.5,150372.99,363,4165359.02
2025-05-04,164143.88,177024.97,182677.0,160592.5,640,7416549.96
2025-05-05,177024.97,183683.98,184144.5,169317.99,403,4489506.55
2025-05-06,183683.98,189417.37,197265.0,179336.0,677,6903467.69
2025-05-07,189417.37,178723.96,192347.86,178723.96,599,5757655.21
2025-05-08,178723.96,163868.89,182579.0,163868.89,434,5738423.25
2025-05-09,163868.89,132701.99,163995.39,132701.99,625,8596159.34
2025-05-10,132701.99,145078.74,146122.0,145078.74,389,4478203.62
2025-05-11,145078.74,146438.87,152802.0,142322.99,396,5229397.71
2025-05-12,146438.87,138756.35,146740.85,132509.0,319,3363479.48
2025-05-13,138756.35,134209.47,140989.87,132446.5,329,3233710.28
2025-05-14,134209.47,125862.99,136176.98,123276.0,456,4388193.45
2025-05-15,125862.99,133129.94,135321.49,133129.94,427,3503411.0
2025-05-16,133129.94,138620.79,141458.43,132055.4,355,3648940.32
2025-05-17,138620.79,140297.95,141766.52,135571.0,336,3696846.13
2025-05-18,140297.95,144268.38,147324.48,137339.5,375,3954934.05
2025-05-19,144268.38,143874.03,147850.28,142047.49,326,3623878.75
2025-05-20,143874.03,141521.79,144131.5,139680.5,308,3156362.4
2025-05-21,141521.79,144802.4,145544.99,140782.0,301,2469136.17
2025-05-22,144802.4,147120.84,147483.9,142993.44,358,2972055.29
2025-05-23,147120.84,147391.29,148305.94,144013.49,358,2860247.39
2025-05-24,147391.29,148802.81,150923.44,146886.99,383,3564245.43
2025-05-25,148802.81,150619.0,150857.28,143243.34,333,3071795.51
2025-05-26,150619.0,149989.89,151668.0,146253.9,345,2891473.03
2025-05-27,149989.89,151670.89,151830.0,146014.07,395,3812067.93
2025-05-28,151670.89,155359.3,156551.15,151275.3,335,2802905.04
2025-05-29,155359.3,154000.47,155796.26,152491.0,286,1992843.83
2025-05-30,154000.47,153519.25,154518.49,151734.89,311,2217869.93
2025-05-31,153519.25,154268.99,154514.5,153419.36,269,2057712.96
2025-06-01,154268.99,157664.0,157664.0,154121.24,460,3955113.33
2025-06-02,157664.0,157635.38,158539.5,156741.98,332,2554015.14
2025-06-03,157635.38,153442.99,157940.88,152322.84,361,4143144.11
2025-06-04,153442.99,152220.99,153442.99,148704.63,451,5162013.92
2025-06-05,152220.99,151485.18,153140.08,149087.39,317,3403806.53
2025-06-06,151485.18,154414.37,154522.49,151518.0,310,3054463.25
2025-06-07,154414.37,152912.38,154715.37,152399.38,350,2493941.53
2025-06-08,152912.38,153669.96,153772.38,152932.88,314,2568151.77
2025-06-09,153669.96,153524.7,153926.49,153362.0,396,3000434.65
2025-06-10,153524.7,151392.0,153921.7,151392.0,298,2220273.6
2025-06-11,151392.0,152599.48,152667.38,150535.0,343,3449936.81
2025-06-12,152599.48,153220.3,153220.3,152026.97,338,2522627.41
2025-06-13,153220.3,154014.68,154014.68,153173.3,324,3546547.79
2025-06-14,154014.68,153789.29,154596.56,153175.9,304,2584594.49
2025-06-15,153789.29,153353.5,153727.79,152846.3,152,1324278.18
2024-12-17,87554.65,87595.87,88060.85,87169.78,393,1378006.67
