date,open,close,high,low,volume,amount
2025-03-17,2395300.32,2394116.43,2398061.83,2391379.74,4988.0,18742172.54
2025-03-18,2394116.43,2386276.96,2394895.1,2384727.18,5177.0,18615189.27
2025-03-19,2386276.96,2371380.66,2387624.2,2371237.69,3954.0,13650213.49
2025-03-20,2371380.66,2357657.39,2371380.66,2343095.77,3737.0,13047592.08
2025-03-21,2357657.39,2350921.48,2358916.17,2350016.88,4564.0,15762149.69
2025-03-22,2350921.48,2338386.47,2351955.22,2337658.94,5782.0,20424008.07
2025-03-23,2338386.47,2341804.85,2341804.85,2337053.89,5623.0,21488770.97
2025-03-24,2341804.85,2353174.52,2353174.52,2341804.85,5362.0,21216876.57
2025-03-25,2353174.52,2361884.31,2361921.34,2353174.52,5914.0,35551364.32
2025-03-26,2361884.31,2359004.6,2363565.68,2358109.45,5456.0,21131602.6
2025-03-27,2359004.6,2355648.68,2359664.96,2354328.82,5474.0,20599946.47
2025-03-28,2355648.68,2358160.24,2358160.24,2353071.82,5536.0,21847684.34
2025-03-29,2358160.24,2349491.23,2360176.81,2346503.01,6573.0,26721868.45
2025-03-30,2349491.23,2351540.72,2351551.29,2347671.14,5741.0,23805886.88
2025-03-31,2351540.72,2368372.11,2368372.11,2351540.72,5804.0,25079201.75
2025-04-01,2368372.11,2389105.94,2389105.94,2368372.11,7201.0,33020500.45
2025-04-02,2389105.94,2401049.11,2401055.89,2389105.94,6260.0,25275541.27
2025-04-03,2401049.11,2398055.15,2402187.05,2396699.28,5897.0,23371333.85
2025-04-04,2398055.15,2398976.45,2399745.99,2397431.5,6026.0,24176804.73
2025-04-05,2398976.45,2401252.46,2401722.65,2398642.12,5601.0,22984307.84
2025-04-06,2401252.46,2400971.45,2401458.12,2397795.71,6211.0,26192762.46
2025-04-07,2400971.45,2406605.33,2406605.33,2400971.45,6356.0,26371639.8
2025-04-08,2406605.33,2417072.11,2417072.11,2405821.97,6547.0,31712953.25
2025-04-09,2417072.11,2423890.13,2423890.13,2417002.91,6481.0,30782834.11
2025-04-10,2423890.13,2436404.48,2436404.48,2423890.13,6589.0,30639275.32
2025-04-11,2436404.48,2441599.54,2441899.71,2435512.27,6102.0,28601322.72
2025-04-12,2441599.54,2454533.97,2454533.97,2441599.54,3959.0,14960176.83
2025-04-13,2454533.97,2483851.36,2483851.36,2454533.97,3832.0,15838659.08
2025-04-14,2483851.36,2476144.31,2490038.73,2473889.59,3901.0,15795568.63
2025-04-15,2476144.31,2453163.27,2477824.61,2453163.27,3832.0,15188821.12
2025-04-16,2453163.27,2454963.74,2455298.45,2446014.55,3855.0,14277011.47
2025-04-17,2454963.74,2457776.8,2458149.57,2452823.25,3741.0,13858387.98
2025-04-18,2457776.8,2466889.77,2466889.77,2457776.8,4143.0,15265449.55
2025-04-19,2466889.77,2470400.14,2470400.14,2464608.83,4140.0,15655090.5
2025-04-20,2470400.14,2494027.45,2494844.0,2470400.14,4000.0,19009584.26
2025-04-21,2494027.45,2521186.55,2521435.8,2494027.45,4144.0,19123926.81
2025-04-22,2521186.55,2530306.04,2530306.04,2517567.27,3879.0,17337907.21
2025-04-23,2530306.04,2588333.92,2597082.94,2530306.04,4341.0,23987184.71
2025-04-24,2588333.92,2584486.28,2598289.34,2574782.62,4022.0,17347123.58
2025-04-25,2584486.28,2584565.37,2589982.94,2583416.33,4010.0,16669605.33
2025-04-26,2584565.37,2564961.2,2585953.36,2564876.33,4045.0,15376972.75
2025-04-27,2564961.2,2550994.25,2564961.2,2533904.51,3913.0,16972973.45
2025-04-28,2550994.25,2561321.67,2561321.67,2543706.53,3731.0,16468039.26
2025-04-29,2561321.67,2567163.09,2574643.56,2561321.67,4046.0,17766481.27
2025-04-30,2567163.09,2556697.92,2568896.45,2555115.91,5335.0,22965416.43
2025-05-01,2556697.92,2567477.71,2567477.71,2555886.42,6932.0,30444610.17
2025-05-02,2567477.71,2591233.68,2593631.33,2567477.71,6879.0,37331688.84
2025-05-03,2591233.68,2622515.8,2622515.8,2587728.07,6327.0,33297563.64
2025-05-04,2622515.8,2713751.16,2732784.29,2622515.8,9673.0,62845863.49
2025-05-05,2713751.16,2731948.03,2733630.11,2703789.34,7695.0,40337150.41
2025-05-06,2731948.03,2795192.71,2795192.71,2731948.03,8550.0,49129030.29
2025-05-07,2795192.71,2731913.05,2796317.14,2731677.71,8156.0,41732460.36
2025-05-08,2731913.05,2637678.46,2739350.42,2637655.04,6755.0,35778876.5
2025-05-09,2637678.46,2464334.09,2637678.46,2430308.92,7998.0,48536371.37
2025-05-10,2464334.09,2497955.46,2497955.46,2458215.78,6655.0,32180009.56
2025-05-11,2497955.46,2516355.41,2531555.18,2497313.0,6755.0,34097001.09
2025-05-12,2516355.41,2468942.14,2516355.41,2468726.09,6575.0,29756518.59
2025-05-13,2468942.14,2440234.08,2472814.79,2439498.62,7216.0,29591453.35
2025-05-14,2440234.08,2376931.06,2445381.26,2376931.06,7101.0,32287206.66
2025-05-15,2376931.06,2399548.67,2399786.48,2370917.02,6132.0,28413044.77
2025-05-16,2399548.67,2437830.49,2438664.72,2399056.3,6167.0,28597822.39
2025-05-17,2437830.49,2456850.01,2456850.01,2435875.11,6186.0,28515471.97
2025-05-18,2456850.01,2476738.98,2481784.1,2456850.01,6101.0,27585727.14
2025-05-19,2476738.98,2478552.98,2487827.37,2476239.27,5602.0,25024003.88
2025-05-20,2478552.98,2461208.88,2479117.38,2461036.56,5487.0,23919164.61
2025-05-21,2461208.88,2476586.83,2476586.83,2461036.56,5522.0,22470289.29
2025-05-22,2476586.83,2495048.4,2495048.4,2476586.83,5764.0,25466774.27
2025-05-23,2495048.4,2519820.35,2519820.35,2495048.4,6326.0,28989881.08
2025-05-24,2519820.35,2541716.16,2545485.7,2519820.35,7320.0,33337873.53
2025-05-25,2541716.16,2538409.45,2542945.65,2528558.81,5987.0,27356849.18
2025-05-26,2538409.45,2540867.35,2543183.4,2538409.45,5829.0,25854347.21
2025-05-27,2540867.35,2547951.79,2547951.79,2540594.3,5963.0,27513869.75
2025-05-28,2547951.79,2566542.93,2566542.93,2547951.79,5154.0,24033572.25
2025-05-29,2566542.93,2564437.04,2569533.5,2561490.38,5564.0,23867437.38
2025-05-30,2564437.04,2556937.16,2565396.14,2550271.05,6232.0,25488287.64
2025-05-31,2556937.16,2558626.07,2559989.66,2556674.55,5905.0,23847415.95
2025-06-01,2558626.07,2567106.58,2567106.58,2558626.07,6358.0,27966663.84
2025-06-02,2567106.58,2568554.09,2571588.8,2565298.03,6157.0,27274895.23
2025-06-03,2568554.09,2550484.28,2569874.05,2549938.04,5950.0,29100335.4
2025-06-04,2550484.28,2542097.54,2550484.28,2526268.41,5950.0,30579356.34
2025-06-05,2542097.54,2538189.19,2542569.25,2533983.92,5610.0,24863059.9
2025-06-06,2538189.19,2546156.2,2546156.2,2536243.46,5919.0,26400795.94
2025-06-07,2546156.2,2547244.84,2549903.5,2545797.08,5944.0,25547708.15
2025-06-08,2547244.84,2548424.68,2549443.1,2546928.85,5793.0,24174706.26
2025-06-09,2548424.68,2553374.98,2553374.98,2548378.55,6518.0,29082331.98
2025-06-10,2553374.98,2550317.96,2555019.52,2550317.96,6424.0,27580348.99
2025-06-11,2550317.96,2549925.22,2552620.11,2543745.05,6419.0,27956022.47
