date,open,close,high,low,volume,amount
2025-03-17,37972.49,37811.23,38161.19,37271.88,590,937854.3
2025-03-18,37811.23,37549.9,37888.03,37240.28,658,1028187.11
2025-03-19,37549.9,37106.59,37642.56,36951.85,432,670570.22
2025-03-20,37106.59,37041.68,37275.75,36137.89,506,790924.22
2025-03-21,37041.68,36824.27,37199.65,36403.87,522,780661.6
2025-03-22,36824.27,36330.95,36917.18,35810.08,829,1256949.59
2025-03-23,36330.95,36593.02,36684.89,35979.28,855,1308496.34
2025-03-24,36593.02,36793.0,36973.5,36350.67,874,1273031.33
2025-03-25,36793.0,36899.84,37091.21,36568.37,806,1192366.66
2025-03-26,36899.84,36498.75,37017.04,36000.9,828,1267087.81
2025-03-27,36498.75,36307.48,36654.26,35989.66,1084,1614781.61
2025-03-28,36307.48,36238.51,36452.75,35879.88,869,1325359.94
2025-03-29,36238.51,35887.33,36385.26,35452.48,1045,1524727.0
2025-03-30,35887.33,35857.86,36046.56,35525.75,872,1283132.92
2025-03-31,35857.86,36339.71,36429.69,35619.95,1042,1556920.42
2025-04-01,36339.71,36393.24,37015.99,35868.78,1285,1925700.03
2025-04-02,36393.24,35894.31,36651.58,35555.73,936,1438299.65
2025-04-03,35894.31,35712.76,36374.13,35315.64,969,1414507.12
2025-04-04,35712.76,35490.15,35879.95,35214.88,931,1365608.65
2025-04-05,35490.15,35080.64,35579.84,34957.09,884,1273248.18
2025-04-06,35080.64,35397.45,35613.88,34727.27,1062,1532586.99
2025-04-07,35397.45,35356.68,35705.35,35067.04,1141,1635030.85
2025-04-08,35356.68,35287.21,35607.63,35071.15,1136,1666762.5
2025-04-09,35287.21,35090.35,35429.47,34789.27,1095,1577639.03
2025-04-10,35090.35,34814.94,35280.06,34552.15,1025,1476257.16
2025-04-11,34814.94,34760.99,35048.37,34462.2,906,1305530.38
2025-04-12,34760.99,34887.09,35012.65,34502.61,565,850716.83
2025-04-13,34887.09,34950.16,35125.9,34605.7,606,908811.93
2025-04-14,34950.16,34926.84,35135.08,34538.56,593,868887.95
2025-04-15,34926.84,34854.48,35034.54,34589.3,575,844171.54
2025-04-16,34854.48,34795.98,34962.07,34531.88,623,923926.28
2025-04-17,34795.98,34926.07,35029.52,34444.24,729,1097088.5
2025-04-18,34926.07,34862.54,35042.55,34675.96,686,1027245.65
2025-04-19,34862.54,34826.63,34956.28,34648.17,651,1007502.67
2025-04-20,34826.63,34752.03,34944.71,34460.5,590,889641.01
2025-04-21,34752.03,34718.19,34952.65,34481.87,654,1029221.0
2025-04-22,34718.19,35375.37,35589.26,34284.46,846,1263168.58
