date,open,close,high,low,volume,amount
2025-03-17,66535.04,66654.16,66888.49,66535.04,320711.0,840369.64
2025-03-18,66654.16,66710.12,66906.07,66618.19,343273.0,809708.59
2025-03-19,66710.12,66467.89,66757.35,66458.16,312955.0,726914.01
2025-03-20,66467.89,66350.44,66540.45,66316.61,291652.0,653495.5
2025-03-21,66350.44,66243.56,66480.87,66209.53,324828.0,710699.95
2025-03-22,66243.56,66171.59,66296.07,66144.51,332370.0,723414.95
2025-03-23,66171.59,66175.25,66258.08,66125.25,360106.0,802331.72
2025-03-24,66175.25,66246.56,66246.56,66093.7,283331.0,715473.56
2025-03-25,66246.56,66277.08,66331.49,66220.14,307307.0,669284.69
2025-03-26,66277.08,66125.86,66353.45,66082.19,303325.0,713460.99
2025-03-27,66125.86,66080.96,66200.83,66042.09,318443.0,753234.13
2025-03-28,66080.96,66663.63,66920.09,66080.82,331471.0,764444.92
2025-03-29,66663.63,66416.66,66924.26,66383.98,315646.0,736370.65
2025-03-30,66416.66,66538.57,66538.57,66193.37,309302.0,694154.99
2025-03-31,66538.57,66811.03,66811.03,66508.31,306956.0,730971.49
2025-04-01,66811.03,69496.81,69496.81,66804.32,352353.0,1071039.94
2025-04-02,69496.81,68662.42,69548.73,68570.9,417109.0,945492.39
2025-04-03,68662.42,68288.04,68745.53,68038.84,353794.0,760707.4
2025-04-04,68288.04,68200.0,68953.61,68156.46,298524.0,758031.65
2025-04-05,68200.0,68568.39,68578.54,68172.36,412476.0,1179637.52
2025-04-06,68568.39,68835.85,68835.85,68568.39,439002.0,1344163.03
2025-04-07,68835.85,68783.32,68970.81,68736.41,325519.0,908397.87
2025-04-08,68783.32,69160.64,69160.64,68783.32,306512.0,841291.56
2025-04-09,69160.64,69016.95,69259.6,68995.59,317797.0,774314.95
2025-04-10,69016.95,69031.38,69259.6,68929.47,329040.0,803105.61
2025-04-11,69031.38,68793.4,69071.23,68790.56,320992.0,744165.98
2025-04-12,68793.4,68991.53,69015.05,68639.9,347741.0,799564.18
2025-04-13,68991.53,68933.54,69179.79,68929.37,321590.0,851023.03
2025-04-14,68933.54,69398.37,69454.35,68933.54,319871.0,814183.05
2025-04-15,69398.37,69296.64,69664.52,69294.17,290625.0,806067.06
2025-04-16,69296.64,68978.68,69315.48,68949.45,323763.0,811297.42
2025-04-17,68978.68,69051.85,69139.79,68823.68,296210.0,811459.25
2025-04-18,69051.85,69648.17,69711.01,69051.85,310061.0,920704.14
2025-04-19,69648.17,69900.45,69993.54,69623.7,317673.0,809807.8
2025-04-20,69900.45,69754.16,69993.76,69736.57,305774.0,692804.8
2025-04-21,69754.16,69919.4,70105.15,69579.05,285541.0,670269.63
2025-04-22,69919.4,69840.42,70085.95,69614.48,267597.0,706301.6
2025-04-23,69840.42,69919.49,69978.35,69826.86,281214.0,677926.64
2025-04-24,69919.49,70061.14,70145.32,69918.98,260451.0,620580.74
2025-04-25,70061.14,70883.66,70976.61,70061.14,277222.0,661713.37
2025-04-26,70883.66,70462.45,70916.1,70403.28,300571.0,725486.56
2025-04-27,70462.45,70294.41,70528.79,70223.35,307856.0,733140.3
2025-04-28,70294.41,70367.53,70528.79,70107.79,260861.0,661172.59
2025-04-29,70367.53,70330.56,70496.95,70291.37,236797.0,605617.59
2025-04-30,70330.56,70305.6,70463.9,70255.03,277415.0,641804.27
2025-05-01,70305.6,70200.8,70602.98,70052.37,324778.0,895327.07
2025-05-02,70200.8,72931.79,73493.34,70176.65,371897.0,1034143.04
2025-05-03,72931.79,72950.53,73118.88,72277.8,341769.0,842068.26
2025-05-04,72950.53,73659.45,74033.52,72950.53,324214.0,857886.64
2025-05-05,73659.45,77114.27,81629.23,73600.65,331265.0,817699.96
2025-05-06,77114.27,75982.73,77228.7,74939.91,335337.0,882464.6
2025-05-07,75982.73,75759.49,76118.06,75682.34,295756.0,806469.82
2025-05-08,75759.49,75253.41,76103.92,75199.44,304176.0,752489.06
2025-05-09,75253.41,73159.2,75315.47,73144.2,314141.0,723493.24
2025-05-10,73159.2,73266.02,73514.84,72886.87,298853.0,764159.86
2025-05-11,73266.02,73335.54,73608.7,73232.85,293250.0,767912.67
2025-05-12,73335.54,73219.39,73695.66,73174.23,258318.0,745270.66
2025-05-13,73219.39,75636.15,75640.27,73219.39,302953.0,946643.73
2025-05-14,75636.15,75174.78,75650.34,75090.15,285742.0,725204.87
2025-05-15,75174.78,75078.71,75404.61,75069.76,278071.0,699522.53
2025-05-16,75078.71,74774.63,75334.23,74754.46,278247.0,736408.94
2025-05-17,74774.63,75252.93,75256.45,74768.44,269231.0,757693.31
2025-05-18,75252.93,75735.37,76036.17,75227.3,299594.0,797480.22
2025-05-19,75735.37,76033.25,76072.7,75685.05,295051.0,706022.74
2025-05-20,76033.25,76241.03,76303.01,75965.01,276475.0,648096.91
2025-05-21,76241.03,75687.73,76241.03,75492.11,262752.0,667913.7
