date,open,close,high,low,volume,amount
2025-03-17,78674.26,78141.7,78866.99,78032.27,44,140386.3
2025-03-18,78141.7,77691.66,78153.75,77449.04,64,216880.82
2025-03-19,77691.66,76109.55,77767.0,76109.55,80,196455.07
2025-03-20,76109.55,76371.15,76413.2,74349.75,57,136782.32
2025-03-21,76371.15,75469.18,76315.22,75384.89,66,149747.92
2025-03-22,75469.18,74610.04,75477.08,74584.97,63,213936.91
2025-03-23,74610.04,75715.8,75715.8,74581.77,61,195704.82
2025-03-24,75715.8,76743.67,76743.67,75719.23,53,175969.46
2025-03-25,76743.67,76729.49,77068.44,76641.87,54,135987.06
2025-03-26,76729.49,76384.89,76819.28,76040.97,55,205244.18
2025-03-27,76384.89,75968.89,76391.37,75822.09,117,291820.48
2025-03-28,75968.89,76256.15,76256.15,75740.5,77,191652.28
2025-03-29,76256.15,75607.75,76270.49,75108.9,99,312936.4
2025-03-30,75607.75,75681.29,75708.18,75412.89,65,162054.8
2025-03-31,75681.29,76958.78,76972.39,75672.29,83,294385.41
2025-04-01,76958.78,77896.86,77913.86,77010.9,104,370757.41
2025-04-02,77896.86,77848.16,78246.87,77747.79,118,460537.65
2025-04-03,77848.16,77528.89,78008.55,77052.89,127,393362.26
2025-04-04,77528.89,77610.16,77627.27,77405.58,105,450362.12
2025-04-05,77610.16,77404.82,77660.17,77276.83,141,537211.54
2025-04-06,77404.82,77256.87,77409.5,77099.96,118,417003.45
2025-04-07,77256.87,78140.69,78140.69,77256.37,164,954805.68
2025-04-08,78140.69,78542.07,78659.25,78109.09,181,876859.26
2025-04-09,78542.07,79272.3,79272.3,78305.67,157,697148.96
2025-04-10,79272.3,80680.79,81288.53,79079.0,172,883922.45
2025-04-11,80680.79,80493.76,81089.44,79873.3,181,563886.5
2025-04-12,80493.76,80923.0,80923.0,80443.72,179,663142.13
2025-04-13,80923.0,82250.85,82426.29,80956.84,171,700446.97
2025-04-14,82250.85,81341.48,82393.0,80612.0,204,767824.32
2025-04-15,81341.48,79061.89,81495.65,79061.89,195,840790.67
2025-04-16,79061.89,79939.23,80186.19,79098.65,196,789900.94
2025-04-17,79939.23,80146.68,80146.68,79556.14,221,812817.98
2025-04-18,80146.68,80699.35,80779.37,79910.4,247,807806.6
2025-04-19,80699.35,80613.8,80744.07,80089.9,218,839714.24
2025-04-20,80613.8,81985.89,82399.29,80640.35,262,1041668.13
2025-04-21,81985.89,83875.78,83887.82,81862.68,306,1340142.47
2025-04-22,83875.78,83774.77,84116.5,82144.3,213,1010054.51
2025-04-23,83774.77,85167.46,86489.6,83787.67,291,1377891.66
2025-04-24,85167.46,85460.36,86107.37,84591.16,277,958767.87
2025-04-25,85460.36,85284.28,85591.3,84661.5,225,820264.55
2025-04-26,85284.28,84171.73,85383.5,84146.27,245,957816.93
2025-04-27,84171.73,84111.84,84508.28,82322.26,234,841049.89
2025-04-28,84111.84,84798.5,84798.5,83122.5,230,902577.92
2025-04-29,84798.5,85366.37,85471.3,84878.5,224,771255.92
2025-04-30,85366.37,84457.22,85449.87,84207.35,252,822734.3
2025-05-01,84457.22,85516.16,85538.37,84336.85,287,1198349.94
2025-05-02,85516.16,87082.9,87241.0,85523.03,293,1332051.12
2025-05-03,87082.9,88668.49,88668.49,86589.22,309,1343092.91
2025-05-04,88668.49,97360.65,99552.57,88887.98,548,2059664.21
2025-05-05,97360.65,97530.95,97530.95,93732.38,290,1142663.46
