date,open,close,high,low,volume,amount
2025-03-17,128371.5,126912.29,128745.48,126509.79,186,1387921.45
2025-03-18,126912.29,127040.84,127864.49,125902.0,172,1179944.5
2025-03-19,127040.84,125908.5,127493.99,125374.0,141,961095.38
2025-03-20,125908.5,125184.78,126256.5,122982.0,109,782104.75
2025-03-21,125184.78,124562.48,125423.98,123712.94,167,1084638.56
2025-03-22,124562.48,123338.99,124825.49,122742.0,203,1468173.83
2025-03-23,123338.99,124203.37,124544.86,122876.49,180,1305636.24
2025-03-24,124203.37,125644.28,125710.25,123741.0,197,1632784.68
2025-03-25,125644.28,126144.98,126560.4,124877.0,261,2276983.12
2025-03-26,126144.98,125244.98,126285.29,124509.68,180,1256136.79
2025-03-27,125244.98,124918.39,125485.2,124237.92,204,1466553.64
2025-03-28,124918.39,125264.66,125508.87,123854.0,192,1484065.18
2025-03-29,125264.66,125073.96,125630.88,123964.98,249,2031454.42
2025-03-30,125073.96,125085.82,125306.49,124256.98,200,1716205.92
2025-03-31,125085.82,126334.3,126539.5,124724.39,231,1901158.29
2025-04-01,126334.3,127401.79,127569.49,125525.4,307,2741128.02
2025-04-02,127401.79,129104.3,129293.9,127085.4,269,2238900.43
2025-04-03,129104.3,129004.57,129643.8,128140.67,269,2026538.41
2025-04-04,129004.57,128957.0,129414.4,127350.5,210,1844925.28
2025-04-05,128957.0,128918.18,129284.5,125319.99,232,1897618.96
2025-04-06,128918.18,129382.33,129665.93,126682.0,267,2526047.84
2025-04-07,129382.33,129958.6,130152.99,127624.43,272,2465665.13
2025-04-08,129958.6,130242.68,130704.39,128979.1,323,3238883.16
2025-04-09,130242.68,130509.37,130813.98,129271.5,305,3021379.94
2025-04-10,130509.37,132167.4,132722.28,129868.9,334,3443983.05
2025-04-11,132167.4,132546.79,133564.99,130678.61,294,2908803.46
2025-04-12,132546.79,133748.58,133872.88,129448.49,180,1322625.45
2025-04-13,133748.58,137262.78,139021.75,133039.49,192,1851161.26
2025-04-14,137262.78,136470.72,138435.88,135054.22,186,1585804.35
2025-04-15,136470.72,140095.52,143170.22,138857.02,174,1321967.45
2025-04-16,140095.52,140799.5,141720.0,138228.02,175,1214240.37
2025-04-17,140799.5,141215.94,142113.78,139724.4,165,1151847.56
2025-04-18,141215.94,142301.86,142894.95,140216.8,185,1497138.81
2025-04-19,142301.86,142142.96,142846.36,138213.5,176,1396188.09
2025-04-20,142142.96,145071.75,145438.97,141473.15,203,2085586.88
2025-04-21,145071.75,149206.37,149976.27,143784.48,228,2573567.4
2025-04-22,149206.37,150928.58,152182.36,146432.87,211,1722154.68
2025-04-23,150928.58,162995.65,168894.49,149302.0,325,3810246.97
2025-04-24,162995.65,169134.38,174038.38,163948.06,178,1597203.91
2025-04-25,169134.38,169292.99,171839.64,166383.38,187,1518394.23
2025-04-26,169292.99,166304.13,169954.16,163593.98,179,1450228.78
2025-04-27,166304.13,165074.95,168470.12,160249.48,188,2414256.42
2025-04-28,165074.95,169332.65,169941.64,162680.37,199,2045868.05
2025-04-29,169332.65,168485.89,171625.0,166766.48,222,2461140.97
2025-04-30,168485.89,165879.47,168920.39,160316.15,224,2052789.75
2025-05-01,165879.47,167847.77,168609.87,164087.6,272,2914236.36
2025-05-02,167847.77,172992.99,175229.19,166883.0,399,5381106.99
2025-05-03,172992.99,179184.89,179804.0,169061.49,356,4297437.91
2025-05-04,179184.89,189295.92,196564.47,175946.49,640,8027599.7
2025-05-05,189295.92,195831.22,197219.88,184316.6,379,4216961.93
2025-05-06,195831.22,200649.0,204752.0,186676.87,537,5643560.29
2025-05-07,200649.0,194352.88,203700.5,188349.99,427,4527456.22
2025-05-08,194352.88,182067.99,195208.88,176716.49,305,3932841.8
2025-05-09,182067.99,157928.4,182526.99,157928.4,491,5829206.77
2025-05-10,157928.4,160953.4,165308.0,160953.4,374,3775182.36
2025-05-11,160953.4,164658.59,168711.78,157576.6,365,3820946.35
2025-05-12,164658.59,156488.09,165187.59,154505.09,303,2777780.74
2025-05-13,156488.09,152137.38,157956.09,149754.5,336,3155352.21
2025-05-14,152137.38,144355.96,154790.49,142804.35,415,3727604.68
2025-05-15,144355.96,149131.47,151236.19,149131.47,325,2767832.32
2025-05-16,149131.47,154098.88,155732.0,144532.3,302,2949125.94
2025-05-17,154098.88,156057.34,156593.76,151881.08,268,2697422.59
2025-05-18,156057.34,158663.89,161328.85,152418.97,282,2613205.29
2025-05-19,158663.89,157324.77,160275.23,156291.33,252,2270819.17
2025-05-20,157324.77,154544.53,158282.79,153547.48,268,2417294.22
2025-05-21,154544.53,157541.02,158244.64,153455.93,233,2024595.13
2025-05-22,157541.02,170689.99,171392.03,166400.5,273,2535292.22
2025-05-23,170689.99,172882.48,174023.36,169330.83,316,3216504.89
2025-05-24,172882.48,175406.84,177421.24,169372.29,338,3409617.63
2025-05-25,175406.84,175153.41,176171.0,171120.72,259,2533264.98
2025-05-26,175153.41,175259.8,176604.5,173440.15,292,3129754.87
2025-05-27,175259.8,174966.88,175899.44,172727.43,261,2712053.83
2025-05-28,174966.88,178667.97,179311.6,171387.65,310,3323511.62
2025-05-29,178667.97,178136.93,180200.91,175842.47,276,2445053.14
2025-05-30,178136.93,177818.52,178972.94,175340.49,278,2575803.18
2025-05-31,177818.52,177651.22,178273.51,177651.22,229,1916515.7
2025-06-01,177651.22,179563.95,179584.95,177559.71,288,2628645.93
2025-06-02,179563.95,179318.94,180353.15,178360.04,293,2721073.54
2025-06-03,179318.94,176341.28,179437.94,175870.77,306,3211061.94
2025-06-04,176341.28,174811.7,176491.99,172524.59,327,3970254.08
2025-06-05,174811.7,174200.6,174797.2,173348.48,244,2350926.37
2025-06-06,174200.6,175582.57,175582.57,173290.5,255,2564539.89
2025-06-07,175582.57,175460.01,176251.83,175182.7,243,2271856.65
2025-06-08,175460.01,175588.98,175736.9,174909.47,235,2133530.65
2025-06-09,175588.98,175861.23,176201.0,175494.69,316,2999768.8
2025-06-10,175861.23,175432.18,176166.85,175193.53,247,2162473.62
2025-06-11,175432.18,174546.58,175581.99,173966.69,282,2786916.73
2025-06-12,174546.58,175834.92,175834.92,174538.18,253,2515980.75
2025-06-13,175834.92,176281.13,176321.63,175563.02,269,2545665.58
2025-06-14,176281.13,175390.42,176280.63,175390.42,238,2330804.62
2025-06-15,175390.42,175171.7,175557.28,174885.69,130,964435.65
2024-12-17,97139.21,97689.14,97743.75,96906.9,229,1206518.53
2024-12-18,97689.14,97682.77,97883.89,97439.91,216,1068682.64
2024-12-19,97682.77,97902.62,97978.26,97457.8,260,1418397.31
2024-12-20,97902.62,98338.27,98555.96,97591.37,241,1387384.23
2024-12-21,98338.27,98785.49,98963.4,98118.38,242,1309970.0
2024-12-22,98785.49,99315.76,99408.38,98226.77,233,1353516.33
2024-12-23,99315.76,99503.02,99695.75,99017.3,195,1063791.5
2024-12-24,99503.02,99513.94,99680.14,99301.82,157,713475.85
2024-12-25,99513.94,99398.17,99647.11,98819.95,206,1085982.43
2024-12-26,99398.17,99641.78,99817.11,98543.87,231,1248633.23
2024-12-27,99641.78,99768.7,99933.37,99416.68,211,1128834.09
2024-12-28,99768.7,99951.06,100115.77,99397.33,219,1308609.36
2024-12-29,99951.06,100339.2,100540.36,99706.29,174,872730.64
2024-12-30,100339.2,100804.73,100933.99,100164.83,205,1025704.62
