date,open,close,high,low,volume,amount
2025-03-17,28437.02,28437.02,28437.02,28620.69,184347.0,1111402.17
2025-03-18,28437.02,28437.02,28437.02,28380.57,176853.0,1056681.81
2025-03-19,28437.02,28260.61,30794.47,28222.47,178042.0,925775.26
2025-03-20,28260.61,28018.95,28260.61,27703.62,191533.0,951572.45
2025-03-21,28018.95,27588.57,28036.02,27566.14,185568.0,888988.56
2025-03-22,27588.57,27487.29,27665.27,27487.29,193541.0,2995612.54
2025-03-23,27487.29,27421.72,27546.92,27356.69,205026.0,1017859.43
2025-03-24,27421.72,27353.34,27434.19,27332.0,177410.0,1661535.51
2025-03-25,27353.34,27748.4,27806.26,27342.25,183052.0,1004105.53
2025-03-26,27748.4,27514.09,27769.63,27514.09,176470.0,948590.47
2025-03-27,27514.09,27486.18,27766.38,27478.64,209018.0,1015637.09
2025-03-28,27486.18,27467.09,27502.08,27287.27,185995.0,10985004.93
2025-03-29,27467.09,27345.83,27554.36,27205.47,191332.0,1073482.86
2025-03-30,27345.83,27230.31,27354.31,27206.14,185298.0,967068.14
2025-03-31,27230.31,27282.77,27301.26,27178.26,201421.0,1191250.04
2025-04-01,27282.77,27516.57,27517.8,27280.16,284428.0,3614913.73
2025-04-02,27516.57,27626.68,27681.23,27515.67,276572.0,1246377.94
2025-04-03,27626.68,27557.31,27678.08,27557.31,266321.0,1250760.81
2025-04-04,27557.31,27418.46,27578.93,27418.46,232504.0,1138740.48
2025-04-05,27418.46,27382.9,27551.42,27361.26,230572.0,1121575.71
2025-04-06,27382.9,27535.62,27683.3,27306.18,229014.0,1262276.74
2025-04-07,27535.62,27454.44,27700.45,27431.11,203859.0,1213547.0
2025-04-08,27454.44,27494.86,27634.13,27438.44,203794.0,1219893.27
2025-04-09,27494.86,27526.93,27542.3,27396.78,229004.0,1498405.86
2025-04-10,27526.93,27421.94,27560.27,27379.58,250511.0,1518250.98
2025-04-11,27421.94,27664.11,27689.17,27421.94,213912.0,13411356.19
2025-04-12,27664.11,27639.06,27698.52,27620.53,208776.0,1285295.76
2025-04-13,27639.06,27603.45,27696.23,27443.52,220048.0,1289948.13
2025-04-14,27603.45,27741.28,27800.58,27546.75,198325.0,1233415.62
2025-04-15,27741.28,27533.33,27773.38,27532.91,192146.0,1210497.79
2025-04-16,27533.33,27643.62,27663.93,27489.38,201549.0,1331318.36
2025-04-17,27643.62,27776.74,27782.73,27582.04,231168.0,1426771.39
2025-04-18,27776.74,27737.34,27805.98,27713.61,211718.0,1302694.99
2025-04-19,27737.34,27615.5,27776.43,27613.59,214487.0,1343183.38
2025-04-20,27615.5,27720.45,27840.31,27586.98,204008.0,1193590.26
2025-04-21,27720.45,27735.06,27905.22,27521.54,178839.0,1104092.66
2025-04-22,27735.06,27686.26,27831.88,27675.48,163289.0,965850.71
2025-04-23,27686.26,28047.02,28048.17,27655.89,198492.0,1173506.44
2025-04-24,28047.02,27930.7,28103.86,27924.31,206334.0,11138390.23
2025-04-25,27930.7,27873.88,27949.9,27820.88,182012.0,1120940.77
2025-04-26,27873.88,27946.82,27955.86,27803.89,182153.0,1155183.38
2025-04-27,27946.82,27934.27,28043.52,27906.57,168070.0,984011.32
2025-04-28,27934.27,27881.37,27935.84,27793.46,157081.0,928903.1
2025-04-29,27881.37,27936.33,28055.97,27849.89,154623.0,887682.35
2025-04-30,27936.33,28095.47,28161.02,27931.51,173081.0,1047318.51
2025-05-01,28095.47,29544.87,29544.87,28095.47,191952.0,1278271.02
2025-05-02,29544.87,30180.67,31476.33,29209.28,188232.0,1314217.94
2025-05-03,30180.67,31038.19,31038.19,30172.44,173734.0,1126863.89
2025-05-04,31038.19,31709.34,32034.7,31001.67,186513.0,1484853.98
2025-05-05,31709.34,31579.43,32277.28,31090.83,165374.0,1175277.1
2025-05-06,31579.43,32351.15,32463.88,31579.43,161714.0,1214981.98
2025-05-07,32351.15,31626.74,33594.58,31610.94,185576.0,1072293.76
2025-05-08,31626.74,31070.29,31690.97,31056.86,222414.0,1160568.64
2025-05-09,31070.29,28690.4,31070.29,28690.4,184465.0,1090306.32
2025-05-10,28690.4,28608.56,29129.37,27818.3,188658.0,1076181.08
2025-05-11,28608.56,28280.31,29355.82,28175.47,183908.0,1106286.4
2025-05-12,28280.31,28063.67,28330.56,27931.95,165159.0,975861.35
2025-05-13,28063.67,27276.65,28249.01,27276.65,181245.0,1031940.58
2025-05-14,27276.65,26817.34,27345.3,26798.08,191541.0,1052201.33
2025-05-15,26817.34,27505.32,27505.32,26463.7,211334.0,1064826.92
2025-05-16,27505.32,27526.01,27605.95,27347.28,188357.0,1050063.1
2025-05-17,27526.01,27726.34,27726.34,27362.69,194618.0,1176068.37
2025-05-18,27726.34,27930.93,27930.93,27620.48,191743.0,1060468.95
2025-05-19,27930.93,28038.19,28214.85,27930.93,159012.0,912715.41
2025-05-20,28038.19,28117.4,28270.67,27917.7,160436.0,948893.38
2025-05-21,28117.4,27763.32,28117.4,27698.4,182416.0,941248.57
2025-05-22,27763.32,28205.03,28205.03,27698.4,206244.0,1143498.34
2025-05-23,28205.03,28492.55,28492.55,28162.92,200004.0,1272160.14
2025-05-24,28492.55,28402.22,28511.75,28340.1,200688.0,1083427.87
2025-05-25,28402.22,28682.98,28682.98,28402.22,186462.0,1006981.5
2025-05-26,28682.98,29045.17,29776.85,28623.02,164233.0,984335.66
2025-05-27,29045.17,28681.72,29068.22,28605.64,184428.0,1005998.3
2025-05-28,28681.72,28972.14,28976.73,28669.01,171758.0,921868.37
2025-05-29,28972.14,29029.34,29098.01,28968.62,201186.0,1019148.33
2025-05-30,29029.34,28930.65,29056.83,28751.49,191554.0,1048239.58
2025-05-31,28930.65,28783.07,28930.65,28742.33,178719.0,969709.5
2025-06-01,28783.07,29069.64,29078.41,28744.4,180593.0,1069039.75
2025-06-02,29069.64,29069.54,29170.72,29000.2,163155.0,947764.71
2025-06-03,29069.54,29011.75,29138.89,28924.69,162706.0,957272.79
2025-06-04,29011.75,28991.12,29096.39,28965.2,168571.0,981051.67
2025-06-05,28991.12,28841.26,29041.68,28783.76,202059.0,1051738.98
2025-06-06,28841.26,28864.96,28946.27,28725.15,167838.0,983923.28
2025-06-07,28864.96,28972.33,29026.6,28864.96,172627.0,1014135.25
2025-06-08,28972.33,28992.82,29078.18,28968.79,168104.0,1036141.39
2025-06-09,28992.82,29190.51,29194.12,28920.83,149801.0,926490.05
2025-06-10,29190.51,28950.07,29249.01,28887.88,150514.0,868297.86
