date,open,close,high,low,volume,amount
2025-03-17,897103.39,888808.62,897795.2,888424.78,1857.0,6660231.46
2025-03-18,888808.62,881845.05,888913.06,880941.56,1820.0,7037342.55
2025-03-19,881845.05,867481.91,883191.46,867481.91,1448.0,5567076.97
2025-03-20,867481.91,861720.25,867481.91,850548.44,1371.0,5128076.91
2025-03-21,861720.25,860345.58,862373.88,856788.01,1729.0,7000038.52
2025-03-22,860345.58,854231.57,860345.58,852952.21,2174.0,6938335.83
2025-03-23,854231.57,860713.07,860766.28,853944.25,2145.0,8759349.79
2025-03-24,860713.07,868703.85,868703.85,860713.07,2082.0,7154736.69
2025-03-25,868703.85,877350.77,878085.57,868703.85,2276.0,9650508.21
2025-03-26,877350.77,870753.47,877352.27,870434.03,2120.0,7795846.55
2025-03-27,870753.47,867693.15,870990.29,867025.44,2148.0,7582833.02
2025-03-28,867693.15,870928.9,871409.26,866418.68,2208.0,8118846.03
2025-03-29,870928.9,866944.86,872622.89,863884.6,2624.0,9994722.42
2025-03-30,866944.86,867804.64,868037.88,865387.12,2230.0,8752923.89
2025-03-31,867804.64,882603.71,882603.71,867790.33,2448.0,10295004.81
2025-04-01,882603.71,903538.27,903612.78,882603.71,3019.0,15409872.99
2025-04-02,903538.27,910664.7,910798.76,903368.54,2669.0,11497769.17
2025-04-03,910664.7,904275.63,910693.47,903810.77,2427.0,10377535.67
2025-04-04,904275.63,907061.84,907217.9,904211.23,2321.0,8942733.41
2025-04-05,907061.84,904580.59,907877.62,903947.55,2262.0,8473753.58
2025-04-06,904580.59,908260.75,908260.75,901347.95,2459.0,10372545.58
2025-04-07,908260.75,930952.45,930952.45,902352.68,2626.0,12341136.84
2025-04-08,930952.45,958581.09,963436.01,930952.45,3100.0,20469579.6
2025-04-09,958581.09,972312.43,972355.13,952043.71,3048.0,19457148.47
2025-04-10,972312.43,1017592.14,1022926.36,972312.43,3632.0,24063140.78
2025-04-11,1017592.14,1010686.11,1020568.13,1007254.75,2730.0,14295227.07
2025-04-12,1010686.11,1024217.33,1024217.33,1006808.18,1582.0,5347573.8
2025-04-13,1024217.33,1081118.34,1081850.35,1024217.33,2105.0,10324657.57
2025-04-14,1081118.34,1058687.91,1087494.77,1057227.35,1890.0,8028513.67
2025-04-15,1058687.91,1008877.91,1060102.4,1007176.35,1477.0,6630681.04
2025-04-16,1008877.91,1023648.09,1026071.09,1003573.99,1497.0,6622826.55
2025-04-17,1023648.09,1026536.24,1026536.24,1006355.17,1457.0,5396730.43
2025-04-18,1026536.24,1039411.39,1039411.39,1025831.44,1605.0,6375491.94
2025-04-19,1039411.39,1036180.77,1039411.39,1032267.88,1487.0,5312129.3
2025-04-20,1036180.77,1064985.99,1069400.03,1036179.06,1623.0,7472366.96
2025-04-21,1064985.99,1077881.57,1079367.51,1064770.17,1582.0,8524039.49
2025-04-22,1077881.57,1103526.4,1103526.4,1075419.87,1617.0,7521994.46
2025-04-23,1103526.4,1129685.79,1148609.96,1103526.4,1713.0,9992049.46
2025-04-24,1129685.79,1130408.58,1138559.51,1114784.52,1606.0,7980698.08
2025-04-25,1130408.58,1127878.79,1138176.32,1126231.77,1482.0,6663446.6
2025-04-26,1127878.79,1103154.5,1129425.32,1102630.7,1497.0,5091167.41
2025-04-27,1103154.5,1104120.56,1108788.54,1080619.28,1391.0,5673079.73
2025-04-28,1104120.56,1147816.79,1148879.06,1100173.91,1358.0,6628107.75
2025-04-29,1147816.79,1162723.98,1172570.46,1147816.79,1500.0,7833449.5
2025-04-30,1162723.98,1146924.04,1164302.54,1145488.59,2092.0,11445145.15
2025-05-01,1146924.04,1201853.35,1201853.35,1146924.04,2770.0,20002185.7
2025-05-02,1201853.35,1280608.63,1299608.36,1199996.03,3743.0,32475987.55
2025-05-03,1280608.63,1367946.83,1367946.83,1273725.63,2928.0,22330025.93
2025-05-04,1367946.83,1473527.57,1520857.21,1367946.83,6749.0,48117862.6
2025-05-05,1473527.57,1451003.74,1473527.57,1399941.95,3419.0,26459266.05
2025-05-06,1451003.74,1559234.65,1595803.13,1450528.49,7203.0,40872083.52
2025-05-07,1559234.65,1400670.75,1559234.65,1393766.13,4065.0,27865344.26
2025-05-08,1400670.75,1232840.66,1412699.38,1232840.66,2794.0,25651096.51
2025-05-09,1232840.66,997843.42,1232840.66,953461.1,3556.0,39097737.62
2025-05-10,997843.42,1096445.07,1097979.12,985563.57,2811.0,20772886.74
2025-05-11,1096445.07,1106306.81,1141792.13,1084501.55,2961.0,21387467.15
2025-05-12,1106306.81,1027499.57,1106834.38,1018804.47,2948.0,17079196.68
2025-05-13,1027499.57,990348.9,1050858.63,986894.98,3016.0,15908490.37
2025-05-14,990348.9,931991.0,1002814.48,931991.0,3933.0,20236948.77
2025-05-15,931991.0,988272.1,992327.09,931101.45,2822.0,14680056.93
2025-05-16,988272.1,1032942.73,1043706.57,985554.79,2798.0,17102653.83
2025-05-17,1032942.73,1041139.76,1046655.94,1031743.12,2558.0,15659695.56
2025-05-18,1041139.76,1068577.31,1082324.84,1041139.76,2489.0,16404475.46
2025-05-19,1068577.31,1076774.25,1098731.13,1068577.31,2373.0,14040084.06
2025-05-20,1076774.25,1055334.85,1077986.3,1050571.45,2493.0,13196781.28
2025-05-21,1055334.85,1069984.53,1071216.27,1050571.45,2407.0,12123456.65
2025-05-22,1069984.53,1087649.78,1087649.78,1067770.63,2504.0,13093118.97
2025-05-23,1087649.78,1110762.98,1110762.98,1087649.78,2837.0,18044222.59
2025-05-24,1110762.98,1112780.5,1129245.17,1110359.03,2766.0,15014132.92
2025-05-25,1112780.5,1109763.05,1116296.42,1096460.41,2376.0,11548216.47
2025-05-26,1109763.05,1103587.63,1114721.14,1101483.32,2522.0,13014006.56
2025-05-27,1103587.63,1109991.38,1109991.38,1098114.47,2585.0,16422037.44
2025-05-28,1109991.38,1150112.83,1153953.04,1109991.38,2434.0,15301679.67
2025-05-29,1150112.83,1139058.24,1153474.17,1137984.7,2490.0,11743160.13
2025-05-30,1139058.24,1129041.84,1139058.24,1119362.15,2747.0,12211416.18
2025-05-31,1129041.84,1129080.13,1133899.2,1124914.17,2396.0,10336669.45
2025-06-01,1129080.13,1137754.04,1137961.36,1128756.73,2526.0,12335395.77
2025-06-02,1137754.04,1136748.23,1142356.7,1131705.4,2699.0,14955123.09
2025-06-03,1136748.23,1109829.4,1137924.57,1107179.97,2710.0,17675639.72
2025-06-04,1109829.4,1099857.11,1109829.4,1082359.07,2940.0,20412476.58
2025-06-05,1099857.11,1101808.61,1102439.56,1092821.12,2433.0,12851607.85
2025-06-06,1101808.61,1121247.57,1121247.57,1101808.61,2607.0,12774725.56
2025-06-07,1121247.57,1120499.05,1127209.74,1117960.42,2919.0,13408101.69
2025-06-08,1120499.05,1129462.24,1129462.24,1120063.02,3064.0,13071057.92
2025-06-09,1129462.24,1131962.18,1135711.17,1129213.9,3515.0,14663810.56
2025-06-10,1131962.18,1119008.04,1132672.56,1119008.04,2848.0,12798766.78
2025-06-11,1119008.04,1112248.01,1119008.04,1101795.45,2853.0,15704428.4
2025-06-12,1112248.01,1116215.66,1116255.4,1109675.44,2740.0,10868787.57
2025-06-13,1116215.66,1118452.96,1119820.9,1115151.27,3204.0,14183235.65
2025-06-14,1118452.96,1110375.18,1119977.89,1110069.98,2864.0,12799325.36
2024-12-17,700162.35,700848.95,700885.57,700088.4,2119.0,5627134.96
2024-12-18,700848.95,703865.47,703865.47,700848.95,2342.0,6465525.6
2024-12-19,703865.47,706338.13,706338.13,703840.15,2541.0,6333519.31
2024-12-20,706338.13,707896.3,707906.81,706338.13,2395.0,6872426.89
2024-12-21,707896.3,710074.1,710074.1,707896.3,2362.0,16837938.88
2024-12-22,710074.1,711899.81,711911.23,710068.14,2186.0,6350173.57
2024-12-23,711899.81,712665.04,712688.93,711899.81,2022.0,5706893.65
2024-12-24,712665.04,713036.59,713208.77,712630.07,1273.0,3142672.53
2024-12-25,713036.59,713108.76,713548.14,712562.79,1660.0,4210253.84
2024-12-26,713108.76,713921.37,713930.64,712789.32,2147.0,5668466.72
2024-12-27,713921.37,714507.37,714806.79,713715.3,2000.0,5984123.88
2024-12-28,714507.37,716097.0,716360.89,714507.37,1656.0,4475195.09
2024-12-29,716097.0,719335.06,719335.06,716068.3,1624.0,4619287.81
2024-12-30,719335.06,721280.18,721330.08,719300.91,1800.0,5144310.12
2024-12-31,721280.18,725336.64,725336.64,721280.18,2091.0,5706046.1
2025-01-01,725336.64,728772.24,728788.59,725322.34,2161.0,6905075.46
2025-01-02,728772.24,730263.86,730263.86,726136.56,2147.0,7217318.18
2025-01-03,730263.86,728677.34,730876.45,728296.78,2030.0,5874908.5
2025-01-04,728677.34,727167.93,728781.51,726056.28,1976.0,5759840.06
2025-01-05,727167.93,726971.26,727883.42,726643.57,2063.0,5839204.18
2025-01-06,726971.26,727971.25,727971.25,726871.37,1522.0,4169978.1
2025-01-07,727971.25,728688.57,729315.59,727917.87,1134.0,2744505.38
2025-01-08,728688.57,728975.57,729605.63,727382.38,1225.0,3035928.57
2025-01-09,728975.57,728498.68,729503.43,728043.84,1094.0,2747150.79
2025-01-10,728498.68,731577.94,731589.58,728326.52,1185.0,2980829.97
2025-01-11,731577.94,732280.04,732639.11,731304.14,1200.0,2734935.68
2025-01-12,732280.04,732721.39,732988.19,732280.04,1312.0,2982695.13
2025-01-13,732721.39,733562.88,733596.94,732457.96,1128.0,2833067.53
2025-01-14,733562.88,735823.87,735823.87,733399.35,1105.0,2866408.38
2025-01-15,735823.87,736484.89,736958.94,735823.87,1271.0,3106597.0
2025-01-16,736484.89,736932.11,736963.94,735475.55,1183.0,2921778.78
2025-01-17,736932.11,739204.71,739204.71,736800.3,1187.0,2798911.86
2025-01-18,739204.71,748048.63,748048.63,739204.71,1230.0,2988751.41
2025-01-19,748048.63,755287.13,755287.13,748048.63,1288.0,3546590.22
2025-01-20,755287.13,755443.65,757313.86,754613.87,1228.0,3154723.24
2025-01-21,755443.65,749185.84,755642.09,747316.48,1206.0,3093154.89
2025-01-22,749185.84,746757.89,749242.87,744419.12,1124.0,3079892.64
2025-01-23,746757.89,744939.27,747005.09,744667.53,1145.0,2603403.38
2025-01-24,744939.27,745419.1,746014.58,744658.63,1268.0,3207139.7
2025-01-25,745419.1,746775.6,746835.36,745407.52,1467.0,3073617.17
2025-01-26,746775.6,748453.55,748453.55,746775.6,1326.0,3307163.74
2025-01-27,748453.55,752183.77,752183.77,748440.04,1280.0,2923718.67
2025-01-28,752183.77,753967.53,753967.53,752183.77,1236.0,2849575.9
2025-01-29,753967.53,754850.67,755197.17,753693.61,1510.0,3349916.54
2025-01-30,754850.67,757224.91,757362.26,754850.67,1343.0,2692219.08
2025-01-31,757224.91,758621.46,758621.46,756863.59,1409.0,3126999.86
2025-02-01,758621.46,760996.2,760996.2,758621.46,1562.0,3836440.66
2025-02-02,760996.2,761739.32,762313.44,760996.2,1478.0,3442792.24
2025-02-03,761739.32,764408.59,764408.59,761739.32,1323.0,3007850.79
2025-02-04,764408.59,767568.46,767580.11,764408.59,1333.0,3090070.05
2025-02-05,767568.46,768421.54,769196.5,764238.4,1333.0,3463432.84
2025-02-06,768421.54,778380.14,778380.14,767552.29,1661.0,4074622.41
2025-02-07,778380.14,796893.06,796893.06,778380.14,1662.0,5102306.39
2025-02-08,796893.06,808869.7,811239.37,796893.06,2232.0,7249320.37
2025-02-09,808869.7,795740.29,809484.79,795068.02,2458.0,8374824.21
2025-02-10,795740.29,789134.65,797638.98,788505.7,2289.0,7277030.03
2025-02-11,789134.65,783337.19,789842.2,782817.18,2248.0,7037802.44
2025-02-12,783337.19,792937.03,792937.03,783337.19,2366.0,7573900.65
2025-02-13,792937.03,799822.26,799822.26,792526.44,2428.0,8338093.05
2025-02-14,799822.26,803213.69,803610.95,799822.26,2596.0,8549890.55
2025-02-15,803213.69,806436.74,807289.73,803213.69,2694.0,8579917.95
2025-02-16,806436.74,806812.6,807696.79,804920.85,2709.0,8761948.96
2025-02-17,806812.6,807766.76,809256.81,806812.6,2857.0,8439192.31
2025-02-18,807766.76,811506.22,811639.36,807169.02,2479.0,7190328.55
2025-02-19,811506.22,815861.93,815861.93,811506.22,2295.0,6915337.74
2025-02-20,815861.93,820889.44,820889.44,815861.93,3035.0,10349442.43
2025-02-21,820889.44,823350.79,823350.79,820610.38,2671.0,8351107.86
2025-02-22,823350.79,816911.62,824318.62,816911.62,2831.0,8348420.48
2025-02-23,816911.62,806599.86,816954.68,806599.86,2612.0,9283534.34
2025-02-24,806599.86,797892.97,806902.05,797715.49,2587.0,8038882.01
2025-02-25,797892.97,805852.36,805852.36,797192.59,2236.0,7319745.45
2025-02-26,805852.36,809868.5,810220.31,805852.36,2679.0,9089619.93
2025-02-27,809868.5,808987.59,810764.75,808271.77,2498.0,8271532.92
2025-02-28,808987.59,807775.27,808987.59,806762.83,2472.0,8518262.27
2025-03-01,807775.27,807662.5,808149.89,806576.13,2780.0,8938118.6
2025-03-02,807662.5,810426.73,810469.68,807662.5,2777.0,8791034.74
2025-03-03,810426.73,815843.51,815843.51,810426.73,2964.0,8637053.83
2025-03-04,815843.51,828655.78,828655.78,815843.51,3048.0,11845611.67
2025-03-05,828655.78,832942.36,834275.84,828655.78,2973.0,11956672.48
2025-03-06,832942.36,833278.98,833278.98,831192.11,2597.0,9557866.39
2025-03-07,833278.98,835444.24,835444.24,832807.87,2151.0,7278667.99
2025-03-08,835444.24,847359.48,847359.48,835444.24,2635.0,8959431.92
2025-03-09,847359.48,858979.5,858979.5,847359.48,2111.0,7169411.34
2025-03-10,858979.5,871824.37,871824.37,858979.5,1688.0,5593086.97
2025-03-11,871824.37,922072.18,922574.12,871820.97,1209.0,3963181.45
2025-03-12,922072.18,886325.83,924274.86,885645.56,4083.0,19854656.75
2025-03-13,886325.83,885445.26,886345.11,865816.89,2565.0,11913595.94
2025-03-14,885445.26,885718.49,887494.76,883539.83,1948.0,6855168.07
2025-03-15,885718.49,890626.97,890762.52,883744.91,1429.0,6287840.08
2025-03-16,890626.97,897103.39,899419.29,890626.97,2093.0,7115018.31
2024-09-18,712539.57,712014.32,712614.5,711900.99,4946.0,13943275.93
2024-09-19,712014.32,711606.56,712334.37,711352.43,3299.0,8293658.56
2024-09-20,711606.56,712383.61,712679.29,711562.55,697.0,899077.79
2024-09-21,712383.61,711903.38,712915.02,711771.9,731.0,996696.72
2024-09-22,711903.38,710598.63,711903.38,710502.12,598.0,809218.14
2024-09-23,710598.63,708800.42,710751.72,708378.45,628.0,878420.61
2024-09-24,708800.42,706997.42,708888.65,706323.32,562.0,803917.75
2024-09-25,706997.42,706230.45,707917.66,706158.35,614.0,1004817.81
