date,open,close,high,low,volume,amount
2025-03-17,129257.52,129434.07,129713.71,129243.79,260472.0,3894026.37
2025-03-18,129434.07,128879.34,131766.18,128732.6,249736.0,3764628.42
2025-03-19,128879.34,127876.86,131342.56,127876.86,240194.0,3159532.29
2025-03-20,127876.86,126682.11,127956.87,126247.07,257633.0,3033001.01
2025-03-21,126682.11,126292.03,126792.52,125997.84,255288.0,3383361.77
2025-03-22,126292.03,125763.33,126749.96,125670.74,261212.0,3736179.65
2025-03-23,125763.33,125576.44,125835.87,125320.77,276857.0,4027455.55
2025-03-24,125576.44,125534.77,125744.25,125294.66,246044.0,3514008.09
2025-03-25,125534.77,126091.13,126145.45,125523.83,250216.0,3605565.88
2025-03-26,126091.13,125913.11,126276.26,125828.55,241927.0,3574404.63
2025-03-27,125913.11,125407.17,125913.11,125149.22,277924.0,3937278.24
2025-03-28,125407.17,124923.5,125437.04,124849.7,252470.0,8786575.24
2025-03-29,124923.5,123605.22,125000.64,123545.24,261823.0,4101461.36
2025-03-30,123605.22,123221.28,123628.63,123168.59,252218.0,3648813.93
2025-03-31,123221.28,124431.09,124440.16,123192.13,265254.0,3830646.41
2025-04-01,124431.09,126534.09,126539.61,124431.09,392833.0,5751111.94
2025-04-02,126534.09,126980.7,127029.09,126534.09,360441.0,4999415.29
2025-04-03,126980.7,126971.94,127408.74,126874.82,337785.0,4554144.98
2025-04-04,126971.94,126496.05,126983.51,126434.43,327040.0,4166966.28
2025-04-05,126496.05,126078.85,126524.74,126076.1,313007.0,4534011.6
2025-04-06,126078.85,125643.81,126222.54,125564.23,305925.0,4445908.04
2025-04-07,125643.81,125549.57,125763.14,125422.6,266936.0,4156046.89
2025-04-08,125549.57,125284.63,125641.65,125201.61,283026.0,4330567.17
2025-04-09,125284.63,124951.95,125457.52,124870.65,313643.0,4664879.4
2025-04-10,124951.95,125034.03,125116.62,124697.67,328669.0,5082022.88
2025-04-11,125034.03,125172.1,125256.14,124780.08,289857.0,4586873.26
2025-04-12,125172.1,125842.93,125842.93,125094.81,287449.0,4029200.07
2025-04-13,125842.93,126823.62,127316.55,125842.93,281561.0,4024850.05
2025-04-14,126823.62,126783.17,127275.27,126451.9,245962.0,3891475.73
2025-04-15,126783.17,126117.17,127437.08,126097.2,244551.0,3704569.28
2025-04-16,126117.17,126351.03,126558.29,125931.77,273368.0,3845990.64
2025-04-17,126351.03,126412.58,126605.53,126167.77,302218.0,4161868.0
2025-04-18,126412.58,126568.79,126830.85,126314.36,286673.0,4046987.42
2025-04-19,126568.79,126240.95,126693.07,126066.73,287229.0,3943113.81
2025-04-20,126240.95,126478.45,126711.84,126240.95,267434.0,3749038.76
2025-04-21,126478.45,126742.68,127116.54,126442.09,248737.0,3789876.78
2025-04-22,126742.68,127278.43,127278.43,126696.48,225244.0,3422020.36
2025-04-23,127278.43,128141.58,128276.49,127215.69,255310.0,4048883.84
