date,open,close,high,low,volume,amount
2025-03-17,8502.87,8425.59,8529.94,8420.54,6203.0,632439.7
2025-03-18,8425.59,8242.7,8428.12,8236.82,6026.0,598648.67
2025-03-19,8242.7,8056.21,8242.7,8011.66,5834.0,595672.39
2025-03-20,8056.21,8007.61,8056.21,7798.22,5871.0,603050.52
2025-03-21,8007.61,7958.15,8014.56,7943.63,5408.0,567891.76
2025-03-22,7958.15,7907.49,7958.15,7871.43,5712.0,594645.17
2025-03-23,7907.49,8014.82,8016.23,7904.05,6064.0,620843.81
2025-03-24,8014.82,8090.36,8092.33,8014.82,4775.0,507508.77
2025-03-25,8090.36,8096.76,8110.5,8086.75,5440.0,561902.18
2025-03-26,8096.76,8033.89,8110.76,8020.26,4771.0,501915.5
2025-03-27,8033.89,7978.02,8058.06,7963.49,5262.0,569554.94
2025-03-28,7978.02,7993.21,7995.0,7945.05,5244.0,535409.57
2025-03-29,7993.21,7874.66,8035.59,7823.06,6182.0,641265.15
2025-03-30,7874.66,7916.37,7916.37,7853.23,5892.0,604615.27
2025-03-31,7916.37,8182.1,8182.1,7913.73,5782.0,620319.6
2025-04-01,8182.1,8633.99,8740.9,8182.1,9773.0,1180019.36
2025-04-02,8633.99,8449.1,8641.55,8445.62,6661.0,759648.22
2025-04-03,8449.1,8249.92,8466.43,8249.92,6556.0,697283.26
2025-04-04,8249.92,8320.35,8320.35,8249.92,6713.0,724333.9
2025-04-05,8320.35,8251.0,8338.23,8249.08,7056.0,780580.54
2025-04-06,8251.0,8240.98,8259.89,8194.37,6906.0,714162.15
2025-04-07,8240.98,8262.14,8291.28,8217.51,6194.0,694181.36
2025-04-08,8262.14,8237.02,8338.83,8237.02,6373.0,742053.08
2025-04-09,8237.02,8203.85,8254.41,8145.97,5687.0,670166.45
2025-04-10,8203.85,8265.4,8265.4,8126.43,6726.0,834151.63
2025-04-11,8265.4,8195.03,8280.29,8179.39,6348.0,682286.05
2025-04-12,8195.03,8204.04,8229.2,8180.82,6659.0,706435.64
2025-04-13,8204.04,8197.04,8244.23,8174.8,6762.0,792331.36
2025-04-14,8197.04,8241.74,8260.23,8194.38,5998.0,720611.88
2025-04-15,8241.74,8173.56,8253.57,8166.74,5702.0,666231.25
2025-04-16,8173.56,8175.88,8193.22,8108.24,5860.0,676495.25
2025-04-17,8175.88,8139.66,8195.24,8127.7,5847.0,688862.56
