date,open,close,high,low,volume,amount
2025-03-17,1706320.68,1703900.35,1709287.22,1703282.8,292213.0,14653938.67
2025-03-18,1703900.35,1691690.34,1706511.38,1689288.25,280809.0,15553018.73
2025-03-19,1691690.34,1678517.14,1695512.97,1678517.14,269350.0,11145181.07
2025-03-20,1678517.14,1667074.32,1678517.14,1659567.87,283473.0,13506983.22
2025-03-21,1667074.32,1655915.47,1667074.32,1655299.98,279356.0,13808810.62
2025-03-22,1655915.47,1645324.74,1656435.44,1644367.08,292195.0,27593405.77
2025-03-23,1645324.74,1647699.59,1649705.42,1643546.15,320145.0,15259751.74
2025-03-24,1647699.59,1657526.08,1657526.08,1647699.59,274460.0,16537991.74
2025-03-25,1657526.08,1665222.24,1667064.24,1657526.08,280540.0,16880338.3
2025-03-26,1665222.24,1660124.92,1667249.15,1658083.43,278825.0,16104464.49
2025-03-27,1660124.92,1659009.35,1662275.18,1656881.42,310268.0,16500280.3
2025-03-28,1659009.35,1661265.43,1661700.96,1657851.04,287429.0,16068525.45
2025-03-29,1661265.43,1651998.77,1663774.72,1650146.1,299447.0,21133084.91
2025-03-30,1651998.77,1652448.35,1653299.51,1649957.43,287862.0,16893715.84
2025-03-31,1652448.35,1668460.83,1668542.65,1652423.74,298922.0,17744621.69
2025-04-01,1668460.83,1687710.53,1687710.53,1668460.83,449680.0,23688584.95
2025-04-02,1687710.53,1692990.74,1695817.86,1687710.53,408322.0,19570497.95
2025-04-03,1692990.74,1691512.31,1697671.78,1690962.64,377328.0,18298902.5
2025-04-04,1691512.31,1689813.09,1692446.01,1688276.97,340433.0,16038106.5
2025-04-05,1689813.09,1686090.37,1692557.25,1685950.41,325367.0,16450353.85
2025-04-06,1686090.37,1687374.51,1687847.14,1681144.75,324355.0,17865674.45
2025-04-07,1687374.51,1689400.99,1690008.5,1687374.51,290581.0,17854586.08
2025-04-08,1689400.99,1699224.9,1700263.87,1689400.99,297131.0,20860992.41
2025-04-09,1699224.9,1698578.71,1699796.12,1696351.6,332973.0,19956443.62
2025-04-10,1698578.71,1714933.31,1715531.02,1698578.71,360633.0,23971578.61
2025-04-11,1714933.31,1718136.9,1719205.79,1714018.15,317932.0,20014726.9
2025-04-12,1718136.9,1733927.66,1733927.66,1717783.7,314640.0,12540837.5
2025-04-13,1733927.66,1764829.13,1764882.0,1733927.66,307846.0,13727369.49
2025-04-14,1764829.13,1758171.77,1768063.47,1755183.89,270767.0,12673308.46
2025-04-15,1758171.77,1733095.11,1760778.1,1732476.01,270623.0,12271185.83
2025-04-16,1733095.11,1737182.83,1737182.83,1728879.95,298908.0,12830703.02
