date,open,close,high,low,volume,amount
2025-03-17,26661.06,26701.9,26841.54,26661.06,4537,1659508.52
2025-03-18,26701.9,26350.76,26724.79,26339.43,4766,1737486.64
2025-03-19,26350.76,25951.34,26352.0,25951.34,3626,1344044.09
2025-03-20,25951.34,25816.89,25938.84,25458.8,3813,1352205.32
2025-03-21,25816.89,25570.49,25888.13,25550.88,4129,1504725.57
2025-03-22,25570.49,25162.88,25594.53,25159.34,4792,1746284.67
2025-03-23,25162.88,25454.38,25454.38,25153.34,5373,1934824.27
2025-03-24,25454.38,25474.56,25618.92,25457.45,5098,1819647.85
2025-03-25,25474.56,25365.19,25586.68,25365.19,5079,1864681.94
2025-03-26,25365.19,24953.12,25413.65,24953.12,5341,1876609.44
2025-03-27,24953.12,24765.41,25004.54,24669.21,5810,2018549.04
2025-03-28,24765.41,24840.06,24840.35,24664.59,5092,1765743.4
2025-03-29,24840.06,24340.48,24872.66,24220.46,6177,2165132.25
2025-03-30,24340.48,24244.52,24359.63,24195.31,5781,1994117.75
2025-03-31,24244.52,24744.95,24744.95,24249.97,6161,2162274.84
2025-04-01,24744.95,24859.89,25039.5,24763.62,9192,3226860.97
2025-04-02,24859.89,24556.67,24882.11,24550.09,7042,2437949.61
2025-04-03,24556.67,24002.53,24579.12,24002.53,6980,2325096.09
2025-04-04,24002.53,23857.49,24041.76,23837.58,6360,2098404.92
2025-04-05,23857.49,23299.46,23850.96,23299.46,6914,2298119.02
2025-04-06,23299.46,23349.16,23355.58,23176.39,7117,2319363.31
2025-04-07,23349.16,23416.14,23488.56,23330.44,6631,2151691.61
2025-04-08,23416.14,23149.71,23414.25,23128.95,6514,2119666.5
2025-04-09,23149.71,22928.91,23176.44,22889.94,6454,2097929.78
2025-04-10,22928.91,22523.12,22952.28,22478.25,7063,2308029.02
2025-04-11,22523.12,22408.47,22552.37,22326.19,6258,1957266.14
2025-04-12,22408.47,22559.82,22559.82,22401.05,4797,1544518.24
2025-04-13,22559.82,22522.55,22737.0,22514.45,4562,1453832.83
2025-04-14,22522.55,22473.56,22580.41,22431.84,4627,1528321.66
2025-04-15,22473.56,22474.08,22540.68,22417.79,4403,1488620.22
2025-04-16,22474.08,22420.85,22507.25,22342.07,4798,1632667.91
2025-04-17,22420.85,22391.68,22504.92,22354.2,4983,1704954.27
2025-04-18,22391.68,22259.92,22399.73,22184.93,4822,1649033.74
2025-04-19,22259.92,22178.48,22278.95,22138.45,4766,1625299.54
2025-04-20,22178.48,21999.81,22195.33,21996.99,4555,1536533.29
2025-04-21,21999.81,21781.58,22019.77,21773.71,4866,1622952.79
2025-04-22,21781.58,21602.34,21807.05,21537.36,4522,1512238.08
2025-04-23,21602.34,21581.7,21896.0,21557.31,4806,1612390.67
2025-04-24,21581.7,21331.79,21627.64,21318.65,4772,1484802.05
2025-04-25,21331.79,21044.03,21355.9,21033.94,4766,1468823.48
2025-04-26,21044.03,20729.54,21066.22,20708.21,4958,1536976.19
2025-04-27,20729.54,20369.3,20724.26,20272.67,4697,1403938.09
2025-04-28,20369.3,20310.12,20427.31,20202.86,4514,1367747.34
2025-04-29,20310.12,20429.02,20429.02,20287.46,4354,1326829.95
2025-04-30,20429.02,20662.71,20662.71,20431.45,4901,1498756.57
2025-05-01,20662.71,20947.4,21019.62,20668.91,5845,1873797.98
2025-05-02,20947.4,21227.95,21379.54,20950.99,6037,1955661.16
2025-05-03,21227.95,21557.81,21557.81,21237.28,5604,1803281.73
2025-05-04,21557.81,23144.79,23945.83,21556.08,8956,3129306.75
2025-05-05,23144.79,22791.87,23279.89,22266.66,6455,2116905.86
2025-05-06,22791.87,23325.28,23325.28,22746.16,6695,2208003.96
2025-05-07,23325.28,22573.28,23437.15,22573.28,6474,2191729.5
2025-05-08,22573.28,21662.02,22640.01,21641.34,6120,2017825.34
2025-05-09,21662.02,21002.06,21726.42,20822.34,6206,1995895.26
2025-05-10,21002.06,21111.75,21111.75,20916.99,5699,1798015.8
2025-05-11,21111.75,21108.71,21399.4,21100.36,5531,1782673.48
2025-05-12,21108.71,20933.43,21148.73,20925.01,5216,1679953.12
2025-05-13,20933.43,21201.35,21201.35,20904.2,5304,1716167.25
2025-05-14,21201.35,21638.41,21935.72,21207.35,6294,2193002.29
2025-05-15,21638.41,21404.43,21649.17,21335.86,4915,1578794.02
2025-05-16,21404.43,21447.6,21457.08,21332.81,5171,1696335.18
2025-05-17,21447.6,21478.67,21526.18,21419.06,5128,1624250.78
2025-05-18,21478.67,21533.45,21534.04,21438.25,5162,1664269.6
2025-05-19,21533.45,21719.16,21719.16,21540.12,5138,1674659.09
2025-05-20,21719.16,21688.58,21777.49,21688.58,5430,1800503.48
2025-05-21,21688.58,21859.44,21859.44,0.0,5206,1713500.79
2025-05-22,21859.44,22528.27,22528.27,21859.71,6309,2207491.97
2025-05-23,22528.27,22491.66,22639.47,22430.23,6704,2240079.71
2025-05-24,22491.66,22431.33,22553.14,22405.5,6191,1988279.18
2025-05-25,22431.33,22434.02,22449.31,22200.0,5464,1748618.33
2025-05-26,22434.02,23224.34,23329.79,22456.05,7234,2469334.29
2025-05-27,23224.34,23272.65,23332.46,23028.72,6536,2197313.54
2025-05-28,23272.65,23802.53,23885.09,23278.2,6591,2239782.35
2025-05-29,23802.53,23239.46,23846.68,23230.66,6121,2119119.65
2025-05-30,23239.46,22879.49,23287.29,22708.12,6506,2238886.03
2025-05-31,22879.49,22978.11,23007.72,22840.04,5904,1959880.39
2025-06-01,22978.11,23328.02,23328.02,22974.49,6596,2220531.75
2025-06-02,23328.02,23141.28,23429.49,23067.93,6654,2272838.3
2025-06-03,23141.28,22820.26,23252.33,22820.26,6640,2207493.24
2025-06-04,22820.26,22905.38,22905.38,22651.99,6807,2294041.83
2025-06-05,22905.38,23315.9,23315.9,22903.44,6843,2270143.75
2025-06-06,23315.9,23973.26,23973.26,23321.76,7516,2597101.59
2025-06-07,23973.26,23701.89,24060.36,23692.04,6629,2337953.97
2025-06-08,23701.89,23987.77,23987.77,23628.43,6447,2290609.73
2025-06-09,23987.77,24509.23,24714.83,23996.25,8358,3007055.02
2025-06-10,24509.23,24440.5,24680.43,24440.5,7436,2778111.18
2025-06-11,24440.5,24576.8,24576.8,23936.35,6778,2454021.75
2025-06-12,24576.8,26110.05,26110.05,24584.28,8478,3280111.18
2025-06-13,26110.05,26187.7,26407.51,26123.28,8228,3071669.85
2025-06-14,26187.7,25055.7,26288.9,25055.7,6802,2525627.93
2025-06-15,25055.7,24739.04,25112.45,24631.59,4028,1443511.01
2024-12-17,21950.13,22185.94,22277.69,21805.85,4527,1393044.62
2024-12-18,22185.94,23005.24,23159.39,22019.68,5354,1733846.22
2024-12-19,23005.24,22823.5,23207.64,22555.68,4872,1516395.91
2024-12-20,22823.5,22846.72,23108.34,22450.91,4966,1558528.79
2024-12-21,22846.72,22851.48,23074.45,22560.18,4660,1473459.27
2024-12-22,22851.48,23089.95,23196.51,22638.27,4436,1455856.6
2024-12-23,23089.95,23131.71,23414.48,22707.57,4738,1525882.98
2024-12-24,23131.71,23107.46,23107.46,22854.47,3808,1232527.62
2024-12-25,23107.46,22987.41,23276.94,22762.22,4099,1280665.37
2024-12-26,22987.41,22824.55,23149.37,22641.88,4524,1430398.81
2024-12-27,22824.55,22722.46,22954.64,22455.58,4455,1398579.63
2024-12-28,22722.46,22900.56,23006.72,22523.86,3922,1237541.04
2024-12-29,22900.56,22964.49,23114.5,22696.98,3948,1266325.42
2024-12-30,22964.49,23045.83,23179.39,22769.53,4335,1346630.48
2024-12-31,23045.83,23044.07,23200.99,22836.82,4609,1427641.24
2025-01-01,23044.07,23075.6,23259.07,22843.78,4595,1422885.57
2025-01-02,23075.6,23044.98,23232.64,22785.77,4760,1542435.23
2025-01-03,23044.98,22969.4,23176.05,22804.14,4428,1409535.06
2025-01-04,22969.4,22935.21,23082.95,22738.81,4608,1449457.32
2025-01-05,22935.21,22841.54,23055.46,22647.39,4384,1508243.03
2025-01-06,22841.54,23009.13,23161.6,22642.89,4180,1370874.67
2025-01-07,23009.13,23114.91,23257.42,22851.18,3638,1178872.98
2025-01-08,23114.91,23072.17,23300.76,22794.46,3686,1198574.48
2025-01-09,23072.17,22894.02,23210.85,22734.34,3571,1163279.02
2025-01-10,22894.02,22783.69,23031.16,22567.51,4073,1264883.13
2025-01-11,22783.69,22802.51,22999.59,22592.1,3998,1217810.0
2025-01-12,22802.51,22836.23,22976.91,22576.62,3978,1304664.55
2025-01-13,22836.23,22875.68,23016.13,22542.38,3740,1177758.06
2025-01-14,22875.68,22940.07,23086.55,22691.24,3445,1115209.55
