date,open,close,high,low,volume,amount
2025-03-17,6369.79,6401.31,6421.44,6337.69,83610.0,629871.28
2025-03-18,6401.31,6389.57,6421.44,6321.82,78956.0,415794.53
2025-03-19,6389.57,6295.2,6421.44,6292.98,84377.0,367180.64
2025-03-20,6295.2,6279.39,6324.55,6232.97,89338.0,383950.94
2025-03-21,6279.39,6258.45,6290.53,6229.7,83718.0,632575.38
2025-03-22,6258.45,6221.97,6290.53,6207.06,87132.0,572290.33
2025-03-23,6221.97,6173.38,6242.17,6171.62,91184.0,420767.54
2025-03-24,6173.38,6187.59,6187.59,6132.73,80126.0,372401.53
2025-03-25,6187.59,6185.67,6204.19,6163.56,84770.0,398860.72
2025-03-26,6185.67,6141.83,6196.51,6141.69,82010.0,2160774.0
2025-03-27,6141.83,6139.11,6169.83,6119.45,95602.0,405636.63
2025-03-28,6139.11,6127.01,6150.72,6112.0,85004.0,416578.77
2025-03-29,6127.01,6127.33,6150.83,6095.03,83593.0,402637.2
2025-03-30,6127.33,6091.54,6131.59,6088.52,82751.0,415394.87
2025-03-31,6091.54,6139.45,6139.63,6087.25,92502.0,387839.74
2025-04-01,6139.45,6196.93,6206.89,6126.31,148348.0,559161.67
2025-04-02,6196.93,6206.98,6209.85,6179.16,129228.0,518956.58
2025-04-03,6206.98,6196.52,6212.57,6175.67,125446.0,477042.65
2025-04-04,6196.52,6170.14,6201.0,6164.61,108973.0,432412.1
2025-04-05,6170.14,6149.14,6187.58,6148.68,96801.0,441291.5
2025-04-06,6149.14,6139.9,6160.5,6126.55,95933.0,436173.74
2025-04-07,6139.9,6140.81,6151.43,6117.59,88390.0,425501.8
2025-04-08,6140.81,6107.67,6156.73,6088.8,91460.0,441307.63
2025-04-09,6107.67,6108.99,6113.37,6073.65,111854.0,584012.66
2025-04-10,6108.99,6124.93,6124.93,6046.35,120720.0,529627.87
2025-04-11,6124.93,6116.27,6128.32,6095.13,115185.0,490952.39
2025-04-12,6116.27,6130.17,6134.47,6100.37,103800.0,467026.78
2025-04-13,6130.17,6097.56,6146.97,6093.57,105931.0,459885.06
2025-04-14,6097.56,6092.38,6111.83,6080.9,96490.0,717728.01
2025-04-15,6092.38,6126.86,6135.14,6088.38,94218.0,417946.2
2025-04-16,6126.86,6132.84,6166.73,6094.68,102529.0,465971.64
2025-04-17,6132.84,6132.97,6164.78,6116.14,109229.0,461766.14
2025-04-18,6132.97,6125.49,6156.11,6115.06,99598.0,452791.52
2025-04-19,6125.49,6104.18,6125.49,6084.29,101834.0,424978.03
2025-04-20,6104.18,6130.01,6142.21,6095.36,96647.0,407928.2
2025-04-21,6130.01,6118.43,6148.0,6107.4,87770.0,369781.93
2025-04-22,6118.43,6091.89,6119.69,6084.84,91055.0,338288.75
2025-04-23,6091.89,6069.56,6100.5,6033.72,96248.0,376060.82
2025-04-24,6069.56,6034.92,6074.81,6016.48,99663.0,399080.32
2025-04-25,6034.92,5997.66,6041.74,5979.33,89084.0,370012.63
2025-04-26,5997.66,5999.22,6023.11,5968.04,90709.0,395724.35
2025-04-27,5999.22,6036.39,6037.82,5985.47,84054.0,351653.51
2025-04-28,6036.39,6000.56,6050.02,5991.58,80009.0,337340.6
2025-04-29,6000.56,6060.98,6061.92,5971.1,78735.0,318386.1
2025-04-30,6060.98,6022.23,6063.42,6000.33,86530.0,340393.59
2025-05-01,6022.23,6026.53,6030.12,5993.07,94621.0,401381.64
2025-05-02,6026.53,6101.64,6101.64,6026.53,94130.0,411240.5
2025-05-03,6101.64,6134.31,6138.28,6078.12,86509.0,371348.37
2025-05-04,6134.31,6199.5,6263.23,6133.9,92269.0,462644.96
2025-05-05,6199.5,6206.45,6278.35,6189.95,84387.0,377723.77
2025-05-06,6206.45,6209.31,6215.12,6131.83,80752.0,386499.36
2025-05-07,6209.31,6205.45,6227.9,6172.01,89167.0,399366.49
2025-05-08,6205.45,6207.39,6209.08,6184.33,102221.0,378959.54
2025-05-09,6207.39,6155.41,6220.59,6134.36,89338.0,375609.15
2025-05-10,6155.41,6137.7,6156.48,6113.36,90498.0,381657.67
2025-05-11,6137.7,6123.87,6142.51,6086.31,90095.0,381943.73
2025-05-12,6123.87,6085.78,6135.67,6080.84,84482.0,337537.17
2025-05-13,6085.78,6083.78,6117.02,6077.21,81230.0,317980.58
2025-05-14,6083.78,6022.35,6100.37,6020.45,89248.0,375876.05
2025-05-15,6022.35,5984.51,6032.74,5971.43,94758.0,377956.1
2025-05-16,5984.51,6001.9,6001.9,5965.75,95093.0,380759.52
2025-05-17,6001.9,6001.48,6017.05,5983.68,93656.0,398355.52
2025-05-18,6001.48,6067.36,6067.91,5991.62,92460.0,410789.32
2025-05-19,6067.36,6099.84,6101.11,6067.27,80459.0,345623.5
2025-05-20,6099.84,6083.8,6103.82,6083.24,81612.0,357232.37
2025-05-21,6083.8,6154.37,6154.38,6083.24,86720.0,378942.49
2025-05-22,6154.37,6132.35,6162.29,6124.33,93256.0,565580.91
2025-05-23,6132.35,6150.17,6150.17,6123.13,96138.0,413089.11
2025-05-24,6150.17,6157.02,6164.9,6144.31,95030.0,402101.7
2025-05-25,6157.02,6156.88,6170.61,6145.26,90397.0,382964.85
2025-05-26,6156.88,6154.78,6184.56,6134.03,78849.0,375714.07
