date,open,close,high,low,volume,amount
2025-03-17,3386.11,3377.09,3399.8,3368.87,5891.0,191139.68
2025-03-18,3377.09,3377.46,3386.12,3365.56,5668.0,179024.68
2025-03-19,3377.46,3351.36,3385.9,3342.86,5524.0,172701.34
2025-03-20,3351.36,3305.19,3357.04,3276.99,5419.0,162762.42
2025-03-21,3305.19,3293.94,3320.57,3280.84,5710.0,180504.45
2025-03-22,3293.94,3293.0,3300.73,3269.84,6148.0,192158.89
2025-03-23,3293.0,3272.83,3299.63,3262.94,6330.0,202954.95
2025-03-24,3272.83,3267.56,3279.44,3252.29,4706.0,149011.4
2025-03-25,3267.56,3258.04,3276.92,3245.87,5041.0,156930.85
2025-03-26,3258.04,3244.05,3262.63,3233.26,5159.0,163145.7
2025-03-27,3244.05,3236.19,3256.46,3220.76,5557.0,172714.14
2025-03-28,3236.19,3229.09,3245.79,3217.27,5647.0,177422.35
2025-03-29,3229.09,3188.65,3245.79,3165.92,5952.0,193231.75
2025-03-30,3188.65,3185.36,3199.91,3177.06,6183.0,193748.68
2025-03-31,3185.36,3200.9,3202.42,3173.59,5428.0,166777.61
2025-04-01,3200.9,3212.55,3225.03,3197.23,6799.0,238225.62
2025-04-02,3212.55,3246.11,3250.84,3212.43,7146.0,217188.03
2025-04-03,3246.11,3259.77,3259.85,3243.55,6708.0,203538.31
2025-04-04,3259.77,3258.88,3267.31,3243.83,6383.0,193388.71
2025-04-05,3258.88,3250.06,3269.76,3232.85,7005.0,208108.49
2025-04-06,3250.06,3247.0,3260.25,3229.44,6733.0,206516.98
2025-04-07,3247.0,3232.38,3257.02,3225.38,5824.0,177776.45
2025-04-08,3232.38,3208.43,3239.96,3208.43,5507.0,180833.77
2025-04-09,3208.43,3200.8,3218.34,3189.78,5678.0,171442.59
2025-04-10,3200.8,3196.72,3206.05,3177.11,6259.0,189227.6
2025-04-11,3196.72,3211.19,3211.19,3183.54,6863.0,209323.29
2025-04-12,3211.19,3237.64,3237.64,3211.19,7490.0,224235.34
2025-04-13,3237.64,3251.74,3252.61,3228.97,7011.0,215227.63
2025-04-14,3251.74,3262.09,3263.5,3236.41,6248.0,190621.16
2025-04-15,3262.09,3270.33,3278.97,3259.48,5850.0,182107.52
2025-04-16,3270.33,3272.84,3293.39,3261.76,5993.0,187876.94
2025-04-17,3272.84,3266.95,3278.08,3250.37,6151.0,191272.58
2025-04-18,3266.95,3268.97,3278.75,3252.15,6094.0,202073.32
2025-04-19,3268.97,3280.42,3281.49,3250.85,6768.0,217674.94
2025-04-20,3280.42,3311.98,3322.0,3278.93,6046.0,197543.69
2025-04-21,3311.98,3323.46,3329.71,3311.98,5547.0,181269.11
2025-04-22,3323.46,3319.23,3330.46,3306.91,4762.0,156746.43
2025-04-23,3319.23,3323.35,3334.08,3303.92,5701.0,179633.68
2025-04-24,3323.35,3314.97,3335.93,3305.66,5706.0,178514.38
2025-04-25,3314.97,3318.48,3323.1,3297.6,5583.0,174874.48
2025-04-26,3318.48,3327.29,3340.12,3316.49,6190.0,196066.12
2025-04-27,3327.29,3309.09,3341.71,3306.67,5627.0,180952.91
2025-04-28,3309.09,3291.82,3321.86,3286.28,5046.0,163877.81
2025-04-29,3291.82,3280.41,3297.79,3266.43,4972.0,155581.83
2025-04-30,3280.41,3289.65,3299.01,3272.64,5197.0,166140.11
2025-05-01,3289.65,3300.08,3301.89,3280.64,5911.0,187639.04
2025-05-02,3300.08,3309.31,3309.31,3290.71,6014.0,195492.12
2025-05-03,3309.31,3286.33,3321.64,3282.32,5807.0,183832.41
2025-05-04,3286.33,3290.36,3300.76,3275.17,5804.0,183833.21
2025-05-05,3290.36,3275.41,3297.73,3262.85,5197.0,169215.21
2025-05-06,3275.41,3286.7,3287.57,3265.59,5074.0,161541.22
2025-05-07,3286.7,3294.81,3294.81,3282.08,5236.0,157757.08
2025-05-08,3294.81,3314.34,3314.34,3294.71,5943.0,178951.68
2025-05-09,3314.34,3319.74,3325.37,3293.68,5882.0,189567.94
2025-05-10,3319.74,3359.94,3394.8,3309.8,6369.0,204329.37
2025-05-11,3359.94,3337.36,3369.1,3326.67,5765.0,186316.7
2025-05-12,3337.36,3327.47,3348.04,3316.43,4721.0,153922.42
