date,open,close,high,low,volume,amount
2024-12-24,89212.15,89312.5,89414.99,88716.28,340,972802.79
2024-12-24,89212.15,89312.5,89414.99,88716.28,340,972802.79
2024-12-25,89312.5,89402.97,89481.66,88646.5,355,1177255.12
2024-12-26,89402.97,89669.49,89770.38,87781.89,524,1603988.48
2024-12-27,89669.49,89571.03,89861.2,89183.9,423,1465099.16
2024-12-28,89571.03,89641.67,89696.72,89247.12,351,1166551.92
2024-12-29,89641.67,89865.26,89914.5,89231.5,291,953969.63
2024-12-30,89865.26,90066.97,90271.59,89449.99,387,1213321.18
2024-12-31,90066.97,90595.6,90637.5,89337.41,427,1433893.53
2025-01-01,90595.6,90885.36,90971.49,90268.5,402,1998436.22
2025-01-02,90885.36,91180.6,91225.99,89454.16,419,1566505.89
2025-01-03,91180.6,91211.0,91369.6,90450.69,348,1367555.19
2025-01-04,91211.0,91115.49,91263.69,90553.7,438,1694549.72
2025-01-05,91115.49,91328.38,91444.39,90611.92,384,1499163.23
2025-01-06,91328.38,91302.3,91425.19,91038.98,291,995499.89
2025-01-07,91302.3,91398.78,91497.9,90403.3,307,932115.53
2025-01-08,91398.78,91631.98,91689.3,90901.0,306,1026161.27
2025-01-09,91631.98,91661.85,91786.17,91228.9,399,829307.44
2025-01-10,91661.85,91578.83,91821.4,91076.8,286,1054642.3
2025-01-11,91578.83,91610.24,91698.74,90968.11,256,697137.74
2025-01-12,91610.24,91778.23,91989.58,89370.72,345,935053.85
2025-01-13,91778.23,91882.17,92031.67,91446.88,299,905229.18
2025-01-14,91882.17,92149.32,92313.0,91171.2,323,845218.7
2025-01-15,92149.32,92550.29,92646.0,91317.92,300,910467.09
2025-01-16,92550.29,92798.88,92835.78,91996.48,265,970155.53
2025-01-17,92798.88,93132.76,93169.78,92550.29,397,987718.07
2025-01-18,93132.76,93639.89,93759.48,91578.39,322,1052560.4
2025-01-19,93639.89,94111.21,94208.83,92707.2,270,905178.86
2025-01-20,94111.21,93943.08,94671.01,92283.59,323,951359.12
2025-01-21,93943.08,92962.01,94019.0,92348.3,320,915681.0
2025-01-22,92962.01,92930.79,93162.11,92020.8,346,935620.97
2025-01-23,92930.79,93505.9,93615.6,89635.5,356,825438.03
2025-01-24,93505.9,93411.63,93648.1,92997.7,337,858672.25
2025-01-25,93411.63,93472.88,93598.5,92984.3,465,976788.79
2025-01-26,93472.88,93439.7,93773.27,92144.37,337,897469.78
2025-01-27,93439.7,94501.49,94524.3,92990.06,328,938422.76
2025-01-28,94501.49,94813.57,94996.56,93149.3,368,958474.26
2025-01-29,94813.57,94871.99,95251.97,93485.19,356,1139001.69
2025-01-30,94871.99,94960.67,95122.1,90590.7,354,966715.99
2025-01-31,94960.67,95034.47,95159.1,94369.56,356,954798.97
2025-02-01,95034.47,95308.15,95401.9,94220.59,336,964661.04
2025-02-02,95308.15,95239.81,95610.16,94238.28,366,923292.26
2025-02-03,95239.81,95587.89,95617.99,94787.57,404,1055213.04
2025-02-04,95587.89,95590.78,95823.89,94705.7,312,940952.6
2025-02-05,95590.78,95539.75,95725.26,95000.96,407,1104871.39
2025-02-06,95539.75,95656.32,95781.25,94865.01,374,1060069.46
2025-02-07,95656.32,96290.32,96413.38,95202.7,390,1022433.16
2025-02-08,96290.32,97943.21,98101.59,94863.66,464,1760570.17
2025-02-09,97943.21,97535.59,98308.98,96447.16,396,1800278.99
2025-02-10,97535.59,96631.88,97620.09,95265.06,398,1692345.83
2025-02-11,96631.88,96977.16,97099.87,95710.09,417,1682990.39
2025-02-12,96977.16,98054.98,98241.48,96296.59,364,1604750.85
2025-02-13,98054.98,100181.36,100204.17,96247.86,517,2789914.48
2025-02-14,100181.36,101960.89,102074.39,98962.58,387,2094374.17
2025-02-15,101960.89,104206.78,104240.78,100795.8,388,2026983.78
2025-02-16,104206.78,107142.19,107644.67,103150.47,369,2298486.06
2025-02-17,107142.19,105859.98,108089.27,103070.39,350,2323714.15
2025-02-18,105859.98,108230.95,108418.44,107142.19,380,2052281.85
2025-02-19,108230.95,110003.69,110185.88,102303.38,373,1876097.93
2025-02-20,110003.69,110162.27,110975.84,106454.0,426,2251760.02
2025-02-21,110162.27,109473.47,110338.3,107554.5,420,2007101.1
2025-02-22,109473.47,107967.85,109605.22,104112.0,476,2414647.52
2025-02-23,107967.85,105824.98,108073.88,105210.0,415,2353762.56
2025-02-24,105824.98,104620.48,106236.38,103257.28,432,2376668.27
2025-02-25,104620.48,107391.6,107486.66,103476.48,389,2428647.29
2025-02-26,107391.6,106742.96,107847.48,105598.48,366,2177905.65
