date,open,close,high,low,volume,amount
2024-12-24,33343.53,33348.66,33498.14,32935.1,463,590832.23
2024-12-24,33343.53,33348.66,33498.14,32935.1,463,590832.23
2024-12-25,33348.66,33298.04,33487.55,33018.88,623,798606.43
2024-12-26,33298.04,33144.89,33466.94,32915.81,670,837759.89
2024-12-27,33144.89,33166.49,33349.63,32949.37,702,880992.35
2024-12-28,33166.49,33433.73,33604.06,33010.15,612,781881.92
2024-12-29,33433.73,33596.12,33689.42,33178.45,535,692572.39
2024-12-30,33596.12,33675.54,33789.61,33278.42,639,825066.96
2024-12-31,33675.54,34005.18,34071.18,33258.17,672,851584.73
2025-01-01,34005.18,34265.67,34430.14,33856.44,783,1009849.23
2025-01-02,34265.67,34215.37,34473.42,33833.46,761,962640.98
2025-01-03,34215.37,34034.43,34349.07,33625.94,685,874536.32
2025-01-04,34034.43,33980.34,34131.43,33759.95,736,957484.27
2025-01-05,33980.34,33963.33,34088.95,33671.99,706,894920.93
2025-01-06,33963.33,33955.27,34110.66,33497.33,609,757898.62
2025-01-07,33955.27,34147.38,34242.8,33270.2,514,662382.98
2025-01-08,34147.38,34147.34,34304.04,33691.62,569,748679.7
2025-01-09,34147.34,33800.6,34241.96,33605.98,516,662856.49
2025-01-10,33800.6,33544.58,33951.5,33214.22,606,786110.74
2025-01-11,33544.58,33429.08,33670.57,33159.08,550,712565.22
2025-01-12,33429.08,33485.87,33638.47,33068.94,587,766195.01
2025-01-13,33485.87,33512.44,33676.86,33153.79,647,850660.83
2025-01-14,33512.44,33522.51,33697.54,33151.27,564,721027.33
2025-01-15,33522.51,33285.25,33733.81,32856.97,573,757373.77
2025-01-16,33285.25,33928.61,34004.42,32944.15,646,841975.84
2025-01-17,33928.61,34170.29,34388.07,33270.5,559,747003.91
2025-01-18,34170.29,34284.28,34438.08,33514.38,550,733176.08
2025-01-19,34284.28,34282.53,34512.94,33776.99,519,712607.22
2025-01-20,34282.53,34149.28,34493.9,33753.08,560,754149.04
2025-01-21,34149.28,33849.56,34235.3,33510.98,543,740847.45
2025-01-22,33849.56,33587.54,33925.51,33347.03,614,816456.5
2025-01-23,33587.54,33585.69,33803.87,33299.83,470,612109.52
2025-01-24,33585.69,33389.59,33709.67,32992.72,602,787631.5
2025-01-25,33389.59,33397.27,33647.06,32947.6,679,889669.66
2025-01-26,33397.27,33601.04,33720.97,33005.59,590,785420.26
2025-01-27,33601.04,33986.97,34055.56,33374.78,612,823048.79
2025-01-28,33986.97,34049.82,34194.49,33686.94,564,767196.42
2025-01-29,34049.82,34195.09,34311.93,33540.9,637,873982.46
2025-01-30,34195.09,34526.58,34696.77,33705.75,621,835417.17
2025-01-31,34526.58,34765.21,35136.37,34060.79,618,864128.6
2025-02-01,34765.21,34869.94,35133.36,34265.22,658,946206.4
2025-02-02,34869.94,34761.93,35075.57,34230.42,627,892702.14
2025-02-03,34761.93,34916.66,35090.98,34288.48,619,866049.52
2025-02-04,34916.66,34930.29,35204.03,34360.1,630,940799.59
2025-02-05,34930.29,34704.92,35143.03,34176.8,566,804317.7
2025-02-06,34704.92,35412.83,35490.07,34124.04,702,976822.44
2025-02-07,35412.83,36692.23,36940.59,34702.77,718,1029571.93
2025-02-08,36692.23,36738.78,37629.99,35715.2,653,976688.75
2025-02-09,36738.78,35735.64,36880.72,35437.92,640,905466.86
2025-02-10,35735.64,35214.14,35905.92,34944.49,705,989557.62
2025-02-11,35214.14,35402.71,35601.55,34298.99,767,1066286.27
2025-02-12,35402.71,35934.74,36005.24,35143.91,734,1023508.87
2025-02-13,35934.74,36179.09,36472.55,35191.89,717,1044166.71
2025-02-14,36179.09,36308.96,36579.5,35557.75,731,1041901.01
2025-02-15,36308.96,36211.93,36522.93,35722.5,709,1025994.86
2025-02-16,36211.93,36094.16,36448.22,35587.45,703,1035444.47
2025-02-17,36094.16,36145.43,36324.9,35275.49,702,975853.51
2025-02-18,36145.43,36194.54,36317.22,35691.97,816,1171879.54
2025-02-19,36194.54,36379.29,36546.93,35579.72,874,1253174.38
2025-02-20,36379.29,36553.53,36730.4,36154.84,1146,1651028.68
2025-02-21,36553.53,36479.45,36737.18,34843.06,1046,1486943.7
2025-02-22,36479.45,36234.35,36671.09,35450.95,1243,1735235.22
2025-02-23,36234.35,35697.64,36296.86,35404.37,1038,1454791.22
2025-02-24,35697.64,35337.19,35800.21,35337.19,974,1349130.04
2025-02-25,35337.19,35819.29,35875.05,34270.03,1082,1512712.67
2025-02-26,35819.29,35958.11,36186.97,35427.61,1033,1457335.85
2025-02-27,35958.11,35862.06,36091.44,35606.88,966,1365731.44
2025-02-28,35862.06,35775.52,35974.44,35573.32,937,1305687.79
2025-03-01,35775.52,35740.02,35875.14,35416.33,1127,1604137.09
2025-03-02,35740.02,35803.98,35914.35,35375.27,953,1342021.47
2025-03-03,35803.98,35939.71,36036.24,35534.47,984,1372819.96
2025-03-04,35939.71,36189.85,36246.44,35745.07,1035,1453807.3
2025-03-05,36189.85,36311.39,36445.88,35732.89,1100,1549460.92
2025-03-06,36311.39,36300.22,36470.65,35895.1,1032,1503167.59
2025-03-07,36300.22,36324.54,36446.72,35776.76,863,1225885.41
2025-03-08,36324.54,36768.95,36845.85,35905.5,1135,1669480.86
2025-03-09,36768.95,37095.03,37207.27,35655.46,809,1193662.49
2025-03-10,37095.03,37575.07,37736.28,36768.95,789,1207903.54
2025-03-11,37575.07,38540.11,38579.06,37075.58,497,788468.27
2025-03-12,38540.11,37942.05,38832.39,37261.04,1492,2218038.2
2025-03-13,37942.05,37607.16,38067.75,36871.48,885,1316294.96
2025-03-14,37607.16,37578.44,37848.42,37197.87,666,1060854.21
2025-03-15,37578.44,37701.2,37882.2,37246.36,536,796020.22
2025-03-16,37701.2,37908.11,38123.65,37578.44,631,1030421.47
2025-03-17,37908.11,37804.13,38137.94,36450.88,590,937854.3
2025-03-18,37804.13,37547.49,37883.35,36965.78,658,1028187.11
2025-03-18,37804.13,37547.49,37883.35,36965.78,658,1028187.11
2025-03-19,37547.49,37106.59,37624.39,36892.87,432,670570.22
2025-03-20,37106.59,36996.22,37253.86,35995.89,506,790924.22
2025-03-21,36996.22,36809.95,37163.17,36359.87,522,780661.6
2025-03-22,36809.95,36330.95,36912.34,35100.09,829,1256949.59
2025-03-23,36330.95,36481.55,36626.53,35406.39,855,1308496.34
2025-03-24,36481.55,36770.55,36939.98,35695.48,874,1273031.33
2025-03-25,36770.55,36870.35,37040.78,36326.71,806,1192366.66
2025-03-26,36870.35,36483.67,36972.55,35759.5,828,1267087.81
2025-03-27,36483.67,36295.66,36603.54,35399.66,1084,1614781.61
2025-03-28,36295.66,36196.59,36403.96,35394.55,869,1325359.94
2025-03-29,36196.59,35823.05,36298.76,35823.05,1045,1524727.0
2025-03-30,35823.05,35832.85,36001.06,35222.42,872,1283132.92
2025-03-31,35832.85,36167.53,36231.24,35142.44,1042,1556920.42
2025-04-01,36167.53,36311.63,36806.88,35641.43,1285,1925700.03
2025-04-02,36311.63,35791.44,36481.44,35261.42,936,1438299.65
2025-04-03,35791.44,35614.37,36172.73,35144.85,969,1414507.12
2025-04-04,35614.37,35371.87,35762.36,34937.88,931,1365608.65
2025-04-05,35371.87,34943.71,35453.86,33281.53,884,1273248.18
2025-04-06,34943.71,35215.96,35395.24,34544.99,1062,1532586.99
2025-04-07,35215.96,35210.27,35526.06,34844.35,1141,1635030.85
2025-04-08,35210.27,35182.62,35485.34,34774.38,1136,1666762.5
2025-04-09,35182.62,34968.29,35283.72,34588.9,1095,1577639.03
2025-04-10,34968.29,34711.62,35124.02,33564.98,1025,1476257.16
2025-04-11,34711.62,34639.21,34900.9,34263.09,906,1305530.38
2025-04-12,34639.21,34736.76,34829.91,34207.43,565,850716.83
2025-04-13,34736.76,34830.91,34961.72,34422.79,606,908811.93
2025-04-14,34830.91,34814.78,35008.49,34357.98,593,868887.95
2025-04-15,34814.78,34768.54,34892.53,33585.72,575,844171.54
2025-04-16,34768.54,34741.35,34852.35,34405.06,623,923926.28
2025-04-17,34741.35,34785.42,34897.42,34232.66,729,1097088.5
2025-04-18,34785.42,34799.19,34939.61,34453.85,686,1027245.65
2025-04-19,34799.19,34771.13,34893.65,34517.12,651,1007502.67
2025-04-20,34771.13,34717.42,34882.08,34294.89,590,889641.01
2025-04-21,34717.42,34593.03,34822.38,34269.05,654,1029221.0
2025-04-22,34593.03,35069.67,35249.96,34138.96,846,1263168.58
2025-04-23,35069.67,35138.65,35902.05,33926.73,899,1346269.51
2025-04-24,35138.65,34752.05,35279.77,34300.79,602,915599.11
2025-04-25,34752.05,34479.43,34845.16,33942.05,640,1015417.28
2025-04-26,34479.43,34318.14,34660.87,33656.86,622,943080.34
2025-04-27,34318.14,33959.2,34451.45,33599.72,546,820690.65
2025-04-28,33959.2,33882.62,34181.25,33142.71,585,862855.57
2025-04-29,33882.62,34051.14,34253.94,33453.57,615,896048.48
2025-04-30,34051.14,34303.33,34516.12,33800.41,978,1441812.01
2025-05-01,34303.33,35412.74,35497.44,33986.72,1544,2305853.67
2025-05-02,35412.74,36989.3,38048.54,34855.86,1944,2872654.36
