date,open,close,high,low,volume,amount
2024-12-24,63953.5,63905.25,64067.99,63615.54,133,474941.91
2024-12-24,63953.5,63905.25,64067.99,63615.54,133,474941.91
2024-12-25,63905.25,64094.99,64173.08,63680.9,157,569130.32
2024-12-26,64094.99,64129.17,64202.39,63441.99,295,1107889.67
2024-12-27,64129.17,64295.28,64442.27,63427.49,240,841264.6
2024-12-28,64295.28,64607.95,64688.56,64042.25,181,689251.53
2024-12-29,64607.95,64985.05,65099.3,64231.18,189,672280.78
2024-12-30,64985.05,65132.27,65327.9,64563.05,225,710731.48
2024-12-31,65132.27,65634.77,65727.83,64473.99,323,998351.2
2025-01-01,65634.77,65777.27,66131.86,65228.0,312,1186164.15
2025-01-02,65777.27,65498.26,65899.9,65015.99,311,1170595.45
2025-01-03,65498.26,65177.83,65558.84,64799.06,247,943520.91
2025-01-04,65177.83,65294.93,65447.94,64336.96,253,911426.58
2025-01-05,65294.93,65389.73,65479.64,64841.13,256,829079.13
2025-01-06,65389.73,65400.1,65496.32,65104.59,186,644351.16
2025-01-07,65400.1,65430.67,65548.09,64268.33,144,395876.28
2025-01-08,65430.67,65413.89,65612.94,65046.97,115,329789.83
2025-01-09,65413.89,65284.73,65496.41,64895.0,139,443214.02
2025-01-10,65284.73,65247.24,65427.1,64919.48,140,393098.41
2025-01-11,65247.24,65241.76,65378.07,64850.48,130,358252.41
2025-01-12,65241.76,65399.87,65471.88,64978.15,126,430715.49
2025-01-13,65399.87,65349.95,65486.06,65022.98,109,334642.53
2025-01-14,65349.95,65435.99,65547.16,65087.39,113,342098.46
2025-01-15,65435.99,65534.2,65702.37,65118.39,134,458904.73
2025-01-16,65534.2,65658.63,65744.39,64762.65,135,452633.92
2025-01-17,65658.63,66118.91,66162.87,65480.49,116,365864.19
2025-01-18,66118.91,66695.76,66732.28,65403.35,123,403178.11
2025-01-19,66695.76,67424.7,67612.57,66319.45,166,537674.27
2025-01-20,67424.7,66842.86,67714.65,65930.37,113,315642.32
2025-01-21,66842.86,66110.8,67068.5,65758.3,124,388894.12
2025-01-22,66110.8,66508.01,66756.19,65541.49,127,425596.47
2025-01-23,66508.01,66406.48,66672.69,66049.42,97,319645.67
