date,open,close,high,low,volume,amount
2024-12-24,99346.19,99364.94,99603.16,99030.89,157,713475.85
2024-12-24,99346.19,99364.94,99603.16,99030.89,157,713475.85
2024-12-25,99364.94,99383.17,99599.61,98723.95,206,1085982.43
2024-12-26,99383.17,99563.09,99763.4,98153.98,231,1248633.23
2024-12-27,99563.09,99747.96,99888.87,99304.87,211,1128834.09
2024-12-28,99747.96,99933.56,100090.03,99280.33,219,1308609.36
2024-12-29,99933.56,100313.32,100446.98,99639.79,174,872730.64
2024-12-30,100313.32,100390.73,100490.99,100011.33,205,1025704.62
2024-12-31,100390.73,100679.68,100900.29,99604.88,210,1064101.8
2025-01-01,100679.68,101173.64,101429.8,100090.67,228,1400760.96
2025-01-02,101173.64,101555.39,101799.27,100432.16,271,1516087.41
2025-01-03,101555.39,101389.6,101676.42,101011.99,248,1426079.06
2025-01-04,101389.6,101236.54,101522.25,100185.74,218,1088929.88
2025-01-05,101236.54,101857.25,101943.25,100672.99,243,1353346.68
2025-01-06,101857.25,102164.0,102350.75,101519.92,189,1116623.89
2025-01-07,102164.0,101967.2,102361.49,101458.0,163,746755.07
2025-01-08,101967.2,102137.97,102333.25,101401.4,159,794898.98
2025-01-09,102137.97,102130.44,102472.88,101567.88,126,691347.79
2025-01-10,102130.44,102256.14,102537.1,101602.99,164,876102.35
2025-01-11,102256.14,102385.45,102612.99,101616.37,173,898844.65
2025-01-12,102385.45,102575.7,102873.7,101475.74,137,703445.89
2025-01-13,102575.7,102580.08,102845.58,101447.6,133,706920.15
2025-01-14,102580.08,102675.09,102885.99,102127.5,143,714596.28
2025-01-15,102675.09,102650.55,103018.75,102065.99,140,680932.87
2025-01-16,102650.55,103089.58,103194.97,102291.98,146,724900.79
2025-01-17,103089.58,103653.0,103763.48,102095.2,150,950485.22
2025-01-18,103653.0,104184.46,104435.47,102612.98,157,845139.44
2025-01-19,104184.46,104900.87,105388.85,103576.44,154,914069.72
2025-01-20,104900.87,105075.97,105566.97,103719.49,142,681219.05
2025-01-21,105075.97,104207.5,105236.39,100293.1,151,713814.4
2025-01-22,104207.5,103828.0,104467.39,102927.5,149,769134.66
2025-01-23,103828.0,104232.49,104581.48,102475.6,175,873640.42
2025-01-24,104232.49,104033.95,104411.77,102561.54,130,616183.54
2025-01-25,104033.95,104440.0,104652.79,103513.8,156,772652.67
2025-01-26,104440.0,104602.77,104859.89,102754.38,161,846099.27
2025-01-27,104602.77,105069.99,105183.99,103611.4,157,771712.17
2025-01-28,105069.99,105257.8,105386.07,104812.1,165,894776.85
2025-01-29,105257.8,105320.33,105517.99,105069.99,175,868613.94
2025-01-30,105320.33,105275.78,105594.67,104567.66,122,696965.98
