date,open,close,high,low,volume,amount
2024-12-24,23142.96,23084.17,23290.21,22797.57,3808,1232527.62
2024-12-24,23142.96,23084.17,23290.21,22797.57,3808,1232527.62
2024-12-25,23084.17,22966.63,23232.61,22664.83,4099,1280665.37
2024-12-26,22966.63,22809.71,23111.96,22562.58,4524,1430398.81
2024-12-27,22809.71,22708.71,22926.84,22190.9,4455,1398579.63
2024-12-28,22708.71,22861.03,22979.53,22472.6,3922,1237541.04
2024-12-29,22861.03,22922.24,23057.55,21925.67,3948,1266325.42
2024-12-30,22922.24,22984.95,23118.12,22662.44,4335,1346630.48
2024-12-31,22984.95,23007.78,23153.2,22566.34,4609,1427641.24
2025-01-01,23007.78,23044.42,23205.66,22604.32,4595,1422885.57
2025-01-02,23044.42,23017.84,23193.15,22721.55,4760,1542435.23
2025-01-03,23017.84,22955.26,23141.9,22723.29,4428,1409535.06
2025-01-04,22955.26,22911.35,23056.31,22665.88,4608,1449457.32
2025-01-05,22911.35,22821.62,23029.72,22203.17,4384,1508243.03
2025-01-06,22821.62,22981.81,23121.88,22525.56,4180,1370874.67
2025-01-07,22981.81,23090.23,23209.78,22592.34,3638,1178872.98
2025-01-08,23090.23,23026.29,23231.42,22435.54,3686,1198574.48
2025-01-09,23026.29,22836.69,23143.69,22535.87,3571,1163279.02
2025-01-10,22836.69,22726.67,22959.61,22435.28,4073,1264883.13
2025-01-11,22726.67,22773.8,22961.46,22482.73,3998,1217810.0
2025-01-12,22773.8,22795.63,22918.01,22043.21,3978,1304664.55
2025-01-13,22795.63,22841.76,22980.27,22407.49,3740,1177758.06
2025-01-14,22841.76,22893.53,23023.33,22576.31,3445,1115209.55
2025-01-15,22893.53,22999.09,23167.21,22571.14,3875,1283612.03
2025-01-16,22999.09,23121.76,23370.4,22631.32,3910,1289523.57
2025-01-17,23121.76,23116.38,23272.39,22674.37,3707,1185243.89
2025-01-18,23116.38,23287.15,23430.15,22732.41,3922,1268403.43
2025-01-19,23287.15,23364.93,23590.61,22857.43,4011,1314509.52
2025-01-20,23364.93,23410.57,23647.77,22923.93,4095,1339577.18
2025-01-21,23410.57,23250.86,23529.69,22890.22,3807,1205007.09
2025-01-22,23250.86,23135.9,23361.91,22791.55,3657,1222752.77
2025-01-23,23135.9,23021.2,23277.67,22740.75,3515,1107347.61
2025-01-24,23021.2,22881.62,23135.88,22631.85,3937,1233868.99
2025-01-25,22881.62,23139.47,23352.87,22503.96,4826,1469952.95
2025-01-26,23139.47,23345.52,23457.8,22832.03,4279,1358820.07
2025-01-27,23345.52,23632.14,23761.79,22999.83,4287,1376490.42
2025-01-28,23632.14,23714.33,23925.64,23185.5,4138,1317848.24
2025-01-29,23714.33,23821.72,24033.05,23359.12,4067,1320966.85
2025-01-30,23821.72,23933.63,24093.38,23494.26,3859,1297918.22
2025-01-31,23933.63,24667.88,24814.01,23542.73,4489,1430887.42
2025-02-01,24667.88,25087.62,25384.1,23927.67,5338,1765307.58
2025-02-02,25087.62,25221.99,25567.97,24258.2,5095,1690555.45
2025-02-03,25221.99,25608.38,25776.14,24111.78,4379,1521848.0
2025-02-04,25608.38,26812.07,27088.97,24597.78,4883,1659632.55
2025-02-05,26812.07,25827.64,27133.67,24837.83,4303,1507106.6
2025-02-06,25827.64,26108.33,26620.63,26108.33,4338,1642032.04
2025-02-07,26108.33,27035.71,27303.82,25514.57,4429,1706136.79
2025-02-08,27035.71,26981.19,27900.39,25761.07,5017,1854342.61
2025-02-09,26981.19,26308.87,27140.16,25449.59,5286,1858840.0
2025-02-10,26308.87,25594.84,26460.17,24473.42,5375,1838208.26
2025-02-11,25594.84,25399.84,25822.22,24668.78,5255,1847811.38
2025-02-12,25399.84,25663.26,25841.6,24847.15,4939,1722313.37
2025-02-13,25663.26,25782.6,26065.33,25238.92,4914,1736942.25
2025-02-14,25782.6,25603.69,26009.06,25136.62,5384,1914113.85
2025-02-15,25603.69,25372.38,25849.99,24920.72,5307,1918263.07
2025-02-16,25372.38,25425.86,25719.34,24861.02,5565,1944036.38
2025-02-17,25425.86,26047.62,26237.56,25127.48,6002,2141963.69
2025-02-18,26047.62,26337.48,26690.35,25480.15,5438,1979335.19
2025-02-19,26337.48,26078.12,26542.07,25498.1,5703,2028783.27
2025-02-20,26078.12,25967.85,26271.01,25582.49,6500,2314933.34
2025-02-21,25967.85,25887.25,26201.63,25459.49,7038,2371398.16
2025-02-22,25887.25,25654.29,26035.56,25113.38,7095,2487048.8
2025-02-23,25654.29,25371.64,25776.9,24975.44,6633,2382068.85
2025-02-24,25371.64,25121.58,25606.27,24334.02,6456,2257402.32
2025-02-25,25121.58,25392.6,25392.6,25132.48,6006,2152000.93
2025-02-26,25392.6,25535.91,25596.98,25446.4,6367,2225146.61
2025-02-27,25535.91,25347.38,25571.53,25347.38,6038,2010371.73
2025-02-28,25347.38,25219.61,25389.67,25208.26,5608,1954026.34
2025-03-01,25219.61,25261.98,25261.98,25139.71,6343,2235656.49
2025-03-02,25261.98,25215.78,25315.86,25160.96,6001,2056759.99
2025-03-03,25215.78,25392.19,25392.19,25217.57,6682,2398113.84
2025-03-04,25392.19,25710.35,25710.58,25397.8,7269,2417868.23
2025-03-05,25710.35,25754.47,25910.65,25716.55,7229,2489684.74
2025-03-06,25754.47,25618.67,25816.51,25603.01,6107,2188357.1
2025-03-07,25618.67,25647.19,25670.41,25580.67,5622,1970812.77
2025-03-08,25647.19,25799.39,25799.39,25645.86,6389,2250402.19
2025-03-09,25799.39,26101.07,26117.63,25800.24,6164,2118490.76
2025-03-10,26101.07,26375.47,26375.47,26109.05,5626,1958512.73
2025-03-11,26375.47,26847.62,26854.22,26379.38,4292,1602765.01
2025-03-12,26847.62,26487.66,26862.58,26360.69,8558,3185214.42
2025-03-13,26487.66,26271.58,26490.06,26102.69,5810,2082271.66
2025-03-14,26271.58,26344.96,26403.82,26255.68,4927,1811945.75
2025-03-15,26344.96,26397.93,26409.26,26319.06,3314,1155645.61
2025-03-16,26397.93,26626.79,26673.4,26408.31,5656,2091523.03
2025-03-17,26626.79,26662.13,26781.51,26625.69,4537,1659508.52
2025-03-18,26662.13,26340.13,26690.39,26325.7,4766,1737486.64
2025-03-18,26660.83,26340.13,26690.39,26325.7,4766,1737486.64
2025-03-19,26340.13,25931.46,26341.38,25931.46,3626,1344044.09
2025-03-20,25931.46,25788.88,25919.95,25435.14,3813,1352205.32
2025-03-21,25788.88,25555.0,25863.96,25530.69,4129,1504725.57
2025-03-22,25555.0,25156.18,25585.99,25142.25,4792,1746284.67
2025-03-23,25156.18,25405.43,25405.43,25133.56,5373,1934824.27
2025-03-24,25405.43,25438.65,25583.17,25404.46,5098,1819647.85
2025-03-25,25438.65,25341.47,25531.77,25341.24,5079,1864681.94
2025-03-26,25341.47,24943.92,25391.15,24943.92,5341,1876609.44
2025-03-27,24943.92,24756.87,24983.42,24651.69,5810,2018549.04
2025-03-28,24756.87,24791.72,24796.9,24640.41,5092,1765743.4
2025-03-29,24791.72,24300.48,24831.12,24213.17,6177,2165132.25
