date,open,close,high,low,volume,amount
2024-06-03,1989278.71,1984136.79,1989970.61,1984136.79,9615,41674846.21
2024-06-04,1984136.79,1970678.65,1984219.82,1970450.12,8815,36758728.73
2024-06-05,1970678.65,1955352.39,1970830.05,1955352.39,8004,32427102.69
2024-06-06,1955352.39,1942484.64,1955371.31,1941449.99,7592,31405557.12
2024-06-07,1942484.64,1937002.12,1942484.64,1935196.12,7878,30708093.36
2024-06-08,1937002.12,1936709.2,1939538.53,1936119.83,7792,32857990.35
2024-06-09,1936709.2,1933527.88,1937931.88,1932605.84,8048,31600034.07
2024-06-10,1933527.88,1929047.1,1934612.54,1928602.19,8121,31001417.58
2024-06-11,1929047.1,1934706.39,1939115.64,1928713.99,11000,36286204.37
2024-06-12,1934706.39,1935822.82,1935822.82,1931494.01,8415,34003431.88
2024-06-13,1935822.82,1938533.79,1938692.57,1934983.39,8716,37565961.17
2024-06-14,1938533.79,1944213.11,1944303.3,1938533.79,9053,36956120.65
2024-06-15,1944213.11,1948254.59,1948254.59,1944213.11,9386,37193884.17
2024-06-16,1948254.59,1947862.19,1950119.46,1946094.95,8492,32817121.76
2024-06-17,1947862.19,1945550.4,1948444.78,1943777.65,8393,31757905.3
2024-06-18,1945550.4,1943428.15,1945824.46,1940538.38,9520,35451930.46
2024-06-19,1943428.15,1942930.21,1944447.68,1937360.14,8696,32319101.35
2024-06-20,1942930.21,1940689.72,1943532.31,1939794.45,8236,32572644.74
2024-06-21,1940689.72,1938923.96,1941424.64,1937441.25,8557,33969607.13
2024-06-22,1938923.96,1940020.83,1940101.43,1938332.96,8526,32625354.31
2024-06-23,1940020.83,1939900.84,1941133.32,1939389.77,8663,34793484.61
2024-06-24,1939900.84,1941210.57,1941220.47,1939249.54,9117,36757869.97
2024-06-25,1941210.57,1944173.86,1944203.14,1941023.71,9517,40388342.25
2024-06-26,1944173.86,1948222.49,1948222.49,1944173.86,10860,45919344.05
2024-06-27,1948222.49,1948057.38,1949637.8,1946255.63,8909,36299604.81
2024-06-28,1948057.38,1948901.59,1949517.69,1947417.25,9727,36040236.57
2024-06-29,1948901.59,1949258.11,1950247.64,1947676.38,9071,34999104.68
2024-06-30,1949258.11,1947701.68,1949722.41,1946676.9,9041,36550780.57
2024-07-01,1947701.68,1947797.28,1948435.92,1946082.8,9386,36577616.78
2024-07-02,1947797.28,1946524.65,1948485.37,1944221.81,9021,36244065.52
