date,open,close,high,low,volume,amount
2024-06-03,70369.19,70125.56,70527.45,70120.24,394,73989.54
2024-06-04,70125.56,69918.46,70197.44,69837.58,354,85156.46
2024-06-05,69918.46,69837.58,69991.58,69837.58,318,56481.46
2024-06-06,69837.58,69032.75,69501.96,68950.56,454,170293.44
2024-06-07,69032.75,69007.11,69166.91,68976.9,337,47167.27
2024-06-08,69007.11,68963.2,69049.39,68899.67,355,38133.78
2024-06-09,68963.2,68913.96,69059.25,68860.37,380,83357.52
2024-06-10,68913.96,68855.06,69069.03,68810.88,295,47204.77
2024-06-11,68855.06,68518.19,68964.62,68501.73,308,66468.37
2024-06-12,68518.19,68472.81,68567.22,68228.5,349,56457.47
2024-06-13,68472.81,68381.85,68680.17,68381.83,316,43179.66
2024-06-14,68381.85,68557.12,68654.93,68372.56,269,38242.17
2024-06-15,68557.12,68181.45,68608.97,68111.09,329,37887.78
2024-06-16,68181.45,68334.43,68418.25,68167.07,317,45955.99
2024-06-17,68334.43,68314.89,68442.9,68276.7,318,35676.09
2024-06-18,68314.89,68093.95,68754.79,67995.74,316,35836.3
2024-06-19,68093.95,68194.8,68383.68,68093.95,450,51866.26
2024-06-20,68194.8,68051.72,68196.95,68003.36,431,47333.6
2024-06-21,68051.72,68038.23,68140.81,67849.19,361,32043.2
2024-06-22,68038.23,68000.41,68167.51,67947.66,408,46429.58
2024-06-23,68000.41,67910.87,68084.43,67768.02,438,38246.49
2024-06-24,67910.87,67662.47,67911.95,67613.86,430,52527.49
2024-06-25,67662.47,67461.17,67677.84,67439.46,397,68914.13
2024-06-26,67461.17,67334.86,67531.99,67320.86,469,41525.81
2024-06-27,67334.86,67142.44,67467.88,67131.02,572,41798.77
2024-06-28,67142.44,67211.67,67238.94,67124.62,552,49317.36
2024-06-29,67211.67,67057.66,67256.93,66995.55,484,48151.83
2024-06-30,67057.66,66783.81,67080.23,66636.58,391,43954.97
2024-07-01,66783.81,66479.23,66786.68,66472.67,440,45643.17
2024-07-02,66479.23,66206.61,66497.06,66196.25,486,42235.47
2024-07-03,66206.61,66034.28,66267.53,66032.68,477,45991.82
2024-07-04,66034.28,65923.06,66077.38,65833.46,497,51267.16
2024-07-05,65923.06,65581.76,65929.32,65527.06,546,57044.1
2024-07-06,65581.76,65216.56,65582.54,65216.52,537,47706.96
2024-07-07,65216.56,64850.77,65227.81,64849.86,534,42941.85
2024-07-08,64850.77,64491.56,64986.8,64491.5,546,64806.44
2024-07-09,64491.56,64316.07,64685.75,64174.76,505,37712.34
2024-07-10,64316.07,64056.76,64353.31,64040.39,552,67866.96
2024-07-11,64056.76,63767.6,64064.33,63742.17,543,39814.62
2024-07-12,63767.6,63404.2,63774.81,63404.2,495,123895.17
2024-07-13,63404.2,63257.15,63416.09,63235.0,579,43136.17
2024-07-14,63257.15,63150.74,63310.08,63118.75,581,57628.67
2024-07-15,63150.74,62793.24,63186.56,62757.73,541,39721.21
2024-07-16,62793.24,62703.26,62903.16,62679.92,566,46009.35
2024-07-17,62703.26,62586.29,62836.41,62580.07,448,52337.52
2024-07-18,62586.29,62520.79,62682.15,62507.71,663,94629.6
2024-07-19,62520.79,62440.43,62572.66,62430.83,560,46794.68
2024-07-20,62440.43,62365.04,62476.99,62336.24,665,55019.11
2024-07-21,62365.04,62381.26,62516.85,62347.36,631,57166.66
2024-07-22,62381.26,62295.66,62456.63,62295.59,624,53835.37
2024-07-23,62295.66,62212.95,62358.11,62195.43,712,106522.05
2024-07-24,62212.95,62000.8,62258.86,61955.42,795,87431.25
2024-07-25,62000.8,61809.71,62078.45,61803.82,695,58113.01
2024-07-26,61809.71,62006.89,62078.36,61809.71,744,40845.64
2024-07-27,62006.89,62136.58,62205.65,62006.89,762,68843.28
2024-07-28,62136.58,62065.11,62228.25,62009.2,792,64761.62
2024-07-29,62065.11,62138.99,62138.99,61928.64,739,51473.42
2024-07-30,62138.99,62117.09,62291.4,62009.39,985,63048.75
2024-07-31,62117.09,62054.94,62228.92,62029.84,859,44573.9
2024-08-01,62054.94,62346.23,62357.49,62027.0,847,53641.08
2024-08-02,62346.23,62161.67,62346.75,61953.17,808,55050.18
2024-08-03,62161.67,62111.51,62250.03,62106.49,963,54691.05
