date,open,close,high,low,volume,amount
2024-06-03,22352.39,22313.79,22385.8,22282.23,458,123609.58
2024-06-04,22313.79,22174.04,22311.06,21865.74,443,110297.49
2024-06-05,22174.04,22061.09,22193.19,22046.04,435,91412.92
2024-06-06,22061.09,22039.78,22101.83,21822.34,386,97154.78
2024-06-07,22039.78,21951.75,22053.83,21940.11,424,131946.48
2024-06-08,21951.75,22007.86,22024.57,21950.97,424,121497.28
2024-06-09,22007.86,21956.19,22063.48,21947.39,385,95824.13
2024-06-10,21956.19,21934.72,22026.28,21909.77,454,95707.08
2024-06-11,21934.72,21673.15,21946.21,21668.76,446,106669.68
2024-06-12,21673.15,21657.43,21728.99,21631.42,447,104071.77
2024-06-13,21657.43,21664.9,21673.93,21618.03,403,129380.46
2024-06-14,21664.9,21755.65,21755.65,21591.73,426,116840.06
2024-06-15,21755.65,21963.25,21975.02,21684.52,462,136041.77
2024-06-16,21963.25,22010.72,22010.72,21914.67,445,134620.13
2024-06-17,22010.72,21951.61,22042.24,21918.78,417,104644.06
2024-06-18,21951.61,21773.83,21951.61,21663.18,426,91539.62
2024-06-19,21773.83,21804.61,21868.73,21742.17,403,88244.99
2024-06-20,21804.61,21822.99,21860.24,21798.28,520,153919.01
2024-06-21,21822.99,21704.61,21911.64,21687.25,533,135739.28
2024-06-22,21704.61,21811.12,21815.61,21695.99,496,119036.01
2024-06-23,21811.12,21761.0,21821.37,21695.78,433,134787.49
2024-06-24,21761.0,21821.9,21823.86,21708.55,415,148872.21
2024-06-25,21821.9,21725.56,21843.43,21711.14,458,92065.59
2024-06-26,21725.56,21642.51,21798.38,21640.36,549,113663.94
2024-06-27,21642.51,21667.92,21766.29,21627.93,468,100053.2
2024-06-28,21667.92,21711.47,21730.29,21651.27,495,125727.96
2024-06-29,21711.47,21700.92,21766.2,21665.59,523,122821.17
2024-06-30,21700.92,21600.03,21706.7,21592.46,506,118776.06
2024-07-01,21600.03,21520.51,21671.28,21519.87,541,111915.47
2024-07-02,21520.51,21547.11,21562.95,21471.97,508,129931.76
2024-07-03,21547.11,21323.43,21549.35,21292.85,515,160875.01
2024-07-04,21323.43,21330.89,21351.81,21219.13,516,108548.65
2024-07-05,21330.89,21240.03,21339.33,21234.91,479,107317.9
2024-07-06,21240.03,21154.15,21266.2,21146.36,465,111198.73
2024-07-07,21154.15,21065.6,21210.34,21049.19,461,121995.76
2024-07-08,21065.6,20937.92,21067.76,20920.82,485,117922.31
2024-07-09,20937.92,20773.63,20940.09,20732.89,465,88051.55
2024-07-10,20773.63,20702.72,20804.79,20682.47,524,103050.63
2024-07-11,20702.72,20615.97,20738.22,20615.97,482,154355.9
2024-07-12,20615.97,20538.67,20676.56,20526.45,455,109525.48
2024-07-13,20538.67,20527.78,20582.33,20495.17,486,98170.77
2024-07-14,20527.78,20511.07,20540.89,20478.16,465,111148.18
2024-07-15,20511.07,20545.27,20620.64,20504.27,468,105258.93
2024-07-16,20545.27,20598.67,20648.0,20545.27,542,110023.38
2024-07-17,20598.67,20613.16,20625.76,20554.18,538,144417.53
2024-07-18,20613.16,20694.05,20694.67,20609.25,517,143404.0
2024-07-19,20694.05,20706.04,20724.35,20657.77,505,148862.46
2024-07-20,20706.04,20699.55,20732.43,20641.73,528,113571.01
2024-07-21,20699.55,20689.15,20731.39,20329.88,470,115351.94
2024-07-22,20689.15,20685.88,20713.0,20635.69,503,125282.59
2024-07-23,20685.88,20772.48,20776.67,20670.88,521,141423.53
2024-07-24,20772.48,20792.74,20820.9,20766.2,528,122172.28
2024-07-25,20792.74,20880.34,20880.34,20792.74,576,144442.41
2024-07-26,20880.34,21011.29,21013.44,20858.05,595,163039.64
2024-07-27,21011.29,21045.07,21081.38,21011.29,546,145737.7
2024-07-28,21045.07,21124.6,21124.6,21044.64,599,131580.92
2024-07-29,21124.6,21183.49,21192.07,21124.6,614,165172.12
2024-07-30,21183.49,21191.28,21207.04,21169.29,523,150292.29
2024-07-31,21191.28,21347.26,21355.22,21191.28,559,119753.41
2024-08-01,21347.26,21367.25,21422.8,21278.52,619,164246.3
2024-08-02,21367.25,21344.24,21391.32,21299.75,578,151260.46
2024-08-03,21344.24,21413.02,21418.76,21334.3,651,166599.48
2024-08-04,21413.02,21422.87,21436.26,21400.73,634,127593.37
2024-08-05,21422.87,21333.54,21434.14,21314.42,619,163230.18
2024-08-06,21333.54,21309.54,21354.76,21241.22,718,162319.8
2024-08-07,21309.54,21275.19,21337.25,21263.23,662,168593.04
2024-08-08,21275.19,21354.76,21354.76,21275.19,719,203809.07
2024-08-09,21354.76,21382.67,21453.45,21353.09,673,150791.44
2024-08-10,21382.67,21457.38,21457.38,21307.3,666,172643.15
2024-08-11,21457.38,21506.76,21516.05,21457.38,677,139583.45
2024-08-12,21506.76,21563.81,21563.81,21481.38,779,159675.02
2024-08-13,21563.81,21617.82,21646.59,21563.25,889,208146.3
2024-08-14,21617.82,21705.85,21705.85,21611.72,849,162334.46
2024-08-15,21705.85,21858.11,21858.11,21705.85,858,146388.1
2024-08-16,21858.11,21877.57,21893.46,21841.38,822,161875.25
2024-08-17,21877.57,21896.85,21916.21,21848.38,827,182085.61
2024-08-18,21896.85,22034.83,22034.83,21896.85,882,198518.09
2024-08-19,22034.83,22145.77,22145.77,22034.83,931,175449.38
2024-08-20,22145.77,22147.13,22175.19,22109.71,972,185195.13
2024-08-21,22147.13,22102.56,22151.97,22085.52,990,184486.05
2024-08-22,22102.56,22056.13,22142.98,22048.32,917,147331.11
2024-08-23,22056.13,22048.48,22087.88,22025.81,880,166780.67
2024-08-24,22048.48,21958.11,22069.72,21941.13,997,180400.81
2024-08-25,21958.11,21829.56,21962.28,21793.25,1126,180606.05
2024-08-26,21829.56,21762.68,21841.53,21682.57,1091,222489.99
2024-08-27,21762.68,21717.89,21786.22,21675.88,1025,141068.84
2024-08-28,21717.89,21772.37,21807.19,21651.59,1276,249213.64
2024-08-29,21772.37,21768.0,21785.7,21615.69,1244,203349.68
2024-08-30,21768.0,21850.25,21850.25,21768.0,1347,217733.81
2024-08-31,21850.25,21939.77,21939.77,21849.33,1344,215310.51
2024-09-01,21939.77,22013.37,22022.81,21935.94,1454,228348.51
2024-09-02,22013.37,22055.04,22086.96,22001.43,1361,196532.64
2024-09-03,22055.04,22001.44,22079.78,21967.08,1461,220419.12
2024-09-04,22001.44,22052.91,22066.34,21940.39,1515,219375.72
2024-09-05,22052.91,22016.6,22094.54,21987.54,1438,210023.4
2024-09-06,22016.6,22033.83,22050.96,21990.46,1680,242236.02
2024-09-07,22033.83,22078.72,22091.58,22011.64,1854,233047.65
2024-09-08,22078.72,22058.8,22111.47,22022.73,1979,248133.6
2024-09-09,22058.8,22000.82,22094.37,21999.25,1894,246753.18
2024-09-10,22000.82,21943.64,22018.85,21943.64,2734,267777.5
2024-09-11,21943.64,21922.08,21981.07,21921.48,36480,874226.37
2024-09-12,21922.08,21921.43,21951.01,21899.4,26125,908894.61
2024-09-13,21921.43,21949.68,22002.87,21879.77,16183,552990.38
2024-09-14,21949.68,21904.64,22000.37,21899.83,28917,698679.53
2024-09-15,21904.64,22031.19,22031.56,21877.59,31497,695457.94
2024-09-16,22031.19,22122.58,22124.01,22018.55,34240,750514.42
2024-09-17,22122.58,22200.27,22200.27,22118.77,37312,756355.91
2024-09-18,22200.27,22207.6,22222.46,22172.86,117215,1009463.72
2024-09-19,22207.6,22237.21,22254.11,22181.3,175852,837368.48
2024-09-20,22237.21,22299.8,22299.8,22234.84,122310,551941.37
2024-09-21,22299.8,22300.87,22361.82,22283.15,131209,514578.56
2024-09-22,22300.87,22193.14,22345.24,22190.35,126081,486240.69
2024-09-23,22193.14,22126.77,22210.86,22079.45,128387,439831.0
2024-09-24,22126.77,22218.87,22231.08,22048.12,114834,403084.61
2024-09-25,22218.87,22166.22,22246.95,22140.71,118177,449757.84
2024-09-26,22166.22,22096.44,22196.85,22070.57,132664,10490831.78
2024-09-27,22096.44,21953.01,22097.57,21950.91,122789,1859783.75
2024-09-28,21953.01,21859.39,21972.47,21843.59,137768,515947.69
2024-09-29,21859.39,21844.99,21932.57,21782.9,125964,517762.42
2024-09-30,21844.99,21831.33,21858.92,21797.61,132321,520167.6
2024-10-01,21831.33,21913.88,21913.88,21831.3,113908,509968.31
2024-10-02,21913.88,21922.69,21939.79,21852.45,141461,558374.03
2024-10-03,21922.69,22023.6,22100.38,21919.75,221165,1005534.15
2024-10-04,22023.6,21985.91,22054.24,21878.86,153651,627315.61
2024-10-05,21985.91,21921.46,22005.42,21916.0,187162,869285.32
2024-10-06,21921.46,21866.2,21938.11,21833.16,154554,555542.05
2024-10-07,21866.2,21798.39,21881.4,21798.39,121885,512737.02
2024-10-08,21798.39,21756.57,21811.97,21747.5,142615,863641.92
2024-10-09,21756.57,21702.86,21779.06,21686.42,132256,908754.41
2024-10-10,21702.86,21701.53,21775.71,21647.87,144739,1141335.2
2024-10-11,21701.53,21572.88,21701.53,21523.25,155680,1283353.6
2024-10-12,21572.88,21567.63,21582.14,21504.69,200275,1443451.6
2024-10-13,21567.63,21581.18,21610.14,21555.45,186973,1432924.33
2024-10-14,21581.18,21722.41,21769.01,21581.13,158669,1327266.09
2024-10-15,21722.41,21740.32,21779.49,21666.17,155611,1311151.67
