date,open,close,high,low,volume,amount
2024-06-03,715193.31,708816.18,715321.58,707857.4,4466,14567897.19
2024-06-04,708816.18,698411.27,708816.18,698140.59,4174,12700696.97
2024-06-05,698411.27,689467.03,698519.4,688923.95,4052,13390182.2
2024-06-06,689467.03,687912.78,691093.05,684766.9,3839,11804094.79
2024-06-07,687912.78,686763.32,688283.67,686092.57,3657,10661894.34
2024-06-08,686763.32,691361.76,691504.82,686667.29,3824,11080799.04
2024-06-09,691361.76,688397.71,691576.89,688278.11,3773,10143076.51
2024-06-10,688397.71,686330.38,689293.76,686030.98,4201,11201898.25
2024-06-11,686330.38,686317.15,686330.38,684299.52,4063,10675501.13
2024-06-12,686317.15,686849.74,686849.74,684549.99,4125,11418300.77
2024-06-13,686849.74,691966.34,691966.34,686675.67,4350,14111958.94
2024-06-14,691966.34,695875.02,696011.74,691966.34,4200,13433530.61
2024-06-15,695875.02,696592.83,697177.62,695379.43,4333,12629176.93
2024-06-16,696592.83,695349.11,696724.56,695184.6,3950,11260410.22
2024-06-17,695349.11,692645.67,695365.33,692462.12,4140,11314568.62
2024-06-18,692645.67,692639.54,692844.62,686282.14,4302,11757518.63
2024-06-19,692639.54,691388.44,693242.48,691226.95,3932,10887903.59
2024-06-20,691388.44,691273.79,692056.88,690334.08,4274,11458267.68
2024-06-21,691273.79,691534.63,692686.34,691175.18,4111,12308398.32
2024-06-22,691534.63,691113.07,691962.45,690504.86,4156,11553002.28
2024-06-23,691113.07,692773.26,693329.34,691095.58,4129,11997930.88
2024-06-24,692773.26,694289.37,694718.22,691949.53,4355,13629553.73
2024-06-25,694289.37,696577.22,696577.22,694289.37,4434,14095637.33
2024-06-26,696577.22,701812.26,702103.94,696577.22,4741,15479635.85
2024-06-27,701812.26,701198.43,702474.3,700321.9,4298,13197513.66
2024-06-28,701198.43,702003.7,702127.41,700994.39,5155,13654688.81
2024-06-29,702003.7,702321.2,703185.61,701933.58,4485,12455967.33
2024-06-30,702321.2,702852.88,702852.88,702115.46,4486,12357743.36
2024-07-01,702852.88,701586.39,703235.39,701284.67,4553,13438371.19
2024-07-02,701586.39,699822.51,701641.01,699326.97,4527,12254664.44
2024-07-03,699822.51,699774.26,700086.28,698919.44,4620,14149946.68
2024-07-04,699774.26,700108.41,700370.94,699372.7,4663,13980699.3
2024-07-05,700108.41,699035.32,700517.69,698667.38,4810,13443980.13
2024-07-06,699035.32,697544.21,699525.42,697116.8,4108,11109417.7
2024-07-07,697544.21,694784.46,697559.78,694731.17,3833,10794454.48
2024-07-08,694784.46,691525.46,695553.76,691522.71,4097,11754887.52
2024-07-09,691525.46,688305.0,691602.94,688122.87,3810,10502488.98
2024-07-10,688305.0,686835.65,688305.09,685903.1,4039,11274931.52
2024-07-11,686835.65,687157.81,687415.71,686341.7,3906,10403531.86
2024-07-12,687157.81,687120.53,687512.83,686591.52,3871,10867339.14
2024-07-13,687120.53,687349.07,687629.58,687064.83,3734,10006503.53
2024-07-14,687349.07,687899.99,688077.34,687349.07,3657,10637833.69
2024-07-15,687899.99,689384.37,689612.34,687470.54,4484,11857419.2
2024-07-16,689384.37,691245.86,691245.86,689384.37,4526,12163345.32
2024-07-17,691245.86,692711.69,692711.69,690310.69,4762,12374626.85
2024-07-18,692711.69,693401.28,693405.02,692240.69,4584,12511719.19
2024-07-19,693401.28,693170.82,693814.62,692982.56,4397,12684130.13
2024-07-20,693170.82,692614.68,693851.8,692414.11,4194,12614899.67
2024-07-21,692614.68,692319.81,692860.49,691542.71,4124,12438813.69
2024-07-22,692319.81,693162.05,693240.13,692319.81,4171,11880262.52
2024-07-23,693162.05,694930.45,694933.04,693162.05,4614,14118975.2
2024-07-24,694930.45,695681.19,695877.47,694839.77,4570,12662567.98
2024-07-25,695681.19,696278.51,696284.51,695681.19,4919,13703738.47
2024-07-26,696278.51,701320.62,701322.06,696278.51,5159,17543143.33
2024-07-27,701320.62,702343.61,702354.16,700980.84,4686,15274291.14
2024-07-28,702343.61,702416.51,702940.49,702254.94,4579,13656046.71
2024-07-29,702416.51,703471.46,703538.98,701279.04,4478,13336157.36
2024-07-30,703471.46,704260.48,704291.04,702731.1,4516,14366743.43
2024-07-31,704260.48,707574.4,707574.4,704260.48,5171,17793670.77
2024-08-01,707574.4,707655.11,708618.14,706739.13,5030,15556465.68
2024-08-02,707655.11,708444.01,708696.14,707139.88,4972,16231068.58
2024-08-03,708444.01,709925.84,710278.92,708443.03,4797,16118977.11
2024-08-04,709925.84,708590.34,710249.03,707499.56,5070,15966391.44
2024-08-05,708590.34,705305.89,708881.07,704813.87,4825,15082949.21
2024-08-06,705305.89,705812.59,705943.09,704248.84,4843,13550072.52
2024-08-07,705812.59,707104.06,708099.31,705812.59,4559,12992025.5
2024-08-08,707104.06,705147.81,707125.55,704740.88,4948,13971858.01
2024-08-09,705147.81,704441.56,705147.81,703363.24,4731,14063601.42
2024-08-10,704441.56,704897.75,705060.16,704184.14,4903,12853149.21
2024-08-11,704897.75,705495.16,705510.67,704739.55,5011,14410613.92
2024-08-12,705495.16,706375.17,706375.17,705464.05,5215,14041951.68
2024-08-13,706375.17,706827.65,707134.77,706375.17,5216,14673599.09
2024-08-14,706827.65,707011.99,707174.66,702772.2,4991,14883025.87
2024-08-15,707011.99,707174.54,707321.79,706066.17,5472,14742533.97
2024-08-16,707174.54,707027.15,707433.61,706941.58,5350,14323526.76
2024-08-17,707027.15,708404.75,708404.75,706945.93,5632,16391973.42
2024-08-18,708404.75,709982.68,710000.21,708404.75,5441,15891968.94
2024-08-19,709982.68,710009.36,710941.91,709982.68,5598,15527371.31
2024-08-20,710009.36,710451.95,711234.1,710009.36,5126,14031705.63
2024-08-21,710451.95,708965.96,710577.2,708357.26,4849,14209916.52
2024-08-22,708965.96,707899.23,709208.74,707613.11,4636,12647320.9
2024-08-23,707899.23,707579.01,708111.74,707029.22,4791,13569140.19
2024-08-24,707579.01,708054.33,708381.58,707501.83,4940,12851289.21
2024-08-25,708054.33,707727.35,708370.79,707453.06,4623,12581286.86
2024-08-26,707727.35,706703.67,707770.53,704007.69,4982,12067803.78
2024-08-27,706703.67,706351.3,706743.33,705732.82,5254,12461968.59
2024-08-28,706351.3,706212.67,706549.94,705618.84,4992,13370710.9
2024-08-29,706212.67,705587.48,706600.15,705401.55,5303,14029082.41
2024-08-30,705587.48,706005.6,706086.51,705324.43,5201,13429330.96
2024-08-31,706005.6,706656.57,706666.83,706003.59,5339,13670760.41
2024-09-01,706656.57,707298.52,707298.52,696970.05,5523,14413519.8
2024-09-02,707298.52,707361.63,707987.17,707136.4,5477,13890722.94
2024-09-03,707361.63,708514.6,708514.6,707063.84,5760,15812077.91
2024-09-04,708514.6,709728.74,709764.53,708514.6,5502,15839814.75
2024-09-05,709728.74,710312.33,710439.2,709533.74,5424,16183376.48
2024-09-06,710312.33,711025.44,711032.28,705185.58,5582,15933295.06
2024-09-07,711025.44,711899.12,711917.02,711005.37,5305,14901019.21
2024-09-08,711899.12,712263.68,712438.95,711883.89,5339,15232530.32
2024-09-09,712263.68,712394.93,712858.74,712073.22,5686,15311952.9
2024-09-10,712394.93,711770.52,712484.74,711343.19,5398,14576607.84
2024-09-11,711770.52,711125.43,711946.9,710810.42,4876,14023047.31
2024-09-12,711125.43,710090.42,711495.85,709968.18,4038,11537040.76
2024-09-13,710090.42,709981.64,710411.97,709366.42,3485,10669048.22
2024-09-14,709981.64,710985.84,710985.84,709612.76,5366,15205342.27
2024-09-15,710985.84,711064.49,711275.51,710684.88,5501,13960415.3
2024-09-16,711064.49,712703.19,712741.39,711064.49,5591,13940701.53
2024-09-17,712703.19,712272.99,712703.19,711858.58,5372,14540072.5
2024-09-18,712272.99,711804.96,712382.2,711760.35,4946,13943275.93
2024-09-19,711804.96,711236.61,712078.0,711050.18,3299,8293658.56
2024-09-20,711236.61,711903.49,712294.55,711214.7,697,899077.79
2024-09-21,711903.49,711446.18,712369.69,708930.99,731,996696.72
2024-09-22,711446.18,710176.25,711461.89,710173.4,598,809218.14
2024-09-23,710176.25,708539.28,710334.47,708114.42,628,878420.61
2024-09-24,708539.28,706831.81,708637.86,706184.78,562,803917.75
2024-09-25,706831.81,705893.42,707273.17,705882.17,614,1004817.81
2024-09-26,705893.42,703484.8,706155.9,703134.91,1156,2589030.79
2024-09-27,703484.8,699104.26,703484.8,698875.96,1714,4036443.77
2024-09-28,699104.26,700463.52,700501.05,698438.35,1594,4145191.88
2024-09-29,700463.52,699829.65,701139.78,699701.47,1531,3677810.12
2024-09-30,699829.65,700582.12,700877.34,699813.54,1991,4062840.02
2024-10-01,700582.12,701061.09,701400.96,699113.15,1853,3923672.91
2024-10-02,701061.09,701000.43,702003.54,700878.46,1716,3535752.75
2024-10-03,701000.43,700374.5,701293.39,699590.08,2113,5279700.64
2024-10-04,700374.5,698541.64,700560.22,698367.98,1780,3964230.73
2024-10-05,698541.64,696341.81,698622.41,696341.81,1560,3891037.91
2024-10-06,696341.81,695153.31,696436.78,694458.32,1485,3455105.88
2024-10-07,695153.31,693115.48,695251.05,692971.42,1733,4279843.48
2024-10-08,693115.48,689723.18,693221.57,689340.48,2002,4541991.84
2024-10-09,689723.18,688407.61,689901.64,687697.03,1915,4456410.21
2024-10-10,688407.61,689145.11,689210.5,687038.53,1976,4854382.88
2024-10-11,689145.11,690064.98,690952.92,688329.44,2220,4966073.89
2024-10-12,690064.98,693091.33,693091.33,690034.0,1999,5072112.46
2024-10-13,693091.33,694793.11,694817.34,693025.5,2151,4936027.15
2024-10-14,694793.11,695339.08,695355.54,694211.99,2109,4282227.65
2024-10-15,695339.08,695505.73,695909.73,695313.62,2258,5095380.19
2024-10-16,695505.73,696939.0,696946.72,695501.04,2268,4853315.32
2024-10-17,696939.0,700555.68,700634.59,696939.0,2242,5349888.64
2024-10-18,700555.68,701332.75,701412.95,700458.84,2320,4593399.09
2024-10-19,701332.75,701763.95,701824.37,700636.84,2089,4523451.68
2024-10-20,701763.95,701735.39,702297.88,701283.97,2048,4269040.23
