date,open,close,high,low,volume,amount
2024-06-03,105083.56,104564.44,105195.52,104550.93,6410,4312416.39
2024-06-04,104564.44,103688.71,104570.22,103630.1,6930,4387369.03
2024-06-05,103688.71,103435.95,103975.54,103295.81,6477,3207591.69
2024-06-06,103435.95,102730.03,103469.87,102649.92,6270,2629032.69
2024-06-07,102730.03,102658.68,102837.55,102387.36,6040,2238505.55
2024-06-08,102658.68,102973.56,103076.78,102658.68,6544,2244509.86
2024-06-09,102973.56,102763.47,103139.6,102742.37,6163,2185142.9
2024-06-10,102763.47,102190.22,102953.8,102186.81,7512,2558712.04
2024-06-11,102190.22,102334.18,102697.38,102158.43,7021,2541137.85
2024-06-12,102334.18,102408.2,102451.16,101968.34,6697,2369376.66
2024-06-13,102408.2,102498.18,102606.74,102180.25,6681,2516033.61
2024-06-14,102498.18,102807.86,102807.86,102448.28,6305,2421277.53
2024-06-15,102807.86,103359.76,103505.51,102791.92,6146,2267990.51
2024-06-16,103359.76,103080.39,103505.09,102848.34,5928,2059181.34
2024-06-17,103080.39,102753.91,103325.68,102436.61,6442,2230460.98
2024-06-18,102753.91,102488.46,103064.83,101930.81,6716,2401621.33
2024-06-19,102488.46,102292.1,102681.63,102071.55,6184,2121943.05
2024-06-20,102292.1,102769.45,103069.42,102287.8,6377,2319267.09
2024-06-21,102769.45,102927.11,102965.6,102568.06,6112,2025496.67
2024-06-22,102927.11,103530.51,103530.51,102909.23,6145,2158106.65
2024-06-23,103530.51,103537.06,103952.24,103449.84,6048,2028749.54
2024-06-24,103537.06,102913.87,103546.02,102835.71,6485,2326046.68
2024-06-25,102913.87,102860.74,103066.33,102486.66,6726,2562131.55
2024-06-26,102860.74,103241.51,103289.03,102860.74,7393,3435823.0
2024-06-27,103241.51,102991.44,103290.64,102916.74,6750,2563909.07
2024-06-28,102991.44,103400.87,103404.55,102869.8,7137,2401629.38
2024-06-29,103400.87,103132.61,103485.96,102999.53,6506,2067727.74
2024-06-30,103132.61,103172.2,103316.74,103031.06,6319,2131419.99
2024-07-01,103172.2,102757.02,103268.75,102744.38,6672,2296284.86
2024-07-02,102757.02,102431.73,102794.05,102372.09,6849,2339944.48
2024-07-03,102431.73,101998.92,102516.29,101880.29,7039,2403912.27
2024-07-04,101998.92,101874.6,102072.04,101710.65,7424,2609215.56
2024-07-05,101874.6,101304.42,101895.77,101175.36,7946,2555716.84
2024-07-06,101304.42,100924.99,101359.25,100870.3,6442,2033520.22
2024-07-07,100924.99,100355.17,100956.79,100347.58,6294,2080007.29
2024-07-08,100355.17,99608.92,100360.27,99608.92,6649,2234232.22
2024-07-09,99608.92,99092.27,99679.83,98885.11,6624,2261926.75
2024-07-10,99092.27,98907.1,99109.88,98720.95,7229,2399608.62
2024-07-11,98907.1,98727.33,99015.81,98359.25,7193,2303842.13
2024-07-12,98727.33,98700.51,98874.58,98578.91,7292,2235714.47
2024-07-13,98700.51,98560.2,98837.78,98457.22,6534,2032453.52
2024-07-14,98560.2,98650.19,98796.12,98549.0,6140,1916168.46
2024-07-15,98650.19,98665.76,98820.36,98510.46,7405,2253776.42
2024-07-16,98665.76,98857.8,98857.8,98665.76,7439,2490775.41
2024-07-17,98857.8,99099.25,99161.16,98857.8,7400,2378217.18
2024-07-18,99099.25,99181.81,99358.58,99017.84,7730,2555179.33
2024-07-19,99181.81,99357.86,99357.86,99050.68,7864,2632122.26
2024-07-20,99357.86,99298.38,99499.71,99256.01,7289,2231558.62
2024-07-21,99298.38,99244.99,99410.78,99153.54,6600,2095300.14
2024-07-22,99244.99,99086.89,99365.02,98964.79,7179,2321821.36
2024-07-23,99086.89,99284.57,99284.57,98959.77,7715,2565480.74
2024-07-24,99284.57,99667.47,99667.47,99284.57,7108,2503481.68
2024-07-25,99667.47,99866.49,99966.16,99591.29,7361,2418520.03
2024-07-26,99866.49,100443.76,100443.76,99866.49,8454,4004505.0
2024-07-27,100443.76,100801.06,100914.73,100443.76,7457,2880200.26
2024-07-28,100801.06,100756.39,100974.32,100716.38,7098,2600346.33
2024-07-29,100756.39,100978.89,101116.48,100750.3,7230,2697376.4
2024-07-30,100978.89,101042.35,101168.33,100907.23,7163,2518825.03
2024-07-31,101042.35,101172.64,101192.67,100735.28,7734,3176986.48
2024-08-01,101172.64,101415.51,101488.29,101172.64,8080,3349269.99
