date,open,close,high,low,volume,amount
2024-06-03,5569.02,5521.84,5585.55,5521.84,,
2024-06-04,5521.84,5450.48,5540.6,5427.36,,
2024-06-05,5450.48,5365.93,5454.38,5356.16,,
2024-06-06,5365.93,5302.31,5368.34,5249.27,,
2024-06-07,5302.31,5328.54,5328.54,5259.6,,
2024-06-08,5328.54,5403.94,5411.68,5195.6,,
2024-06-09,5403.94,5396.46,5430.58,5358.0,,
2024-06-10,5396.46,5378.72,5407.59,5348.28,,
2024-06-11,5378.72,5384.31,5401.81,5361.44,,
2024-06-12,5384.31,5406.4,5412.36,5354.02,,
2024-06-13,5406.4,5407.34,5435.58,5394.92,,
2024-06-14,5407.34,5388.43,5412.47,5358.85,,
2024-06-15,5388.43,5375.48,5403.64,5348.58,,
2024-06-16,5375.48,5354.36,5392.02,5333.48,,
2024-06-17,5354.36,5342.59,5363.8,5309.83,,
2024-06-18,5342.59,5264.61,5353.63,5238.5,,
2024-06-19,5264.61,5274.09,5290.15,5219.98,,
2024-06-20,5274.09,5258.81,5291.74,5238.32,,
2024-06-21,5258.81,5280.31,5289.2,5245.96,,
2024-06-22,5280.31,5317.03,5319.96,5277.76,,
2024-06-23,5317.03,5397.39,5411.06,5317.03,,
2024-06-24,5397.39,5478.14,5488.98,5396.88,,
2024-06-25,5478.14,5495.83,5526.39,5463.62,,
2024-06-26,5495.83,5478.23,5597.72,5452.12,,
2024-06-27,5478.23,5424.32,5484.1,5410.85,,
2024-06-28,5424.32,5403.25,5441.73,5305.14,,
2024-06-29,5403.25,5394.2,5409.04,5360.68,,
2024-06-30,5394.2,5367.3,5407.9,5349.83,,
2024-07-01,5367.3,5360.2,5385.28,5330.7,,
2024-07-02,5360.2,5330.53,5372.3,5318.53,,
2024-07-03,5330.53,5289.39,5344.88,5263.45,,
2024-07-04,5289.39,5183.03,5295.59,5183.03,,
2024-07-05,5183.03,5172.34,5184.05,5008.49,,
2024-07-06,5172.34,5100.46,5172.34,5094.2,,
2024-07-07,5100.46,5047.62,5112.11,5044.79,,
2024-07-08,5047.62,4968.28,5062.53,4966.04,,
2024-07-09,4968.28,4871.68,4974.31,4871.68,,
2024-07-10,4871.68,4840.93,4873.13,4810.24,,
2024-07-11,4840.93,4856.16,4876.49,4826.32,,
2024-07-12,4856.16,4826.91,4871.18,4804.23,,
2024-07-13,4826.91,4824.64,4845.46,4810.45,,
2024-07-14,4824.64,4838.54,4846.56,4803.88,,
2024-07-15,4838.54,4958.81,4958.81,4838.54,,
2024-07-16,4958.81,4985.27,4997.73,4958.81,,
2024-07-17,4985.27,4989.15,5017.06,4961.91,,
2024-07-18,4989.15,4986.75,5005.57,4958.61,,
2024-07-19,4986.75,4952.12,4992.26,4924.47,,
2024-07-20,4952.12,4964.78,4967.21,4937.75,,
2024-07-21,4964.78,4969.0,4978.51,4944.14,,
2024-07-22,4969.0,5017.45,5017.45,4963.85,,
2024-07-23,5017.45,5061.64,5061.64,5009.22,,
2024-07-24,5061.64,5103.55,5105.51,5061.64,,
2024-07-25,5103.55,5152.62,5152.62,5090.72,,
2024-07-26,5152.62,5224.35,5226.09,5149.81,,
2024-07-27,5224.35,5227.49,5249.74,5186.22,,
2024-07-28,5227.49,5241.2,5244.5,5214.05,,
2024-07-29,5241.2,5312.24,5312.29,5222.46,,
2024-07-30,5312.24,5368.35,5368.35,5301.39,,
2024-07-31,5368.35,5488.44,5488.44,5368.35,,
2024-08-01,5488.44,5588.67,5588.67,5488.44,,
2024-08-02,5588.67,5655.34,5655.34,5577.43,,
2024-08-03,5655.34,5808.19,5810.1,5646.37,,
2024-08-04,5808.19,5781.89,5850.67,5781.69,,
2024-08-05,5781.89,5643.48,5837.51,5630.8,,
2024-08-06,5643.48,5669.41,5669.41,5578.97,,
2024-08-07,5669.41,5638.53,5689.44,5617.39,,
2024-08-08,5638.53,5551.3,5646.42,5541.54,,
2024-08-09,5551.3,5493.38,5554.56,5455.37,,
2024-08-10,5493.38,5578.87,5578.87,5490.81,,
2024-08-11,5578.87,5632.74,5634.36,5572.51,,
2024-08-12,5632.74,5707.09,5707.09,5632.74,,
2024-08-13,5707.09,5838.3,5838.3,5707.09,,
2024-08-14,5838.3,6062.28,6136.83,5838.3,,
2024-08-15,6062.28,5976.6,6094.92,5918.84,,
2024-08-16,5976.6,5970.37,5998.16,5932.34,,
2024-08-17,5970.37,5992.99,6002.11,5948.28,,
2024-08-18,5992.99,6113.34,6113.34,5992.99,,
2024-08-19,6113.34,6447.98,6447.98,6113.34,,
2024-08-20,6447.98,6441.34,6706.72,6440.85,,
2024-08-21,6441.34,6193.94,6465.64,6167.64,,
2024-08-22,6193.94,6023.69,6194.58,6004.97,,
2024-08-23,6023.69,5988.38,6055.98,5963.85,,
2024-08-24,5988.38,5991.39,5991.39,5983.32,,
2024-08-25,5991.39,5984.64,5991.39,5980.44,,
2024-08-26,5984.64,5975.28,5991.39,5967.75,,
2024-08-27,5975.28,5948.3,5975.78,5849.85,,
2024-08-28,5948.3,5977.81,5979.31,5929.33,,
2024-08-29,5977.81,5945.93,5981.48,5924.23,,
2024-08-30,5945.93,5932.94,5947.27,5918.66,,
2024-08-31,5932.94,5955.97,5960.25,5921.2,,
2024-09-01,5955.97,5979.52,5980.02,5940.23,,
2024-09-02,5979.52,6057.12,6057.12,5975.53,,
2024-09-03,6057.12,6125.4,6125.47,6057.12,,
2024-09-04,6125.4,6144.22,6175.95,6120.98,,
2024-09-05,6144.22,6119.39,6156.7,6054.03,,
2024-09-06,6119.39,6127.88,6128.08,6095.49,,
2024-09-07,6127.88,6241.89,6245.69,6111.35,,
2024-09-08,6241.89,6306.64,6308.55,6240.09,1.0,98.34
2024-09-09,6306.64,6528.51,6563.09,6306.41,1.0,99.0
2024-09-10,6528.51,6493.81,6540.0,6400.27,4.0,794.07
2024-09-11,6493.81,6657.6,6659.51,6493.81,2.0,616.0
2024-09-12,6657.6,6528.2,6688.27,6528.0,1.0,515.91
2024-09-13,6528.2,6510.83,6534.87,6460.76,7.0,2317.04
2024-09-14,6510.83,7101.6,7103.75,6510.83,35.0,3698.38
2024-09-15,7101.6,7430.6,7537.7,7033.31,85.0,11733.81
2024-09-16,7430.6,7653.17,8006.6,7428.01,139.0,23868.41
2024-09-17,7653.17,7139.3,7653.17,7119.1,227.0,62362.98
2024-09-18,7139.3,7027.82,7142.74,6892.17,4115.0,435988.25
2024-09-19,7027.82,7724.86,7725.58,7026.32,7117.0,710156.83
2024-09-20,7724.86,8697.1,8864.2,7718.86,9026.0,1021083.32
2024-09-21,8697.1,9912.52,9993.18,8251.69,11031.0,1275449.39
2024-09-22,9912.52,8725.55,9990.56,8725.55,10825.0,1301542.37
2024-09-23,8725.55,8810.98,8863.96,8174.58,8695.0,1051628.81
2024-09-24,8810.98,8806.68,8939.66,8773.91,7171.0,894056.17
2024-09-25,8806.68,8535.95,8864.18,8528.75,6932.0,856405.62
2024-09-26,8535.95,8393.66,8622.18,8252.58,6432.0,823131.17
2024-09-27,8393.66,8482.87,8540.15,8388.42,6774.0,888278.48
2024-09-28,8482.87,7926.36,8486.03,7926.36,7441.0,877432.81
2024-09-29,7926.36,7514.16,7926.36,7228.32,9211.0,1046304.72
2024-09-30,7514.16,7975.38,8111.25,7514.16,6486.0,715876.66
2024-10-01,7975.38,8029.91,8104.34,7968.28,5052.0,570622.64
2024-10-02,8029.91,7799.64,8055.32,7792.25,5178.0,599335.73
2024-10-03,7799.64,8813.33,9961.57,7799.64,20107.0,2490053.49
2024-10-04,8813.33,8735.32,8918.57,8660.51,9834.0,1173522.97
2024-10-05,8735.32,9832.9,9979.37,8735.32,9213.0,1303315.19
2024-10-06,9832.9,10420.6,10420.6,9832.34,9118.0,1282578.06
2024-10-07,10420.6,10302.11,10961.46,10278.79,8462.0,1162471.41
2024-10-08,10302.11,9853.27,10455.9,9853.27,6936.0,1015242.14
2024-10-09,9853.27,9816.89,9909.1,9563.81,6203.0,929867.58
2024-10-10,9816.89,9621.72,9872.89,9611.39,7185.0,1068593.57
2024-10-11,9621.72,9236.65,9670.7,9236.55,7512.0,1040724.48
2024-10-12,9236.65,8988.35,9260.78,8950.17,7685.0,1039833.05
2024-10-13,8988.35,8686.7,9018.38,8408.16,7674.0,1009042.15
2024-10-14,8686.7,8892.47,8903.9,8686.7,6800.0,908596.97
2024-10-15,8892.47,9037.82,9037.82,8883.76,7204.0,853476.2
2024-10-16,9037.82,9368.85,9371.5,9037.82,7229.0,935414.67
2024-10-17,9368.85,9248.66,9432.95,9231.63,6693.0,817437.14
2024-10-18,9248.66,8943.64,9248.66,8943.64,6496.0,776718.07
2024-10-19,8943.64,8887.17,8964.92,8835.47,7155.0,854508.74
2024-10-20,8887.17,8899.71,8922.18,8843.18,6887.0,843132.0
2024-10-21,8899.71,8745.41,8917.92,8740.26,5879.0,698566.24
2024-10-22,8745.41,8409.32,8755.02,8409.32,6474.0,740701.39
2024-10-23,8409.32,8355.78,8452.71,8179.51,6044.0,708804.9
2024-10-24,8355.78,8743.11,8768.12,8355.78,5984.0,716855.16
2024-10-25,8743.11,8567.16,8748.01,8524.19,5670.0,644679.56
2024-10-26,8567.16,8533.91,8584.23,8502.17,5895.0,686387.3
2024-10-27,8533.91,8554.32,8611.22,8533.91,5844.0,684795.17
2024-10-28,8554.32,8465.1,8568.77,8457.99,5183.0,596674.03
2024-10-29,8465.1,8292.98,8478.72,8286.51,5454.0,593301.31
2024-10-30,8292.98,8070.89,8292.98,8033.29,5336.0,596695.3
2024-10-31,8070.89,7712.45,8071.64,7586.49,5910.0,679036.66
2024-11-01,7712.45,8323.82,8336.49,7676.91,5966.0,677996.09
2024-11-02,8323.82,8202.43,8460.86,8197.08,5706.0,604907.69
2024-11-03,8202.43,8164.05,8202.43,8104.76,5321.0,561311.6
2024-11-04,8164.05,8201.7,8263.7,8162.66,5131.0,562967.65
2024-11-05,8201.7,8094.26,8223.3,8094.26,4513.0,482872.62
2024-11-06,8094.26,8061.21,8129.12,7974.23,4934.0,577183.42
2024-11-07,8061.21,7897.45,8100.5,7897.45,5278.0,634848.42
2024-11-08,7897.45,7846.04,7897.45,7771.24,5210.0,555171.23
2024-11-09,7846.04,7779.17,7866.12,7770.45,5784.0,585760.24
2024-11-10,7779.17,7846.39,7846.84,7778.77,5329.0,566254.6
2024-11-11,7846.39,7776.21,7873.35,7759.86,4785.0,527538.46
2024-11-12,7776.21,7770.0,7789.21,7733.77,4590.0,500518.11
2024-11-13,7770.0,7761.55,7827.7,7752.79,2999.0,326897.21
2024-11-14,7761.55,7985.11,7985.11,7761.55,6547.0,759693.74
2024-11-15,7985.11,8045.33,8045.33,7985.11,5722.0,636740.44
2024-11-16,8045.33,8313.18,8313.85,8045.33,5802.0,670869.53
2024-11-17,8313.18,8285.76,8427.33,8271.48,5436.0,620747.41
2024-11-18,8285.76,8229.72,8322.69,8209.79,5946.0,625573.94
2024-11-19,8229.72,8230.89,8248.8,8222.43,4842.0,524673.81
2024-11-20,8230.89,8308.65,8308.65,8225.37,4503.0,498564.69
2024-11-21,8308.65,8557.78,8557.78,8308.65,5376.0,694188.92
2024-11-22,8557.78,8940.12,8958.97,8557.78,6802.0,772616.37
2024-11-23,8940.12,8716.41,8947.85,8582.87,5563.0,648179.76
2024-11-24,8716.41,8578.01,8718.02,8577.87,5212.0,546949.9
2024-11-25,8578.01,8521.21,8587.14,8512.88,3144.0,351100.03
2024-11-26,8521.21,8553.13,8565.73,8451.51,6221.0,660906.04
2024-11-27,8553.13,8532.47,8595.24,8491.88,4858.0,546641.87
2024-11-28,8532.47,8343.75,8532.47,8343.75,8087.0,793767.53
2024-11-29,8343.75,8291.28,8390.34,8291.28,7548.0,716830.33
2024-11-30,8291.28,8263.61,8324.37,8253.4,7237.0,715585.03
2024-12-01,8263.61,8216.54,8281.9,8216.54,6408.0,598447.8
2024-12-02,8216.54,8316.3,8319.08,8216.54,5305.0,563954.66
2024-12-03,8316.3,8356.77,8380.06,8316.14,5353.0,574603.39
2024-12-04,8356.77,8396.28,8397.9,8356.44,4951.0,501837.37
2024-12-05,8396.28,8250.09,8402.6,8250.09,4940.0,482243.55
2024-12-06,8250.09,8186.13,8274.28,8157.75,4850.0,475426.98
2024-12-07,8186.13,8087.67,8215.33,8083.09,5589.0,548895.17
2024-12-08,8087.67,7987.05,8087.67,7928.56,5948.0,595557.7
2024-12-09,7987.05,7801.08,7987.29,7774.22,5040.0,475699.33
2024-12-10,7801.08,7828.46,7842.91,7779.96,5163.0,468242.22
2024-12-11,7828.46,7701.95,7830.0,7701.95,4857.0,452093.28
2024-12-12,7701.95,7637.88,7701.97,7550.91,5069.0,485517.77
2024-12-13,7637.88,7675.16,7788.99,7637.28,5463.0,530352.5
2024-12-14,7675.16,7609.78,7708.71,7609.26,5526.0,524402.27
2024-12-15,7609.78,7515.05,7631.94,7512.36,5569.0,534555.65
2024-12-16,7515.05,7441.96,7515.05,7361.86,5683.0,574130.15
2024-12-17,7441.96,7623.63,7625.65,7441.96,5152.0,496596.92
2024-12-18,7623.63,7804.65,7838.95,7623.63,5263.0,545410.14
2024-12-19,7804.65,7699.04,7807.11,7689.95,5509.0,504600.37
2024-12-20,7699.04,7615.06,7720.38,7597.08,6317.0,557261.03
2024-12-21,7615.06,7598.5,7656.9,7580.2,6799.0,581556.75
2024-12-22,7598.5,7605.81,7626.37,7574.31,6637.0,599503.36
2024-12-23,7605.81,7623.54,7650.48,7605.81,5907.0,524698.57
2024-12-24,7623.54,7552.31,7640.3,7552.31,6402.0,596723.74
2024-12-25,7552.31,7427.91,7563.55,7423.25,6225.0,577161.33
2024-12-26,7427.91,7309.73,7449.19,7221.8,6575.0,641343.31
2024-12-27,7309.73,7262.13,7318.7,7141.41,6623.0,595118.47
2024-12-28,7262.13,7375.67,7407.74,7262.13,6034.0,524937.25
2024-12-29,7375.67,7334.81,7391.65,7319.71,6443.0,563405.17
2024-12-30,7334.81,7300.5,7341.69,7294.07,6441.0,568683.82
2024-12-31,7300.5,7312.49,7325.25,7291.66,6059.0,534802.77
2025-01-01,7312.49,7286.35,7340.87,7277.04,5929.0,552382.99
2025-01-02,7286.35,7171.4,7321.72,7168.8,6252.0,576533.32
2025-01-03,7171.4,7120.49,7171.4,7079.46,6457.0,628217.58
2025-01-04,7120.49,7219.21,7219.21,7090.89,6648.0,621307.55
2025-01-05,7219.21,7212.21,7261.2,7201.48,6567.0,600502.79
2025-01-06,7212.21,7232.55,7237.06,7212.21,6140.0,568388.08
2025-01-07,7232.55,7236.87,7262.69,7225.42,5762.0,521692.97
2025-01-08,7236.87,7199.65,7250.67,7188.32,5947.0,564277.0
2025-01-09,7199.65,7141.69,7216.32,7123.38,5910.0,532857.48
2025-01-10,7141.69,7138.19,7156.12,7100.5,6349.0,585233.38
2025-01-11,7138.19,7130.53,7158.87,7105.69,7238.0,654510.63
2025-01-12,7130.53,7086.91,7143.82,7061.27,7111.0,653717.72
2025-01-13,7086.91,7041.59,7106.65,6992.43,6151.0,555952.67
2025-01-14,7041.59,7051.29,7058.22,6995.34,5760.0,530334.67
2025-01-15,7051.29,6847.55,7140.14,6830.32,6334.0,629663.04
2025-01-16,6847.55,6707.91,6876.69,6566.74,6407.0,626051.57
2025-01-17,6707.91,6710.82,6710.82,6669.14,6241.0,574291.34
2025-01-18,6710.82,6865.07,6870.65,6704.86,6902.0,608670.14
2025-01-19,6865.07,6899.66,6901.04,6859.71,6867.0,602905.29
2025-01-20,6899.66,7099.36,7114.51,6899.66,6213.0,555092.08
2025-01-21,7099.36,6986.92,7099.36,6929.06,5945.0,537558.13
2025-01-22,6986.92,6895.68,7006.3,6873.33,5479.0,497544.61
2025-01-23,6895.68,6851.86,6912.67,6816.77,5695.0,523786.77
2025-01-24,6851.86,6827.92,6865.82,6788.41,5954.0,540569.44
2025-01-25,6827.92,6861.42,6861.42,6774.96,6714.0,594394.54
2025-01-26,6861.42,6909.49,6909.49,6861.39,6743.0,607291.88
2025-01-27,6909.49,6920.82,6951.14,6884.92,5907.0,537734.74
2025-01-28,6920.82,6979.09,6979.09,6915.31,5622.0,516484.45
2025-01-29,6979.09,7100.78,7100.78,6977.54,5557.0,539976.99
2025-01-30,7100.78,7149.32,7152.46,7100.74,5176.0,522380.86
2025-01-31,7149.32,7163.53,7207.19,7149.32,4979.0,493169.13
2025-02-01,7163.53,7131.76,7192.71,7126.72,7131.0,674513.85
2025-02-02,7131.76,7066.64,7131.76,7047.54,8097.0,720502.32
2025-02-03,7066.64,7076.56,7100.09,7040.21,6800.0,626748.29
2025-02-04,7076.56,7076.02,7097.91,7065.55,6138.0,599021.87
2025-02-05,7076.02,7055.71,7092.84,7029.44,6281.0,583231.71
2025-02-06,7055.71,7033.42,7075.84,7025.83,6423.0,619912.43
