date,open,close,high,low,volume,amount
2024-06-03,1479374.6,1471922.56,1479374.6,1471922.56,18165,15301990.63
2024-06-04,1471922.56,1457557.46,1471922.52,1457552.2,20365,16481064.47
2024-06-05,1457557.46,1443400.66,1459086.62,1442661.25,19451,14437695.56
2024-06-06,1443400.66,1436934.93,1443651.42,1435202.79,18411,14145946.56
2024-06-07,1436934.93,1435704.37,1437469.55,1433206.88,17715,11870247.12
2024-06-08,1435704.37,1437515.11,1438776.94,1435704.37,18918,12233932.22
2024-06-09,1437515.11,1435345.13,1439328.8,1435345.13,18423,11582086.61
2024-06-10,1435345.13,1432691.09,1435926.74,1430842.24,20025,11594029.51
2024-06-11,1432691.09,1430758.46,1432811.88,1430199.42,19421,11560353.71
2024-06-12,1430758.46,1431057.2,1431623.75,1428887.07,18709,12124719.3
2024-06-13,1431057.2,1435269.26,1435269.26,1431057.2,19792,15059930.38
2024-06-14,1435269.26,1442498.3,1442726.59,1435269.26,18354,13610075.33
2024-06-15,1442498.3,1442870.47,1443681.05,1440518.18,18279,12263106.14
2024-06-16,1442870.47,1442088.86,1443722.83,1441042.48,17862,11632031.92
2024-06-17,1442088.86,1442891.43,1442964.84,1440053.69,19603,12761693.97
2024-06-18,1442891.43,1442274.66,1444040.12,1437635.31,20409,14128858.61
2024-06-19,1442274.66,1441756.83,1443922.47,1440461.37,18658,11583193.59
2024-06-20,1441756.83,1441136.27,1442924.4,1439325.09,19183,12357989.74
2024-06-21,1441136.27,1440540.94,1441272.32,1439305.35,18454,11972080.17
2024-06-22,1440540.94,1439488.06,1441884.38,1439403.59,17890,10939206.76
2024-06-23,1439488.06,1440661.49,1440874.77,1438771.96,18014,12142247.6
2024-06-24,1440661.49,1441356.94,1442760.13,1440485.36,19689,13174224.27
2024-06-25,1441356.94,1442845.37,1443472.22,1441339.17,20464,14611751.54
2024-06-26,1442845.37,1445128.23,1445998.03,1442608.38,21792,15185323.83
2024-06-27,1445128.23,1443538.5,1446342.67,1442624.25,19900,13725070.78
2024-06-28,1443538.5,1442886.31,1444659.26,1442851.56,21184,14021372.51
2024-06-29,1442886.31,1444025.02,1444324.01,1442672.33,19242,13167968.93
2024-06-30,1444025.02,1443749.54,1444895.16,1442723.32,18721,12889008.09
2024-07-01,1443749.54,1442362.49,1444587.88,1441306.83,20113,13987911.72
2024-07-02,1442362.49,1440184.11,1443159.2,1437978.35,19818,13412202.27
2024-07-03,1440184.11,1439353.04,1441531.98,1438608.75,21400,13189268.82
2024-07-04,1439353.04,1438901.0,1440089.74,1438105.33,22757,14681292.06
2024-07-05,1438901.0,1436921.45,1438901.0,1434292.27,24574,14206129.66
2024-07-06,1436921.45,1435360.88,1437298.85,1434981.25,19430,11460427.28
2024-07-07,1435360.88,1432278.48,1435412.06,1432101.77,18142,12030705.12
