date,open,close,high,low,volume,amount
2024-06-03,6429.5,6456.75,6456.75,6418.6,31,7357.91
2024-06-04,6456.75,6374.04,6474.54,6244.63,42,4313.59
2024-06-05,6374.04,6314.04,6404.48,6277.32,26,9750.73
2024-06-06,6314.04,6310.68,6330.8,6285.94,53,9035.64
2024-06-07,6310.68,6293.64,6321.82,6251.29,19,13007.82
2024-06-08,6293.64,6351.75,6361.59,6293.64,28,5654.25
2024-06-09,6351.75,6340.41,6358.58,6317.2,28,5246.2
2024-06-10,6340.41,6321.13,6351.01,6304.99,34,8195.31
2024-06-11,6321.13,6323.8,6350.17,6317.1,27,14394.45
2024-06-12,6323.8,6264.21,6341.23,6258.23,24,11664.17
2024-06-13,6264.21,6270.13,6291.95,6257.6,21,7068.09
2024-06-14,6270.13,6275.98,6286.62,6259.9,22,16030.47
2024-06-15,6275.98,6300.14,6300.58,6270.5,10,1603.2
2024-06-16,6300.14,6285.16,6301.82,6270.73,52,17494.87
2024-06-17,6285.16,6310.85,6310.85,6277.6,20,23234.34
2024-06-18,6310.85,6308.47,6317.53,6289.9,16,3120.0
2024-06-19,6308.47,6261.11,6310.08,6241.94,24,15233.88
2024-06-20,6261.11,6256.95,6281.19,6241.55,37,6116.42
2024-06-21,6256.95,6262.31,6279.82,6253.55,30,5023.21
2024-06-22,6262.31,6221.46,6268.82,6221.46,38,16630.85
2024-06-23,6221.46,6227.48,6241.38,6211.97,37,13427.28
2024-06-24,6227.48,6207.19,6232.94,6195.33,28,14210.1
2024-06-25,6207.19,6178.27,6207.19,6152.58,19,4271.98
2024-06-26,6178.27,6248.66,6284.57,6171.66,27,3414.52
2024-06-27,6248.66,6308.03,6322.32,6248.66,32,27450.62
2024-06-28,6308.03,6310.12,6314.32,6294.57,24,7853.13
2024-06-29,6310.12,6314.52,6320.34,6292.06,38,11624.35
2024-06-30,6314.52,6290.89,6314.52,6236.83,55,34774.13
2024-07-01,6290.89,6276.94,6300.75,6236.75,41,22099.16
2024-07-02,6276.94,6237.82,6290.45,6183.78,73,15972.43
2024-07-03,6237.82,6220.24,6255.41,6215.74,66,7603.46
2024-07-04,6220.24,6190.59,6220.42,6173.7,27,16821.41
2024-07-05,6190.59,6208.9,6225.83,6185.61,28,19899.6
2024-07-06,6208.9,6172.75,6208.9,6164.97,65,28495.75
2024-07-07,6172.75,6159.93,6191.2,6156.1,33,6520.12
2024-07-08,6159.93,6161.04,6170.3,6151.4,20,3296.15
2024-07-09,6161.04,6171.51,6191.55,6160.94,34,8171.81
2024-07-10,6171.51,6117.31,6173.74,6115.07,35,11191.05
2024-07-11,6117.31,6086.45,6147.35,6077.54,21,15879.84
2024-07-12,6086.45,6098.35,6134.06,6083.31,43,27834.35
2024-07-13,6098.35,6087.54,6098.75,6074.12,58,5348.25
2024-07-14,6087.54,6080.22,6095.22,6080.22,42,23974.92
2024-07-15,6080.22,6097.97,6105.51,6071.92,24,6234.62
2024-07-16,6097.97,6073.48,6100.64,6065.19,43,5783.03
2024-07-17,6073.48,6017.62,6084.72,6017.62,34,19255.71
2024-07-18,6017.62,6004.18,6019.94,5958.65,44,6209.4
2024-07-19,6004.18,6013.1,6031.64,6004.12,47,33722.29
2024-07-20,6013.1,6029.5,6033.27,6013.1,47,16501.42
2024-07-21,6029.5,6018.05,6037.6,6009.17,58,9274.62
2024-07-22,6018.05,6011.6,6024.67,5997.5,41,9199.71
2024-07-23,6011.6,5995.34,6031.94,5992.3,38,22270.41
2024-07-24,5995.34,5967.34,6017.09,5949.09,45,19213.02
2024-07-25,5967.34,6010.66,6012.1,5965.76,41,16213.59
2024-07-26,6010.66,6028.71,6030.12,6010.58,27,61924.51
2024-07-27,6028.71,6036.58,6055.23,6013.8,55,30533.19
2024-07-28,6036.58,6040.92,6045.2,6024.28,49,32355.99
2024-07-29,6040.92,6026.02,6042.7,6022.8,68,7536.69
