date,open,close,high,low,volume,amount
2024-06-03,2409.01,2417.6,2417.6,2401.06,,
2024-06-04,2417.6,2407.22,2418.99,2399.56,,
2024-06-05,2407.22,2407.21,2414.55,2401.09,,
2024-06-06,2407.21,2416.57,2425.79,2407.21,,
2024-06-07,2416.57,2419.37,2420.21,2408.01,,
2024-06-08,2419.37,2430.85,2430.85,2411.36,,
2024-06-09,2430.85,2437.41,2442.18,2428.01,,
2024-06-10,2437.41,2443.26,2444.25,2428.45,,
2024-06-11,2443.26,2450.19,2453.41,2432.23,,
2024-06-12,2450.19,2451.83,2467.13,2435.01,,
2024-06-13,2451.83,2440.99,2451.83,2433.41,,
2024-06-14,2440.99,2436.94,2443.67,2421.22,,
2024-06-15,2436.94,2433.35,2439.52,2426.88,,
2024-06-16,2433.35,2428.89,2447.9,2420.84,,
2024-06-17,2428.89,2428.88,2439.13,2421.6,,
2024-06-18,2428.88,2404.72,2436.4,2398.57,,
2024-06-19,2404.72,2411.25,2422.53,2389.66,1.0,22.52
2024-06-20,2411.25,2438.27,2438.27,2406.14,1.0,26.35
2024-06-21,2438.27,2448.52,2452.4,2434.41,,
2024-06-22,2448.52,2459.24,2467.66,2447.56,,
2024-06-23,2459.24,2460.58,2471.88,2455.9,1.0,28.69
2024-06-24,2460.58,2452.86,2467.63,2445.14,,
2024-06-25,2452.86,2452.78,2460.54,2443.53,,
2024-06-26,2452.78,2472.46,2473.1,2452.78,1.0,39.2
2024-06-27,2472.46,2484.23,2489.2,2467.62,,
2024-06-28,2484.23,2491.39,2494.41,2469.39,,
2024-06-29,2491.39,2489.15,2496.62,2476.2,,
2024-06-30,2489.15,2481.65,2499.38,2473.38,,
2024-07-01,2481.65,2473.8,2488.93,2463.83,2.0,60.25
2024-07-02,2473.8,2469.37,2483.04,2464.16,,
2024-07-03,2469.37,2455.17,2478.46,2451.21,,
2024-07-04,2455.17,2439.69,2460.2,2435.34,,
2024-07-05,2439.69,2419.64,2443.55,2408.03,1.0,26.69
2024-07-06,2419.64,2395.71,2422.45,2388.58,1.0,23.88
2024-07-07,2395.71,2369.9,2400.31,2367.33,3.0,75.73
2024-07-08,2369.9,2347.21,2379.05,2342.93,,
2024-07-09,2347.21,2324.05,2354.86,2314.82,4.0,101.65
2024-07-10,2324.05,2320.06,2328.04,2301.65,1.0,17.6
2024-07-11,2320.06,2312.31,2322.67,2303.93,2.0,54.93
2024-07-12,2312.31,2302.7,2321.64,2297.4,,
2024-07-13,2302.7,2312.99,2312.99,2298.61,1.0,28.85
2024-07-14,2312.99,2316.02,2323.12,2302.67,1.0,17.2
2024-07-15,2316.02,2326.26,2326.65,2305.2,3.0,60.01
2024-07-16,2326.26,2344.03,2344.03,2325.33,1.0,24.91
2024-07-17,2344.03,2345.18,2353.48,2335.64,2.0,47.39
2024-07-18,2345.18,2346.64,2354.95,2309.5,,
2024-07-19,2346.64,2352.32,2352.32,2337.43,1.0,17.1
2024-07-20,2352.32,2359.81,2359.84,2348.37,5.0,122.05
2024-07-21,2359.81,2361.49,2361.49,2347.44,1.0,17.5
2024-07-22,2361.49,2369.18,2369.18,2357.47,1.0,18.7
2024-07-23,2369.18,2370.1,2373.63,2356.86,2.0,53.49
2024-07-24,2370.1,2380.68,2380.69,2365.27,4.0,90.08
2024-07-25,2380.68,2396.33,2396.4,2380.68,2.0,51.44
2024-07-26,2396.33,2396.77,2404.5,2389.74,2.0,30.1
2024-07-27,2396.77,2411.44,2413.14,2396.77,1.0,16.3
2024-07-28,2411.44,2428.04,2428.95,2410.96,1.0,25.9
2024-07-29,2428.04,2445.08,2446.68,2427.8,5.0,115.42
2024-07-30,2445.08,2456.0,2458.79,2443.67,3.0,58.02
2024-07-31,2456.0,2458.09,2464.22,2451.76,3.0,63.63
2024-08-01,2458.09,2469.23,2472.26,2455.32,2.0,34.86
2024-08-02,2469.23,2469.65,2479.3,2461.31,1.0,23.3
2024-08-03,2469.65,2476.72,2478.46,2468.92,3.0,82.7
2024-08-04,2476.72,2474.51,2486.73,2462.54,7.0,185.23
2024-08-05,2474.51,2472.1,2484.37,2466.02,4.0,106.75
2024-08-06,2472.1,2468.62,2478.59,2459.07,4.0,87.64
2024-08-07,2468.62,2468.55,2470.35,2454.37,6.0,154.16
2024-08-08,2468.55,2463.14,2472.42,2454.34,7.0,188.72
2024-08-09,2463.14,2466.77,2471.24,2455.87,5.0,106.41
2024-08-10,2466.77,2462.64,2469.1,2453.68,4.0,89.1
2024-08-11,2462.64,2473.36,2473.36,2457.26,8.0,283.56
2024-08-12,2473.36,2484.44,2485.34,2469.12,3.0,83.96
2024-08-13,2484.44,2494.97,2495.45,2479.42,1.0,32.79
2024-08-14,2494.97,2512.25,2512.25,2494.79,15.0,478.87
